"Time","CPU","Memory"
2021-06-17T15:36:32.994,184233406,17862656
2021-06-17T15:36:34.192,301173519,30511104
2021-06-17T15:36:35.294,328292704,32755712
2021-06-17T15:36:36.298,333624828,32706560
2021-06-17T15:36:37.303,338906763,32706560
2021-06-17T15:36:38.307,344278406,32710656
2021-06-17T15:36:39.312,349757120,32710656
2021-06-17T15:36:40.317,355016433,32710656
2021-06-17T15:36:41.322,360333049,32772096
2021-06-17T15:36:42.336,365417453,32813056
2021-06-17T15:36:43.363,370872458,32874496
2021-06-17T15:36:44.368,376031140,32804864
2021-06-17T15:36:45.373,381321500,32804864
2021-06-17T15:36:46.383,386936212,32821248
2021-06-17T15:36:47.387,392313451,32813056
2021-06-17T15:36:48.392,397824328,32829440
2021-06-17T15:36:49.397,403364911,32837632
2021-06-17T15:36:50.402,408714559,32821248
2021-06-17T15:36:51.416,414194000,32845824
2021-06-17T15:36:52.421,419579656,32829440
2021-06-17T15:36:53.426,425173443,32845824
2021-06-17T15:36:54.431,430617036,32825344
2021-06-17T15:36:55.435,436063245,32837632
2021-06-17T15:36:56.440,441328238,32845824
2021-06-17T15:36:57.445,446696971,32845824
2021-06-17T15:36:58.450,452138876,32841728
2021-06-17T15:36:59.454,457606202,32854016
2021-06-17T15:37:00.459,463125317,32866304
2021-06-17T15:37:01.464,468406941,32882688
2021-06-17T15:37:02.469,473969645,32841728
2021-06-17T15:37:03.474,479346203,32768000
2021-06-17T15:37:04.479,484996174,32780288
2021-06-17T15:37:05.483,490344492,32792576
2021-06-17T15:37:06.488,495759681,32788480
2021-06-17T15:37:07.493,501241401,32784384
2021-06-17T15:37:08.498,506675826,32788480
2021-06-17T15:37:09.503,512059954,32788480
2021-06-17T15:37:10.507,517439492,32804864
2021-06-17T15:37:11.512,522795600,32821248
2021-06-17T15:37:12.517,528145849,32849920
2021-06-17T15:37:13.521,533348325,32841728
2021-06-17T15:37:14.526,538718641,32841728
2021-06-17T15:37:15.531,544070637,32854016
2021-06-17T15:37:16.536,549532012,32841728
2021-06-17T15:37:17.540,554912794,32862208
2021-06-17T15:37:18.545,560242286,32837632
2021-06-17T15:37:19.550,565541611,32837632
2021-06-17T15:37:20.554,570914488,32788480
2021-06-17T15:37:21.560,576304506,32813056
2021-06-17T15:37:22.564,581826096,32800768
2021-06-17T15:37:23.569,587352714,32829440
2021-06-17T15:37:24.574,592742006,32837632
2021-06-17T15:37:25.579,598038355,32866304
2021-06-17T15:37:26.583,603548778,32866304
2021-06-17T15:37:27.589,608826902,32874496
2021-06-17T15:37:28.593,614422909,32862208
2021-06-17T15:37:29.598,619809376,32862208
2021-06-17T15:37:30.603,625276544,32862208
2021-06-17T15:37:31.608,630831469,32890880
2021-06-17T15:37:32.612,636337519,32862208
2021-06-17T15:37:33.617,641749607,32874496
2021-06-17T15:37:34.622,647013408,32862208
2021-06-17T15:37:35.627,652352616,32903168
2021-06-17T15:37:36.631,657854643,32886784
2021-06-17T15:37:37.636,663408049,32800768
2021-06-17T15:37:38.641,668769746,32804864
2021-06-17T15:37:39.646,674201098,32792576
2021-06-17T15:37:40.651,679619796,32829440
2021-06-17T15:37:41.655,685125971,32829440
2021-06-17T15:37:42.660,690576709,32817152
2021-06-17T15:37:43.665,695953354,32833536
2021-06-17T15:37:44.670,701556882,32825344
2021-06-17T15:37:45.675,707152995,32854016
2021-06-17T15:37:46.680,712682297,32866304
2021-06-17T15:37:47.685,718275112,32854016
2021-06-17T15:37:48.689,723696005,32858112
2021-06-17T15:37:49.694,729075196,32878592
2021-06-17T15:37:50.699,734652364,32907264
2021-06-17T15:37:51.703,740005161,32899072
2021-06-17T15:37:52.708,745331392,32890880
2021-06-17T15:37:53.713,750711624,32907264
2021-06-17T15:37:54.717,756053265,32899072
2021-06-17T15:37:55.722,761580486,32878592
2021-06-17T15:37:56.727,766979925,32874496
2021-06-17T15:37:57.732,772468971,32874496
2021-06-17T15:37:58.736,777924845,32890880
2021-06-17T15:37:59.741,783416113,32874496
2021-06-17T15:38:00.746,788703019,32874496
2021-06-17T15:38:01.751,794101070,32874496
2021-06-17T15:38:02.756,799815007,32894976
2021-06-17T15:38:03.760,805135522,32890880
2021-06-17T15:38:04.765,810533713,32890880
2021-06-17T15:38:05.770,815931874,32894976
2021-06-17T15:38:06.775,821353000,32870400
2021-06-17T15:38:07.779,826712137,32858112
2021-06-17T15:38:08.784,832270623,32866304
2021-06-17T15:38:09.789,837677847,32866304
2021-06-17T15:38:10.793,842933455,32862208
2021-06-17T15:38:11.798,848335162,32903168
2021-06-17T15:38:12.803,854049744,32882688
2021-06-17T15:38:13.808,859235249,32862208
2021-06-17T15:38:14.812,864547016,32858112
2021-06-17T15:38:15.817,869881597,32792576
2021-06-17T15:38:16.822,875354957,32780288
2021-06-17T15:38:17.829,880602583,32792576
2021-06-17T15:38:18.833,886058537,32808960
2021-06-17T15:38:19.838,891487953,32817152
2021-06-17T15:38:20.843,896891239,32849920
2021-06-17T15:38:21.847,902325630,32849920
2021-06-17T15:38:22.852,907824284,32870400
2021-06-17T15:38:23.857,913343252,32874496
2021-06-17T15:38:24.862,918609478,32870400
2021-06-17T15:38:25.867,923939236,32894976
2021-06-17T15:38:26.871,929325867,32878592
2021-06-17T15:38:27.876,934720228,32886784
2021-06-17T15:38:28.881,940158884,32894976
2021-06-17T15:38:29.886,945584897,32849920
2021-06-17T15:38:30.891,951102504,32854016
2021-06-17T15:38:31.895,956414473,32845824
2021-06-17T15:38:32.900,961801624,32854016
2021-06-17T15:38:33.905,967368299,32849920
2021-06-17T15:38:34.910,972655015,32849920
2021-06-17T15:38:35.914,978023540,32890880
