"Time","CPU","Memory"
2021-06-17T10:51:25.309,310915017,32686080
2021-06-17T10:51:26.314,316325087,32837632
2021-06-17T10:51:27.320,321727757,32735232
2021-06-17T10:51:28.325,327577455,32747520
2021-06-17T10:51:29.330,333047299,32763904
2021-06-17T10:51:30.493,338860110,32768000
2021-06-17T10:51:31.499,344137245,32804864
2021-06-17T10:51:32.503,349510910,32845824
2021-06-17T10:51:33.508,354932719,32837632
2021-06-17T10:51:34.513,360392995,32837632
2021-06-17T10:51:35.518,366048523,32825344
2021-06-17T10:51:36.523,371549910,32825344
2021-06-17T10:51:37.528,377040801,32825344
2021-06-17T10:51:38.533,382584215,32837632
2021-06-17T10:51:39.537,388148935,32854016
2021-06-17T10:51:40.543,393861915,32841728
2021-06-17T10:51:41.547,399282965,32837632
2021-06-17T10:51:42.552,404591207,32833536
2021-06-17T10:51:43.557,409907670,32858112
2021-06-17T10:51:44.562,415387746,32874496
2021-06-17T10:51:45.567,420874217,32768000
2021-06-17T10:51:46.571,426573833,32755712
2021-06-17T10:51:47.576,432091487,32751616
2021-06-17T10:51:48.581,437375393,32776192
2021-06-17T10:51:49.586,442814929,32800768
2021-06-17T10:51:50.591,448223131,32804864
2021-06-17T10:51:51.596,453822296,32845824
2021-06-17T10:51:52.601,459339061,32837632
2021-06-17T10:51:53.605,464955018,32845824
2021-06-17T10:51:54.610,470301608,32858112
2021-06-17T10:51:55.616,475927495,32768000
2021-06-17T10:51:56.620,481432996,32788480
2021-06-17T10:51:57.625,486798072,32784384
2021-06-17T10:51:58.630,492345489,32780288
2021-06-17T10:51:59.635,497821892,32784384
2021-06-17T10:52:00.640,503354641,32804864
2021-06-17T10:52:01.645,508856642,32821248
2021-06-17T10:52:02.650,514550700,32821248
2021-06-17T10:52:03.654,519729461,32837632
2021-06-17T10:52:04.659,525374127,32849920
2021-06-17T10:52:05.665,531110366,32845824
2021-06-17T10:52:06.669,536586165,32845824
2021-06-17T10:52:07.674,541955587,32841728
2021-06-17T10:52:08.679,547668324,32845824
2021-06-17T10:52:09.684,553060097,32854016
2021-06-17T10:52:10.691,558439531,32862208
2021-06-17T10:52:11.696,563829211,32858112
2021-06-17T10:52:12.701,569368604,32862208
2021-06-17T10:52:13.706,574978522,32788480
2021-06-17T10:52:14.711,580574418,32763904
2021-06-17T10:52:15.716,586054406,32776192
2021-06-17T10:52:16.721,591536747,32792576
2021-06-17T10:52:17.725,597080740,32804864
2021-06-17T10:52:18.730,602446078,32813056
2021-06-17T10:52:19.736,607934267,32813056
2021-06-17T10:52:20.741,613256128,32837632
2021-06-17T10:52:21.746,618744525,32845824
2021-06-17T10:52:22.751,624309740,32845824
2021-06-17T10:52:23.756,629786484,32829440
2021-06-17T10:52:24.761,635453904,32849920
2021-06-17T10:52:25.765,640923358,32849920
2021-06-17T10:52:26.770,646188172,32833536
2021-06-17T10:52:27.775,651636867,32833536
2021-06-17T10:52:28.780,657280776,32837632
2021-06-17T10:52:29.785,662676672,32837632
2021-06-17T10:52:30.790,668076708,32858112
2021-06-17T10:52:31.794,673302240,32800768
2021-06-17T10:52:32.799,678659754,32817152
2021-06-17T10:52:33.804,684347506,32800768
2021-06-17T10:52:34.809,690033132,32800768
2021-06-17T10:52:35.814,695396609,32808960
2021-06-17T10:52:36.819,700898193,32817152
2021-06-17T10:52:37.824,706246114,32845824
2021-06-17T10:52:38.829,711691150,32862208
2021-06-17T10:52:39.834,717206215,32808960
2021-06-17T10:52:40.839,722573871,32821248
2021-06-17T10:52:41.843,727954470,32825344
2021-06-17T10:52:42.848,733441257,32841728
2021-06-17T10:52:43.853,738954692,32825344
2021-06-17T10:52:44.858,744505109,32804864
2021-06-17T10:52:45.862,750008969,32808960
2021-06-17T10:52:46.867,755481394,32808960
2021-06-17T10:52:47.872,760885585,32813056
2021-06-17T10:52:48.877,766434377,32813056
2021-06-17T10:52:49.881,772110270,32813056
2021-06-17T10:52:50.886,777367217,32821248
2021-06-17T10:52:51.891,782807145,32829440
2021-06-17T10:52:52.896,788304375,32821248
2021-06-17T10:52:53.901,793740113,32845824
2021-06-17T10:52:54.905,799103309,32841728
2021-06-17T10:52:55.910,804591931,32886784
2021-06-17T10:52:56.915,810013284,32870400
2021-06-17T10:52:57.920,815556681,32866304
2021-06-17T10:52:58.925,820962883,32866304
2021-06-17T10:52:59.930,826656813,32870400
2021-06-17T10:53:00.934,831965810,32870400
2021-06-17T10:53:01.939,837326491,32862208
2021-06-17T10:53:02.944,842725511,32874496
2021-06-17T10:53:03.949,848052782,32874496
2021-06-17T10:53:04.954,853716997,32886784
2021-06-17T10:53:05.959,859288354,32890880
