"Time","CPU","Memory"
2021-06-17T15:41:54.489,186300611,17670144
2021-06-17T15:41:55.590,298550825,30584832
2021-06-17T15:41:56.693,326140460,32677888
2021-06-17T15:41:57.698,331743487,32677888
2021-06-17T15:41:58.703,337186543,32698368
2021-06-17T15:41:59.708,342614975,32686080
2021-06-17T15:42:00.713,348244611,32698368
2021-06-17T15:42:01.718,353630752,32735232
2021-06-17T15:42:02.723,358942520,32727040
2021-06-17T15:42:03.727,364364980,32735232
2021-06-17T15:42:04.732,369693510,32739328
2021-06-17T15:42:05.737,375182210,32731136
2021-06-17T15:42:06.742,380792096,32768000
2021-06-17T15:42:07.746,386270068,32739328
2021-06-17T15:42:08.751,391809276,32739328
2021-06-17T15:42:09.756,397232836,32739328
2021-06-17T15:42:10.761,402707825,32747520
2021-06-17T15:42:11.766,408072970,32743424
2021-06-17T15:42:12.771,413533753,32759808
2021-06-17T15:42:13.776,418997611,32743424
2021-06-17T15:42:14.780,424507026,32743424
2021-06-17T15:42:15.785,429926175,32768000
2021-06-17T15:42:16.790,435437798,32751616
2021-06-17T15:42:17.795,441194514,32735232
2021-06-17T15:42:18.800,446670935,32735232
2021-06-17T15:42:19.805,452083832,32747520
2021-06-17T15:42:20.810,457512014,32751616
2021-06-17T15:42:21.815,462877700,32763904
2021-06-17T15:42:22.819,468305753,32780288
2021-06-17T15:42:23.825,473938794,32780288
2021-06-17T15:42:24.829,479343099,32780288
2021-06-17T15:42:25.834,484700865,32821248
2021-06-17T15:42:26.839,490261544,32788480
2021-06-17T15:42:27.844,495814762,32776192
2021-06-17T15:42:28.848,501206182,32776192
2021-06-17T15:42:29.853,506635398,32776192
2021-06-17T15:42:30.858,511973519,32772096
2021-06-17T15:42:31.862,517288533,32776192
2021-06-17T15:42:32.867,522831275,32739328
2021-06-17T15:42:33.872,528123050,32731136
2021-06-17T15:42:34.877,533468939,32735232
2021-06-17T15:42:35.881,538892431,32747520
2021-06-17T15:42:36.886,544261147,32784384
2021-06-17T15:42:37.891,549849719,32772096
2021-06-17T15:42:38.896,555190289,32768000
2021-06-17T15:42:39.901,560975687,32800768
2021-06-17T15:42:40.906,566446293,32788480
2021-06-17T15:42:41.911,571829236,32788480
2021-06-17T15:42:42.915,577265018,32784384
2021-06-17T15:42:43.920,582645712,32776192
2021-06-17T15:42:44.925,588226321,32776192
2021-06-17T15:42:45.930,593707755,32788480
2021-06-17T15:42:46.935,599292874,32800768
2021-06-17T15:42:47.940,604573935,32788480
2021-06-17T15:42:48.945,610021126,32792576
2021-06-17T15:42:49.949,615333364,32784384
2021-06-17T15:42:50.954,620812640,32808960
2021-06-17T15:42:51.959,626382592,32837632
2021-06-17T15:42:52.964,631839598,32845824
2021-06-17T15:42:53.969,637299440,32829440
2021-06-17T15:42:54.973,642781983,32837632
2021-06-17T15:42:55.978,648226317,32817152
2021-06-17T15:42:56.983,653720823,32743424
2021-06-17T15:42:57.988,659025808,32739328
2021-06-17T15:42:58.993,664648329,32759808
2021-06-17T15:42:59.998,670039043,32759808
2021-06-17T15:43:01.003,675495875,32776192
2021-06-17T15:43:02.008,681339706,32788480
2021-06-17T15:43:03.013,686718647,32759808
2021-06-17T15:43:04.017,692410928,32772096
2021-06-17T15:43:05.022,697779676,32763904
2021-06-17T15:43:06.027,703168242,32776192
2021-06-17T15:43:07.032,708631517,32792576
2021-06-17T15:43:08.036,714146070,32776192
2021-06-17T15:43:09.041,719636109,32776192
2021-06-17T15:43:10.046,725157605,32776192
2021-06-17T15:43:11.051,730769156,32759808
2021-06-17T15:43:12.056,736017918,32788480
2021-06-17T15:43:13.061,741401966,32776192
2021-06-17T15:43:14.065,746958796,32776192
2021-06-17T15:43:15.070,752420835,32780288
2021-06-17T15:43:16.075,758037735,32776192
2021-06-17T15:43:17.080,763408347,32796672
2021-06-17T15:43:18.085,769029527,32763904
2021-06-17T15:43:19.090,774640782,32759808
2021-06-17T15:43:20.095,780256783,32776192
2021-06-17T15:43:21.100,785687798,32780288
2021-06-17T15:43:22.105,791165739,32780288
2021-06-17T15:43:23.110,796838254,32784384
2021-06-17T15:43:24.115,802433430,32763904
2021-06-17T15:43:25.119,807902230,32759808
2021-06-17T15:43:26.124,813534588,32784384
2021-06-17T15:43:27.129,819132591,32800768
2021-06-17T15:43:28.134,824566276,32800768
2021-06-17T15:43:29.139,830102610,32800768
2021-06-17T15:43:30.143,835591571,32813056
2021-06-17T15:43:31.148,841251538,32808960
2021-06-17T15:43:32.153,846712557,32808960
2021-06-17T15:43:33.158,852251177,32776192
2021-06-17T15:43:34.163,857739766,32784384
2021-06-17T15:43:35.168,863298598,32788480
2021-06-17T15:43:36.173,868701167,32788480
2021-06-17T15:43:37.177,874339349,32825344
2021-06-17T15:43:38.182,879843041,32804864
2021-06-17T15:43:39.187,885208593,32804864
2021-06-17T15:43:40.192,890631566,32821248
2021-06-17T15:43:41.197,896300637,32813056
2021-06-17T15:43:42.201,901788857,32837632
2021-06-17T15:43:43.206,907098537,32825344
2021-06-17T15:43:44.211,912503689,32808960
2021-06-17T15:43:45.216,917994757,32804864
2021-06-17T15:43:46.221,923340204,32788480
2021-06-17T15:43:47.226,928741973,32833536
2021-06-17T15:43:48.231,934142514,32727040
2021-06-17T15:43:49.236,939615781,32731136
2021-06-17T15:43:50.241,945265038,32727040
2021-06-17T15:43:51.245,950852801,32727040
2021-06-17T15:43:52.250,956364949,32743424
2021-06-17T15:43:53.255,961994991,32739328
2021-06-17T15:43:54.260,967334737,32743424
2021-06-17T15:43:55.265,972870975,32743424
2021-06-17T15:43:56.270,978391074,32768000
2021-06-17T15:43:57.275,984044904,32768000
2021-06-17T15:43:58.279,989567132,32759808
2021-06-17T15:43:59.284,994984326,32759808
2021-06-17T15:44:00.289,1000572511,32755712
2021-06-17T15:44:01.294,1005937731,32759808
2021-06-17T15:44:02.299,1011445551,32768000
2021-06-17T15:44:03.303,1016810859,32772096
2021-06-17T15:44:04.309,1022161060,32759808
2021-06-17T15:44:05.313,1027747828,32772096
2021-06-17T15:44:06.318,1033280375,32796672
2021-06-17T15:44:07.323,1038803774,32817152
2021-06-17T15:44:08.328,1044132947,32763904
2021-06-17T15:44:09.332,1049535267,32780288
2021-06-17T15:44:10.337,1054935843,32796672
2021-06-17T15:44:11.342,1060465723,32817152
2021-06-17T15:44:12.347,1066052259,32813056
2021-06-17T15:44:13.352,1071249519,32784384
2021-06-17T15:44:14.356,1076723711,32788480
2021-06-17T15:44:15.361,1082214175,32792576
2021-06-17T15:44:16.366,1087659127,32788480
2021-06-17T15:44:17.371,1093247617,32792576
2021-06-17T15:44:18.376,1098526618,32772096
2021-06-17T15:44:19.381,1111546773,32784384
2021-06-17T15:44:20.396,1123302193,32804864
2021-06-17T15:44:21.402,1138962386,32808960
2021-06-17T15:44:22.408,1153002316,32813056
2021-06-17T15:44:23.413,1164061314,32833536
2021-06-17T15:44:24.418,1177951080,32813056
2021-06-17T15:44:25.424,1189922883,32821248
2021-06-17T15:44:26.429,1201305238,32817152
2021-06-17T15:44:27.435,1215466443,32813056
2021-06-17T15:44:28.441,1227935714,32821248
2021-06-17T15:44:29.446,1241290377,32813056
2021-06-17T15:44:30.452,1252631216,32833536
2021-06-17T15:44:31.457,1265536019,32854016
2021-06-17T15:44:32.463,1279587580,32854016
2021-06-17T15:44:33.468,1290855457,32854016
2021-06-17T15:44:34.473,1303029303,32833536
2021-06-17T15:44:35.479,1314509287,32804864
2021-06-17T15:44:36.484,1328745965,32800768
2021-06-17T15:44:37.489,1340060345,32804864
2021-06-17T15:44:38.495,1351982336,32804864
2021-06-17T15:44:39.500,1364073071,32804864
2021-06-17T15:44:40.506,1374338111,32829440
2021-06-17T15:44:41.511,1385699322,32821248
2021-06-17T15:44:42.517,1396413325,32858112
2021-06-17T15:44:43.522,1409216567,32837632
2021-06-17T15:44:44.527,1422686051,32821248
2021-06-17T15:44:45.534,1433703010,32825344
2021-06-17T15:44:46.540,1447185321,32825344
2021-06-17T15:44:47.547,1460513777,32808960
2021-06-17T15:44:48.552,1472000991,32825344
2021-06-17T15:44:49.557,1484975805,32841728
2021-06-17T15:44:50.563,1497115728,32837632
2021-06-17T15:44:51.568,1510092484,32841728
2021-06-17T15:44:52.575,1521950511,32862208
2021-06-17T15:44:53.580,1534050282,32841728
2021-06-17T15:44:54.586,1545467036,32837632
