"Time","CPU","Memory"
2021-06-17T15:49:32.192,189130684,18059264
2021-06-17T15:49:33.390,306193426,31682560
2021-06-17T15:49:34.395,326696029,32710656
2021-06-17T15:49:35.400,331997820,32714752
2021-06-17T15:49:36.404,337286114,32714752
2021-06-17T15:49:37.409,342632791,32714752
2021-06-17T15:49:38.414,348063841,32710656
2021-06-17T15:49:39.430,353293005,32731136
2021-06-17T15:49:40.441,358699282,32735232
2021-06-17T15:49:41.446,363896966,32747520
2021-06-17T15:49:42.451,369262696,32755712
2021-06-17T15:49:43.455,374715854,32759808
2021-06-17T15:49:44.460,380077318,32759808
2021-06-17T15:49:45.465,385400499,32755712
2021-06-17T15:49:46.470,390845788,32763904
2021-06-17T15:49:47.475,396184583,32759808
2021-06-17T15:49:48.479,401751538,32788480
2021-06-17T15:49:49.484,407172399,32768000
2021-06-17T15:49:50.489,412650439,32768000
2021-06-17T15:49:51.493,417884375,32878592
2021-06-17T15:49:52.498,423291031,32796672
2021-06-17T15:49:53.503,428654718,32817152
2021-06-17T15:49:54.508,433944814,32714752
2021-06-17T15:49:55.512,439513796,32710656
2021-06-17T15:49:56.517,444802584,32731136
2021-06-17T15:49:57.522,450101705,32722944
2021-06-17T15:49:58.526,455409892,32731136
2021-06-17T15:49:59.531,460727991,32727040
2021-06-17T15:50:00.536,466090948,32747520
2021-06-17T15:50:01.541,471432765,32727040
2021-06-17T15:50:02.545,476844517,32743424
2021-06-17T15:50:03.550,482225672,32747520
2021-06-17T15:50:04.555,488002863,32751616
2021-06-17T15:50:05.560,493318294,32747520
2021-06-17T15:50:06.565,498667418,32755712
2021-06-17T15:50:07.569,504041636,32796672
2021-06-17T15:50:08.589,515127716,32804864
2021-06-17T15:50:09.614,529982102,32825344
2021-06-17T15:50:10.642,549158614,32821248
2021-06-17T15:50:11.674,568776064,32841728
2021-06-17T15:50:12.706,593763398,32854016
2021-06-17T15:50:13.738,613370338,32837632
2021-06-17T15:50:14.763,634150762,32821248
2021-06-17T15:50:15.781,658525003,32841728
2021-06-17T15:50:16.810,678582737,32808960
2021-06-17T15:50:17.845,700328896,32837632
2021-06-17T15:50:18.866,718306084,32821248
2021-06-17T15:50:19.894,740756504,32825344
2021-06-17T15:50:20.926,763082643,32804864
2021-06-17T15:50:21.964,783123014,32808960
2021-06-17T15:50:23.010,800335879,32821248
2021-06-17T15:50:24.032,816641463,32825344
2021-06-17T15:50:25.047,834209309,32808960
2021-06-17T15:50:26.058,856966749,32825344
2021-06-17T15:50:27.103,880706097,32821248
2021-06-17T15:50:28.150,898420848,32837632
2021-06-17T15:50:29.174,918560136,32956416
2021-06-17T15:50:30.203,938298681,32808960
2021-06-17T15:50:31.250,961371077,32804864
2021-06-17T15:50:32.277,981561357,32825344
2021-06-17T15:50:33.298,998231091,32808960
2021-06-17T15:50:34.345,1025140208,32755712
2021-06-17T15:50:35.381,1043179937,32739328
2021-06-17T15:50:36.406,1061166730,32743424
2021-06-17T15:50:37.445,1077861650,32759808
2021-06-17T15:50:38.474,1097556939,32743424
2021-06-17T15:50:39.523,1118359121,32751616
2021-06-17T15:50:40.554,1139473094,32772096
2021-06-17T15:50:41.594,1166843319,32772096
2021-06-17T15:50:42.627,1192513991,32792576
2021-06-17T15:50:43.678,1218131896,32776192
2021-06-17T15:50:44.715,1238389832,32784384
2021-06-17T15:50:45.738,1255041702,32804864
2021-06-17T15:50:46.790,1275870025,32800768
2021-06-17T15:50:47.818,1297951213,32808960
2021-06-17T15:50:48.858,1319275610,32804864
2021-06-17T15:50:49.882,1337580453,32825344
2021-06-17T15:50:50.934,1357585083,32800768
2021-06-17T15:50:51.981,1379227093,32804864
2021-06-17T15:50:53.013,1401355080,32804864
2021-06-17T15:50:54.039,1417128545,32817152
2021-06-17T15:50:55.062,1437010424,32800768
2021-06-17T15:50:56.074,1455374763,32940032
2021-06-17T15:50:57.105,1475246174,32817152
2021-06-17T15:50:58.122,1497660150,32817152
2021-06-17T15:50:59.162,1520795433,32841728
2021-06-17T15:51:00.182,1541219795,32841728
2021-06-17T15:51:01.227,1562336836,32862208
2021-06-17T15:51:02.257,1587155741,32854016
2021-06-17T15:51:03.286,1604188631,32833536
2021-06-17T15:51:04.322,1619057108,32804864
2021-06-17T15:51:05.370,1639522981,32772096
2021-06-17T15:51:06.410,1663633354,32768000
2021-06-17T15:51:07.434,1682739770,32768000
2021-06-17T15:51:08.463,1701023583,32772096
2021-06-17T15:51:09.506,1717114985,32759808
2021-06-17T15:51:10.522,1736303177,32755712
2021-06-17T15:51:11.546,1756194755,32772096
2021-06-17T15:51:12.569,1773422530,32776192
2021-06-17T15:51:13.594,1799425958,32772096
2021-06-17T15:51:14.641,1818235803,32784384
2021-06-17T15:51:15.678,1836744057,32784384
2021-06-17T15:51:16.714,1853735381,32784384
2021-06-17T15:51:17.746,1872307493,32780288
2021-06-17T15:51:18.776,1894730780,32788480
2021-06-17T15:51:19.826,1916198814,32784384
2021-06-17T15:51:20.851,1932068846,32780288
