"Time","CPU","Memory"
2021-06-17T15:55:58.490,182073223,16642048
2021-06-17T15:55:59.590,300479660,30294016
2021-06-17T15:56:00.693,326241854,32702464
2021-06-17T15:56:01.698,331735922,32698368
2021-06-17T15:56:02.705,337129339,32698368
2021-06-17T15:56:03.710,342573253,32694272
2021-06-17T15:56:04.716,347966992,32710656
2021-06-17T15:56:05.721,353591840,32710656
2021-06-17T15:56:06.725,358924993,32743424
2021-06-17T15:56:07.730,364283924,32747520
2021-06-17T15:56:08.735,369989012,32763904
2021-06-17T15:56:09.740,375369380,32768000
2021-06-17T15:56:10.745,380677977,32755712
2021-06-17T15:56:11.750,386595271,32759808
2021-06-17T15:56:12.754,392064739,32759808
2021-06-17T15:56:13.759,397430300,32755712
2021-06-17T15:56:14.764,402807246,32792576
2021-06-17T15:56:15.769,408194272,32788480
2021-06-17T15:56:16.773,420505777,32792576
2021-06-17T15:56:17.779,431086739,32821248
2021-06-17T15:56:18.784,442805554,32833536
2021-06-17T15:56:19.789,454030233,32813056
2021-06-17T15:56:20.795,466951339,32813056
2021-06-17T15:56:21.800,478052385,32813056
2021-06-17T15:56:22.805,493835736,32780288
2021-06-17T15:56:23.811,505660171,32784384
2021-06-17T15:56:24.816,519128591,32784384
2021-06-17T15:56:25.827,530897533,32780288
2021-06-17T15:56:26.833,542631015,32796672
2021-06-17T15:56:27.838,553551696,32837632
2021-06-17T15:56:28.843,566250555,32833536
2021-06-17T15:56:29.849,577727163,32833536
2021-06-17T15:56:30.854,589994344,32821248
2021-06-17T15:56:31.860,601175602,32817152
2021-06-17T15:56:32.865,614558838,32833536
2021-06-17T15:56:33.870,628170330,32837632
2021-06-17T15:56:34.877,639259958,32817152
2021-06-17T15:56:35.883,652543245,32821248
2021-06-17T15:56:36.889,665784384,32804864
2021-06-17T15:56:37.894,677420086,32821248
2021-06-17T15:56:38.899,689742555,32821248
2021-06-17T15:56:39.905,703838978,32821248
2021-06-17T15:56:40.910,714860732,32817152
2021-06-17T15:56:41.918,725474520,32837632
2021-06-17T15:56:42.923,738617192,32837632
2021-06-17T15:56:43.929,750586796,32837632
2021-06-17T15:56:44.936,763604017,32931840
2021-06-17T15:56:45.943,775431240,32804864
2021-06-17T15:56:46.948,787951399,32800768
2021-06-17T15:56:47.954,800549472,32808960
2021-06-17T15:56:48.959,811842382,32804864
2021-06-17T15:56:49.965,824433077,32808960
2021-06-17T15:56:50.970,838063754,32808960
2021-06-17T15:56:51.976,850260949,32808960
2021-06-17T15:56:52.981,860462659,32813056
2021-06-17T15:56:53.986,872492028,32755712
2021-06-17T15:56:54.993,884292393,32772096
2021-06-17T15:56:56.002,896971040,32804864
2021-06-17T15:56:57.007,907389663,32804864
2021-06-17T15:56:58.012,919251464,32825344
2021-06-17T15:56:59.018,930644747,32804864
2021-06-17T15:57:00.023,943132315,32784384
2021-06-17T15:57:01.029,953453529,32772096
2021-06-17T15:57:02.034,965356563,32768000
2021-06-17T15:57:03.039,979450246,32776192
2021-06-17T15:57:04.045,994134239,32755712
2021-06-17T15:57:05.050,1007635676,32772096
2021-06-17T15:57:06.061,1021493024,32776192
2021-06-17T15:57:07.067,1034940534,32751616
2021-06-17T15:57:08.074,1047706413,32755712
2021-06-17T15:57:09.079,1060335094,32755712
2021-06-17T15:57:10.084,1072239774,32755712
2021-06-17T15:57:11.099,1083851185,32751616
2021-06-17T15:57:12.113,1095894605,32768000
2021-06-17T15:57:13.121,1110252002,32768000
2021-06-17T15:57:14.126,1121850173,32784384
2021-06-17T15:57:15.131,1135793703,32784384
2021-06-17T15:57:16.137,1147754503,32768000
2021-06-17T15:57:17.142,1159759709,32772096
2021-06-17T15:57:18.148,1172477956,32772096
2021-06-17T15:57:19.153,1184899590,32788480
2021-06-17T15:57:20.159,1197027840,32784384
2021-06-17T15:57:21.164,1209306964,32804864
2021-06-17T15:57:22.169,1220739050,32804864
2021-06-17T15:57:23.174,1233320018,32808960
2021-06-17T15:57:24.180,1243583323,32800768
2021-06-17T15:57:25.185,1255094040,32800768
2021-06-17T15:57:26.191,1268095719,32821248
2021-06-17T15:57:27.196,1279173088,32772096
2021-06-17T15:57:28.201,1292280348,32776192
2021-06-17T15:57:29.211,1302876662,32768000
