,users,values,time
0,16,0.0,17:17:30
1,50,14.166666666666666,17:17:35
2,83,14.5,17:17:40
3,99,14.7,17:17:45
4,132,14.3,17:17:50
5,165,14.4,17:17:55
6,181,14.4,17:18:00
7,214,14.3,17:18:05
8,246,14.8,17:18:10
9,263,14.9,17:18:15
10,296,14.6,17:18:20
11,329,15.0,17:18:25
12,346,14.6,17:18:30
13,378,14.2,17:18:35
14,410,14.8,17:18:40
15,426,14.6,17:18:45
16,459,15.1,17:18:50
17,491,14.3,17:18:55
18,509,15.1,17:19:00
19,544,16.0,17:19:05
20,576,15.1,17:19:10
21,593,15.3,17:19:15
22,626,14.2,17:19:20
23,660,13.5,17:19:25
24,677,14.2,17:19:30
25,710,15.5,17:19:35
26,742,16.7,17:19:40
27,759,17.9,17:19:45
28,791,20.0,17:19:50
29,825,20.0,17:19:55
30,840,20.8,17:20:00
31,874,20.1,17:20:05
32,906,18.6,17:20:10
33,923,18.8,17:20:15
34,956,20.3,17:20:20
35,989,20.5,17:20:25
36,1006,20.2,17:20:30
37,1039,19.4,17:20:35
38,1072,18.0,17:20:40
39,1089,18.9,17:20:45
40,1123,19.1,17:20:50
41,1156,20.2,17:20:55
42,1173,20.0,17:21:00
43,1204,20.0,17:21:05
44,1238,19.0,17:21:10
45,1255,19.7,17:21:15
46,1288,20.0,17:21:20
47,1321,19.5,17:21:25
48,1338,20.7,17:21:30
49,1371,20.0,17:21:35
50,1404,19.5,17:21:40
51,1421,20.4,17:21:45
52,1455,20.8,17:21:50
53,1488,22.9,17:21:55
54,1503,24.4,17:22:00
55,1536,24.3,17:22:05
56,1569,22.9,17:22:10
57,1584,25.3,17:22:15
58,1616,25.0,17:22:20
59,1649,25.2,17:22:25
60,1665,25.3,17:22:30
61,1696,25.8,17:22:35
62,1730,26.4,17:22:40
63,1746,26.5,17:22:45
64,1780,23.7,17:22:50
65,1815,23.7,17:22:55
66,1831,25.7,17:23:00
67,1865,25.9,17:23:05
68,1896,25.0,17:23:10
69,1912,26.1,17:23:15
70,1944,26.1,17:23:20
71,1977,26.3,17:23:25
72,1993,25.9,17:23:30
73,2027,22.3,17:23:35
74,2059,25.3,17:23:40
75,2076,25.7,17:23:45
76,2109,26.4,17:23:50
77,2141,25.7,17:23:55
78,2157,27.0,17:24:00
79,2189,28.8,17:24:05
80,2222,31.5,17:24:10
81,2239,28.9,17:24:15
82,2269,28.3,17:24:20
83,2303,31.7,17:24:25
84,2318,31.6,17:24:30
85,2350,31.4,17:24:35
86,2384,31.7,17:24:40
87,2400,31.7,17:24:45
88,2434,31.6,17:24:50
89,2467,31.9,17:24:55
90,2484,28.6,17:25:00
91,2516,27.2,17:25:05
92,2549,32.6,17:25:10
93,2565,32.9,17:25:15
94,2596,30.9,17:25:20
95,2628,31.2,17:25:25
96,2644,31.2,17:25:30
97,2677,31.0,17:25:35
98,2711,30.9,17:25:40
99,2727,28.8,17:25:45
100,2759,33.1,17:25:50
101,2792,32.5,17:25:55
102,2808,32.9,17:26:00
103,2841,32.0,17:26:05
104,2873,32.0,17:26:10
105,2889,31.8,17:26:15
106,2924,32.2,17:26:20
107,2940,35.3,17:26:25
108,2973,36.8,17:26:30
109,3007,36.8,17:26:35
110,3022,37.4,17:26:40
111,3056,36.9,17:26:45
112,3088,37.0,17:26:50
113,3103,37.0,17:26:55
114,3135,37.1,17:27:00
115,3167,33.0,17:27:05
116,3182,37.5,17:27:10
117,3216,36.8,17:27:15
118,3248,36.6,17:27:20
119,3266,37.4,17:27:25
120,3299,37.1,17:27:30
121,3331,36.5,17:27:35
122,3347,36.1,17:27:40
123,3380,36.8,17:27:45
124,3413,32.5,17:27:50
125,3430,37.4,17:27:55
126,3462,37.4,17:28:00
127,3495,36.9,17:28:05
128,3511,36.5,17:28:10
129,3546,36.5,17:28:15
130,3580,36.4,17:28:20
131,3597,36.9,17:28:25
132,3630,34.9,17:28:30
133,3662,36.7,17:28:35
134,3679,43.2,17:28:40
135,3711,42.1,17:28:45
136,3745,43.2,17:28:50
137,3760,43.0,17:28:55
138,3792,43.6,17:29:00
139,3824,42.5,17:29:05
140,3841,41.9,17:29:10
141,3873,35.2,17:29:15
142,3905,35.1,17:29:20
143,3921,42.5,17:29:25
144,3952,43.7,17:29:30
145,3984,43.5,17:29:35
146,4001,42.7,17:29:40
147,4035,42.9,17:29:45
148,4068,41.9,17:29:50
149,4085,41.6,17:29:55
150,4118,37.1,17:30:00
151,4149,42.3,17:30:05
152,4166,43.5,17:30:10
153,4198,42.7,17:30:15
154,4231,42.2,17:30:20
155,4248,42.5,17:30:25
156,4282,43.1,17:30:30
157,4314,43.2,17:30:35
158,4330,38.3,17:30:40
159,4364,41.9,17:30:45
160,4395,48.4,17:30:50
161,4411,49.5,17:30:55
162,4443,50.3,17:31:00
163,4474,49.1,17:31:05
164,4490,49.8,17:31:10
165,4522,49.9,17:31:15
166,4556,49.1,17:31:20
167,4572,42.1,17:31:25
168,4603,45.0,17:31:30
169,4635,48.1,17:31:35
170,4652,48.7,17:31:40
171,4683,47.9,17:31:45
172,4717,47.7,17:31:50
173,4734,47.9,17:31:55
174,4768,48.4,17:32:00
175,4800,49.5,17:32:05
