"Time","CPU","Memory"
2021-06-17T09:30:40.422,307350902,32628736
2021-06-17T09:30:41.427,312721693,32821248
2021-06-17T09:30:42.431,318181884,32706560
2021-06-17T09:30:43.437,323582423,32731136
2021-06-17T09:30:44.442,329030098,32727040
2021-06-17T09:30:45.447,334451689,32751616
2021-06-17T09:30:46.452,339953587,32792576
2021-06-17T09:30:47.457,345312505,32772096
2021-06-17T09:30:48.463,350504774,32784384
2021-06-17T09:30:49.468,355754064,32780288
2021-06-17T09:30:50.473,361177303,32772096
2021-06-17T09:30:51.478,366611934,32784384
2021-06-17T09:30:52.483,372163252,32808960
2021-06-17T09:30:53.488,377812138,32813056
2021-06-17T09:30:54.493,383209509,32837632
2021-06-17T09:30:55.498,388595531,32829440
2021-06-17T09:30:56.503,394121069,32845824
2021-06-17T09:30:57.508,399544230,32792576
2021-06-17T09:30:58.513,405061241,32772096
2021-06-17T09:30:59.518,410566719,32780288
2021-06-17T09:31:00.523,416111479,32784384
2021-06-17T09:31:01.527,421643956,32808960
2021-06-17T09:31:02.532,427220876,32821248
2021-06-17T09:31:03.537,432547400,32817152
2021-06-17T09:31:04.542,438099356,32804864
2021-06-17T09:31:05.547,443487667,32804864
2021-06-17T09:31:06.560,452091744,32796672
2021-06-17T09:31:07.572,469892635,32837632
2021-06-17T09:31:08.592,486149132,32874496
2021-06-17T09:31:09.604,502599682,32841728
2021-06-17T09:31:10.628,519461913,32845824
2021-06-17T09:31:11.648,534798862,32845824
2021-06-17T09:31:12.660,548732602,32849920
2021-06-17T09:31:13.680,561734060,32829440
2021-06-17T09:31:14.696,580655244,32833536
2021-06-17T09:31:15.712,601916617,32866304
2021-06-17T09:31:16.732,618547798,32866304
2021-06-17T09:31:17.750,638832773,32866304
2021-06-17T09:31:18.764,655184921,32886784
2021-06-17T09:31:19.769,668056829,32788480
2021-06-17T09:31:20.792,682889514,32784384
2021-06-17T09:31:21.808,699261483,32804864
2021-06-17T09:31:22.826,716243335,32788480
2021-06-17T09:31:23.846,731150554,32784384
2021-06-17T09:31:24.867,744366172,32804864
2021-06-17T09:31:25.880,757986149,32821248
2021-06-17T09:31:26.896,773556978,32837632
2021-06-17T09:31:27.911,788591941,32841728
2021-06-17T09:31:28.936,805309221,32833536
2021-06-17T09:31:29.947,825946085,32817152
2021-06-17T09:31:30.964,842858006,32813056
2021-06-17T09:31:31.980,863318892,32829440
2021-06-17T09:31:32.999,881056947,32813056
2021-06-17T09:31:34.020,901368055,32817152
2021-06-17T09:31:35.040,918524963,32817152
2021-06-17T09:31:36.052,931707816,32813056
2021-06-17T09:31:37.084,949366536,32796672
2021-06-17T09:31:38.098,960912496,32804864
2021-06-17T09:31:39.112,976350992,32800768
2021-06-17T09:31:40.128,995567368,32800768
2021-06-17T09:31:41.144,1010835020,32821248
2021-06-17T09:31:42.156,1026174517,32825344
2021-06-17T09:31:43.174,1044268395,32829440
2021-06-17T09:31:44.200,1057193763,32825344
2021-06-17T09:31:45.220,1077515387,32808960
2021-06-17T09:31:46.237,1094854888,32813056
2021-06-17T09:31:47.255,1109855220,32808960
2021-06-17T09:31:48.268,1126638222,32829440
2021-06-17T09:31:49.292,1141931089,32849920
2021-06-17T09:31:50.310,1157827721,32825344
2021-06-17T09:31:51.326,1172608669,32813056
2021-06-17T09:31:52.341,1184309677,32813056
2021-06-17T09:31:53.368,1203040346,32808960
2021-06-17T09:31:54.388,1221436291,32825344
2021-06-17T09:31:55.407,1238297376,32813056
2021-06-17T09:31:56.432,1252707014,32813056
2021-06-17T09:31:57.456,1268957021,32829440
2021-06-17T09:31:58.466,1289667483,32841728
2021-06-17T09:31:59.475,1304290442,32858112
2021-06-17T09:32:00.487,1319820097,32841728
2021-06-17T09:32:01.508,1334935981,32858112
2021-06-17T09:32:02.526,1349204775,32854016
2021-06-17T09:32:03.548,1362273714,32858112
2021-06-17T09:32:04.559,1377604698,32870400
2021-06-17T09:32:05.571,1393490542,32854016
2021-06-17T09:32:06.586,1408054147,32854016
