"Time","CPU","Memory"
2021-06-17T09:52:16.577,184480078,24842240
2021-06-17T09:52:17.582,344352635,46878720
2021-06-17T09:52:18.587,349766406,46764032
2021-06-17T09:52:19.592,355221685,46743552
2021-06-17T09:52:20.597,360960488,46743552
2021-06-17T09:52:21.603,366463380,46755840
2021-06-17T09:52:22.952,372083128,46764032
2021-06-17T09:52:23.957,377594733,46759936
2021-06-17T09:52:24.961,383006876,46768128
2021-06-17T09:52:25.967,388675581,46772224
2021-06-17T09:52:26.971,394303977,46780416
2021-06-17T09:52:27.976,399831736,46768128
2021-06-17T09:52:28.982,405473526,46784512
2021-06-17T09:52:29.986,411163643,46764032
2021-06-17T09:52:30.991,416627415,46776320
2021-06-17T09:52:31.996,422173451,46780416
2021-06-17T09:52:33.001,427616134,46739456
2021-06-17T09:52:34.006,433054256,46735360
2021-06-17T09:52:35.011,438678210,46768128
2021-06-17T09:52:36.016,444201248,46792704
2021-06-17T09:52:37.021,449906264,46772224
2021-06-17T09:52:38.026,455489266,46784512
2021-06-17T09:52:39.031,461241084,46784512
2021-06-17T09:52:40.036,466568615,46800896
2021-06-17T09:52:41.040,472017048,46780416
2021-06-17T09:52:42.045,477550704,46809088
2021-06-17T09:52:43.050,482974177,46796800
2021-06-17T09:52:44.064,488522389,46796800
2021-06-17T09:52:45.069,493972656,46800896
2021-06-17T09:52:46.074,499486188,46800896
2021-06-17T09:52:47.079,504893057,46780416
2021-06-17T09:52:48.084,510374138,46809088
2021-06-17T09:52:49.089,516022665,46817280
2021-06-17T09:52:50.094,521617458,46739456
2021-06-17T09:52:51.099,527322705,46755840
2021-06-17T09:52:52.104,532911379,46772224
2021-06-17T09:52:53.109,538465323,46772224
2021-06-17T09:52:54.114,544020332,46784512
2021-06-17T09:52:55.118,549620670,46768128
2021-06-17T09:52:56.123,555078302,46751744
2021-06-17T09:52:57.129,560634043,46743552
2021-06-17T09:52:58.134,566101889,46759936
2021-06-17T09:52:59.139,571815170,46768128
2021-06-17T09:53:00.144,577167910,46751744
2021-06-17T09:53:01.149,582686417,46755840
2021-06-17T09:53:02.153,588186092,46751744
2021-06-17T09:53:03.158,593644669,46759936
2021-06-17T09:53:04.163,599358873,46768128
2021-06-17T09:53:05.178,610804068,46784512
2021-06-17T09:53:06.187,625977038,46784512
2021-06-17T09:53:07.193,639754710,46784512
2021-06-17T09:53:08.198,653976780,46784512
2021-06-17T09:53:09.204,667337423,46804992
2021-06-17T09:53:10.212,681213991,46804992
2021-06-17T09:53:11.221,692931676,46800896
2021-06-17T09:53:12.227,706525858,46804992
2021-06-17T09:53:13.236,721555995,46809088
2021-06-17T09:53:14.242,733426549,46804992
2021-06-17T09:53:15.247,747010135,46804992
2021-06-17T09:53:16.253,759049062,46792704
2021-06-17T09:53:17.258,771707769,46792704
2021-06-17T09:53:18.263,787011570,46796800
2021-06-17T09:53:19.269,800557946,46792704
2021-06-17T09:53:20.274,813868712,46792704
2021-06-17T09:53:21.283,828285312,46792704
2021-06-17T09:53:22.316,840457764,46792704
2021-06-17T09:53:23.322,854727313,46792704
2021-06-17T09:53:24.327,868101453,46813184
2021-06-17T09:53:25.333,881022522,46796800
2021-06-17T09:53:26.338,893750169,46792704
2021-06-17T09:53:27.343,905676760,46792704
2021-06-17T09:53:28.349,917228731,46796800
2021-06-17T09:53:29.355,930717393,46800896
2021-06-17T09:53:30.360,942340889,46780416
2021-06-17T09:53:31.366,956394001,46776320
2021-06-17T09:53:32.371,968723697,46776320
2021-06-17T09:53:33.376,982471454,46796800
2021-06-17T09:53:34.382,996485009,46796800
2021-06-17T09:53:35.387,1009452002,46792704
2021-06-17T09:53:36.393,1023816952,46780416
2021-06-17T09:53:37.398,1037324243,46780416
2021-06-17T09:53:38.403,1050145272,46792704
2021-06-17T09:53:39.410,1062807008,46792704
2021-06-17T09:53:40.415,1074771436,46796800
2021-06-17T09:53:41.421,1088762786,46780416
2021-06-17T09:53:42.426,1102479921,46784512
2021-06-17T09:53:43.431,1114506488,46784512
2021-06-17T09:53:44.441,1126559536,46784512
2021-06-17T09:53:45.446,1139951434,46792704
2021-06-17T09:53:46.452,1152368596,46813184
2021-06-17T09:53:47.457,1165694704,46809088
2021-06-17T09:53:48.465,1177615212,46809088
2021-06-17T09:53:49.470,1190464709,46788608
2021-06-17T09:53:50.476,1203743498,46792704
2021-06-17T09:53:51.481,1216705158,46804992
2021-06-17T09:53:52.486,1228814388,46813184
2021-06-17T09:53:53.492,1244144410,46817280
2021-06-17T09:53:54.497,1256298123,46800896
2021-06-17T09:53:55.502,1269429729,46800896
2021-06-17T09:53:56.507,1281469773,46800896
2021-06-17T09:53:57.513,1293212591,46804992
2021-06-17T09:53:58.518,1306115494,46813184
2021-06-17T09:53:59.524,1319132254,46800896
2021-06-17T09:54:00.530,1330945033,46796800
2021-06-17T09:54:01.538,1344358689,46796800
2021-06-17T09:54:02.543,1357748662,46796800
2021-06-17T09:54:03.550,1369667448,46813184
2021-06-17T09:54:04.555,1380401364,46817280
2021-06-17T09:54:05.561,1392526155,46796800
2021-06-17T09:54:06.566,1407570617,46796800
2021-06-17T09:54:07.572,1420243788,46800896
2021-06-17T09:54:08.577,1432857070,46813184
2021-06-17T09:54:09.583,1445295894,46817280
2021-06-17T09:54:10.588,1456366210,46821376
2021-06-17T09:54:11.594,1470508797,46817280
2021-06-17T09:54:12.599,1483073306,46817280
2021-06-17T09:54:13.605,1494725169,46817280
2021-06-17T09:54:14.610,1509053130,46796800
2021-06-17T09:54:15.615,1522663770,46817280
2021-06-17T09:54:16.621,1535625133,46813184
2021-06-17T09:54:17.627,1548392242,46813184
2021-06-17T09:54:18.633,1561043324,46817280
2021-06-17T09:54:19.638,1575616961,46796800
2021-06-17T09:54:20.644,1587403696,46796800
2021-06-17T09:54:21.649,1600567133,46800896
2021-06-17T09:54:22.655,1615964309,46796800
2021-06-17T09:54:23.660,1629794066,46796800
2021-06-17T09:54:24.665,1643538465,46817280
2021-06-17T09:54:25.670,1655647155,46817280
2021-06-17T09:54:26.676,1668064077,46813184
2021-06-17T09:54:27.681,1679939406,46800896
2021-06-17T09:54:28.687,1692466448,46804992
2021-06-17T09:54:29.691,1705228352,46796800
2021-06-17T09:54:30.697,1715316817,46800896
2021-06-17T09:54:31.711,1729542718,46800896
2021-06-17T09:54:32.720,1742809504,46796800
2021-06-17T09:54:33.725,1758439920,46796800
2021-06-17T09:54:34.731,1772327918,46800896
2021-06-17T09:54:35.736,1784026816,46800896
2021-06-17T09:54:36.742,1796066335,46800896
2021-06-17T09:54:37.752,1807793902,46804992
2021-06-17T09:54:38.757,1822669550,46817280
2021-06-17T09:54:39.762,1833338229,46821376
2021-06-17T09:54:40.768,1848209192,46817280
2021-06-17T09:54:41.773,1861502805,46825472
2021-06-17T09:54:42.779,1875719387,46821376
2021-06-17T09:54:43.784,1887826509,46841856
2021-06-17T09:54:44.789,1901864608,46821376
2021-06-17T09:54:45.794,1914692233,46837760
2021-06-17T09:54:46.799,1926924153,46854144
2021-06-17T09:54:47.805,1939515270,46854144
2021-06-17T09:54:48.814,1951352615,46854144
2021-06-17T09:54:49.819,1965359413,46837760
2021-06-17T09:54:50.825,1976032806,46850048
2021-06-17T09:54:51.830,1989538695,46854144
2021-06-17T09:54:52.836,2002457965,46850048
2021-06-17T09:54:53.841,2013827561,46858240
2021-06-17T09:54:54.847,2026668396,46858240
2021-06-17T09:54:55.852,2037553195,46841856
2021-06-17T09:54:56.857,2051148375,46841856
2021-06-17T09:54:57.863,2064883985,46858240
2021-06-17T09:54:58.870,2077611972,46870528
2021-06-17T09:54:59.876,2088681536,46886912
2021-06-17T09:55:00.881,2099984583,46837760
2021-06-17T09:55:01.887,2112959538,46841856
2021-06-17T09:55:02.903,2126961882,46841856
2021-06-17T09:55:03.922,2142288536,46854144
2021-06-17T09:55:04.928,2154786748,46841856
2021-06-17T09:55:05.933,2170310752,46837760
2021-06-17T09:55:06.938,2184966223,46841856
2021-06-17T09:55:07.944,2196775937,46858240
2021-06-17T09:55:08.953,2211361865,46841856
2021-06-17T09:55:09.959,2222319531,46854144
2021-06-17T09:55:10.964,2235445136,46841856
2021-06-17T09:55:11.969,2249069402,46837760
