"Time","CPU","Memory"
2021-06-17T10:03:01.059,302155590,32669696
2021-06-17T10:03:02.064,307566864,32813056
2021-06-17T10:03:03.069,313301230,32718848
2021-06-17T10:03:04.074,318683627,32718848
2021-06-17T10:03:05.078,324124514,32731136
2021-06-17T10:03:06.083,329491373,32772096
2021-06-17T10:03:07.088,334850811,32788480
2021-06-17T10:03:08.093,340389153,32796672
2021-06-17T10:03:09.098,345839827,32796672
2021-06-17T10:03:10.102,351371992,32796672
2021-06-17T10:03:11.107,356658134,32825344
2021-06-17T10:03:12.113,362173998,32833536
2021-06-17T10:03:13.118,367941945,32833536
2021-06-17T10:03:14.122,373300524,32829440
2021-06-17T10:03:15.127,378761481,32788480
2021-06-17T10:03:16.132,384030856,32796672
2021-06-17T10:03:17.137,389328064,32813056
2021-06-17T10:03:18.141,395007169,32813056
2021-06-17T10:03:19.146,400430407,32829440
2021-06-17T10:03:20.151,405813257,32768000
2021-06-17T10:03:21.156,411244808,32743424
2021-06-17T10:03:22.161,416715283,32759808
2021-06-17T10:03:23.166,423952481,32755712
2021-06-17T10:03:24.171,436854835,32768000
2021-06-17T10:03:25.176,451098959,32776192
2021-06-17T10:03:26.181,464183527,32784384
2021-06-17T10:03:27.187,477515136,32788480
2021-06-17T10:03:28.192,490266892,32788480
2021-06-17T10:03:29.197,503106945,32788480
2021-06-17T10:03:30.202,515516015,32776192
2021-06-17T10:03:31.208,528804219,32788480
2021-06-17T10:03:32.218,541462924,32808960
2021-06-17T10:03:33.224,555707080,32808960
2021-06-17T10:03:34.230,569499528,32804864
2021-06-17T10:03:35.235,582151858,32792576
2021-06-17T10:03:36.241,594457876,32788480
2021-06-17T10:03:37.249,606699315,32792576
2021-06-17T10:03:38.254,621594861,32788480
2021-06-17T10:03:39.260,635059914,32788480
2021-06-17T10:03:40.265,648321520,32788480
2021-06-17T10:03:41.270,662330684,32796672
2021-06-17T10:03:42.275,673602849,32800768
2021-06-17T10:03:43.292,685114825,32784384
2021-06-17T10:03:44.297,697392726,32796672
2021-06-17T10:03:45.302,711731668,32780288
2021-06-17T10:03:46.307,724206358,32804864
2021-06-17T10:03:47.313,737553577,32821248
2021-06-17T10:03:48.318,748307305,32821248
2021-06-17T10:03:49.324,762329702,32825344
2021-06-17T10:03:50.339,776393264,32792576
2021-06-17T10:03:51.344,788608549,32792576
2021-06-17T10:03:52.349,801553643,32804864
2021-06-17T10:03:53.355,814735700,32792576
2021-06-17T10:03:54.360,828073705,32808960
2021-06-17T10:03:55.365,842924580,32821248
2021-06-17T10:03:56.371,853676796,32825344
2021-06-17T10:03:57.376,864691680,32821248
2021-06-17T10:03:58.381,877097722,32804864
2021-06-17T10:03:59.387,889734527,32804864
2021-06-17T10:04:00.431,905509976,32800768
2021-06-17T10:04:01.436,918298167,32825344
2021-06-17T10:04:02.442,930522749,32841728
2021-06-17T10:04:03.447,943061629,32825344
2021-06-17T10:04:04.452,956062870,32821248
2021-06-17T10:04:05.458,969984514,32800768
2021-06-17T10:04:06.463,984794672,32804864
2021-06-17T10:04:07.468,995676333,32804864
2021-06-17T10:04:08.474,1007423308,32808960
2021-06-17T10:04:09.479,1019620486,32804864
2021-06-17T10:04:10.484,1031327964,32804864
2021-06-17T10:04:11.490,1043877571,32808960
2021-06-17T10:04:12.495,1057404679,32825344
2021-06-17T10:04:13.504,1069308726,32804864
2021-06-17T10:04:14.510,1083104643,32804864
2021-06-17T10:04:15.515,1094536010,32808960
2021-06-17T10:04:16.520,1108534352,32808960
2021-06-17T10:04:17.526,1121089567,32825344
2021-06-17T10:04:18.534,1135382345,32808960
2021-06-17T10:04:19.539,1147861755,32808960
2021-06-17T10:04:20.548,1160581925,32808960
2021-06-17T10:04:21.554,1173933468,32804864
2021-06-17T10:04:22.559,1187370621,32784384
2021-06-17T10:04:23.566,1200168932,32813056
2021-06-17T10:04:24.571,1212088789,32792576
2021-06-17T10:04:25.582,1224807627,32792576
2021-06-17T10:04:26.587,1241252768,32788480
2021-06-17T10:04:27.593,1254416783,32796672
2021-06-17T10:04:28.598,1266311279,32792576
2021-06-17T10:04:29.603,1279364350,32792576
2021-06-17T10:04:30.608,1291429844,32788480
2021-06-17T10:04:31.614,1303827579,32808960
2021-06-17T10:04:32.619,1317140886,32792576
2021-06-17T10:04:33.624,1329417695,32792576
2021-06-17T10:04:34.630,1341402277,32788480
2021-06-17T10:04:35.635,1355472831,32792576
2021-06-17T10:04:36.642,1370466627,32792576
2021-06-17T10:04:37.648,1382323973,32808960
2021-06-17T10:04:38.653,1397238027,32796672
2021-06-17T10:04:39.659,1410357206,32804864
2021-06-17T10:04:40.674,1423518532,32808960
2021-06-17T10:04:41.679,1434840392,32813056
2021-06-17T10:04:42.685,1448078896,32813056
2021-06-17T10:04:43.690,1459972196,32825344
2021-06-17T10:04:44.695,1474811630,32817152
2021-06-17T10:04:45.700,1487248793,32825344
2021-06-17T10:04:46.707,1501527888,32821248
2021-06-17T10:04:47.715,1513881722,32817152
2021-06-17T10:04:48.724,1525943238,32817152
2021-06-17T10:04:49.731,1539034371,32817152
2021-06-17T10:04:50.741,1552787709,32817152
2021-06-17T10:04:51.746,1566454226,32808960
2021-06-17T10:04:52.752,1577429740,32804864
2021-06-17T10:04:53.757,1593719460,32821248
2021-06-17T10:04:54.763,1605169981,32817152
2021-06-17T10:04:55.768,1617993155,32821248
2021-06-17T10:04:56.776,1631465477,32817152
2021-06-17T10:04:57.782,1643951354,32829440
2021-06-17T10:04:58.787,1657675253,32808960
2021-06-17T10:04:59.792,1670600336,32825344
2021-06-17T10:05:00.809,1683146267,32813056
2021-06-17T10:05:01.814,1695183842,32808960
2021-06-17T10:05:02.819,1708202297,32821248
2021-06-17T10:05:03.825,1721314171,32821248
2021-06-17T10:05:04.830,1735645551,32825344
2021-06-17T10:05:05.835,1748323638,32821248
2021-06-17T10:05:06.840,1759993144,32821248
2021-06-17T10:05:07.846,1775446258,32821248
2021-06-17T10:05:08.851,1787808628,32829440
2021-06-17T10:05:09.856,1799412000,32821248
2021-06-17T10:05:10.862,1811624782,32821248
2021-06-17T10:05:11.867,1824131012,32821248
2021-06-17T10:05:12.872,1835235428,32808960
2021-06-17T10:05:13.877,1845654621,32825344
2021-06-17T10:05:14.883,1858782708,32841728
2021-06-17T10:05:15.900,1871741640,32825344
2021-06-17T10:05:16.906,1886441121,32821248
2021-06-17T10:05:17.911,1897759735,32817152
2021-06-17T10:05:18.916,1910686996,32825344
2021-06-17T10:05:19.922,1924637549,32821248
2021-06-17T10:05:20.927,1937765301,32821248
2021-06-17T10:05:21.932,1951715335,32825344
2021-06-17T10:05:22.938,1964726189,32821248
2021-06-17T10:05:23.943,1977305588,32804864
2021-06-17T10:05:24.951,1990775302,32804864
2021-06-17T10:05:25.962,2002654077,32808960
2021-06-17T10:05:26.968,2015977048,32813056
2021-06-17T10:05:27.973,2029755238,32808960
2021-06-17T10:05:28.978,2042721894,32808960
2021-06-17T10:05:29.984,2054747514,32804864
2021-06-17T10:05:30.989,2066990727,32804864
2021-06-17T10:05:31.997,2081406244,32808960
2021-06-17T10:05:33.002,2094182533,32804864
2021-06-17T10:05:34.007,2106082944,32804864
2021-06-17T10:05:35.013,2119529361,32935936
2021-06-17T10:05:36.021,2131456380,32808960
2021-06-17T10:05:37.026,2144414936,32808960
2021-06-17T10:05:38.031,2158632159,32804864
2021-06-17T10:05:39.037,2171069165,32808960
2021-06-17T10:05:40.045,2185090848,32808960
2021-06-17T10:05:41.060,2198047991,32804864
2021-06-17T10:05:42.066,2211794196,32804864
2021-06-17T10:05:43.071,2223841965,32825344
2021-06-17T10:05:44.076,2237044891,32841728
2021-06-17T10:05:45.082,2250363438,32841728
2021-06-17T10:05:46.087,2262554830,32841728
2021-06-17T10:05:47.092,2276157497,32837632
2021-06-17T10:05:48.098,2289297916,32841728
2021-06-17T10:05:49.103,2300675312,32841728
2021-06-17T10:05:50.108,2312379602,32837632
2021-06-17T10:05:51.114,2325188209,32837632
2021-06-17T10:05:52.119,2339205502,32837632
2021-06-17T10:05:53.124,2353215443,32837632
2021-06-17T10:05:54.130,2365968704,32821248
2021-06-17T10:05:55.135,2380880338,32825344
2021-06-17T10:05:56.140,2393469904,32841728
2021-06-17T10:05:57.146,2406070122,32841728
2021-06-17T10:05:58.151,2419020513,32841728
2021-06-17T10:05:59.156,2432471739,32825344
2021-06-17T10:06:00.161,2447499075,32821248
2021-06-17T10:06:01.167,2460937628,32825344
2021-06-17T10:06:02.172,2472421819,32821248
2021-06-17T10:06:03.177,2483334880,32821248
2021-06-17T10:06:04.183,2495933301,32804864
2021-06-17T10:06:05.188,2508616442,32804864
2021-06-17T10:06:06.203,2522396253,32804864
2021-06-17T10:06:07.208,2535230179,32825344
2021-06-17T10:06:08.215,2548505068,32808960
2021-06-17T10:06:09.222,2559158407,32808960
2021-06-17T10:06:10.228,2573506237,32813056
2021-06-17T10:06:11.233,2585738014,32845824
2021-06-17T10:06:12.238,2599513342,32858112
2021-06-17T10:06:13.244,2613504188,32845824
2021-06-17T10:06:14.249,2625972967,32841728
2021-06-17T10:06:15.254,2638577814,32841728
2021-06-17T10:06:16.277,2650891609,32837632
2021-06-17T10:06:17.283,2664390595,32874496
2021-06-17T10:06:18.288,2677818588,32858112
2021-06-17T10:06:19.294,2689594064,32858112
2021-06-17T10:06:20.299,2703653561,32870400
2021-06-17T10:06:21.315,2716678364,32837632
2021-06-17T10:06:22.321,2728141169,32858112
2021-06-17T10:06:23.326,2740074043,32874496
2021-06-17T10:06:24.331,2754513563,32870400
2021-06-17T10:06:25.337,2768387082,32866304
2021-06-17T10:06:26.342,2780674696,32866304
2021-06-17T10:06:27.348,2795117267,32870400
2021-06-17T10:06:28.353,2806912814,32854016
2021-06-17T10:06:29.359,2820772439,32849920
2021-06-17T10:06:30.364,2832839702,32854016
2021-06-17T10:06:31.369,2847803571,32854016
2021-06-17T10:06:32.375,2862111024,32849920
2021-06-17T10:06:33.380,2872813270,32862208
2021-06-17T10:06:34.385,2886118060,32862208
2021-06-17T10:06:35.391,2898377413,32858112
2021-06-17T10:06:36.398,2911826153,32858112
2021-06-17T10:06:37.403,2924997042,32862208
2021-06-17T10:06:38.408,2938673943,32858112
2021-06-17T10:06:39.414,2951163102,32862208
2021-06-17T10:06:40.419,2963992343,32858112
2021-06-17T10:06:41.425,2975223702,32854016
2021-06-17T10:06:42.430,2986415851,32866304
2021-06-17T10:06:43.435,2999049880,32862208
2021-06-17T10:06:44.441,3012216859,32862208
2021-06-17T10:06:45.449,3024803331,32870400
2021-06-17T10:06:46.461,3038900250,32780288
2021-06-17T10:06:47.467,3049815892,32780288
2021-06-17T10:06:48.472,3062057620,32788480
2021-06-17T10:06:49.477,3074747986,32780288
2021-06-17T10:06:50.483,3084993016,32780288
2021-06-17T10:06:51.496,3097734649,32780288
2021-06-17T10:06:52.501,3109982830,32800768
2021-06-17T10:06:53.509,3122106223,32796672
2021-06-17T10:06:54.514,3134838743,32800768
2021-06-17T10:06:55.519,3147760550,32796672
2021-06-17T10:06:56.525,3159482417,32800768
2021-06-17T10:06:57.530,3173502650,32800768
2021-06-17T10:06:58.536,3185848341,32796672
2021-06-17T10:06:59.541,3200562893,32780288
2021-06-17T10:07:00.546,3212981240,32780288
2021-06-17T10:07:01.552,3226257099,32784384
2021-06-17T10:07:02.559,3240573615,32784384
2021-06-17T10:07:03.569,3255015343,32784384
2021-06-17T10:07:04.575,3269541120,32821248
2021-06-17T10:07:05.580,3282139310,32821248
2021-06-17T10:07:06.586,3294068620,32817152
2021-06-17T10:07:07.592,3307123753,32813056
2021-06-17T10:07:08.597,3319298125,32813056
2021-06-17T10:07:09.603,3331320977,32813056
2021-06-17T10:07:10.608,3345030893,32792576
2021-06-17T10:07:11.679,3357720393,32796672
2021-06-17T10:07:12.685,3370085407,32817152
2021-06-17T10:07:13.691,3380626887,32821248
2021-06-17T10:07:14.696,3393118715,32817152
2021-06-17T10:07:15.711,3406876818,32796672
2021-06-17T10:07:16.719,3420893096,32808960
2021-06-17T10:07:17.724,3433196960,32808960
2021-06-17T10:07:18.730,3445952586,32808960
2021-06-17T10:07:19.735,3456555857,32829440
2021-06-17T10:07:20.740,3469410767,32833536
2021-06-17T10:07:21.745,3485807345,32829440
2021-06-17T10:07:22.751,3497995669,32829440
2021-06-17T10:07:23.756,3511572305,32817152
2021-06-17T10:07:24.761,3525128739,32833536
2021-06-17T10:07:25.767,3537760643,32849920
2021-06-17T10:07:26.772,3549446022,32849920
2021-06-17T10:07:27.778,3562649409,32862208
2021-06-17T10:07:28.787,3576010205,32866304
2021-06-17T10:07:29.793,3588270385,32866304
2021-06-17T10:07:30.798,3601090098,32862208
2021-06-17T10:07:31.803,3614409522,32862208
2021-06-17T10:07:32.809,3626927028,32866304
2021-06-17T10:07:33.817,3638430356,32858112
2021-06-17T10:07:34.822,3651677819,32845824
2021-06-17T10:07:35.827,3665394766,32866304
2021-06-17T10:07:36.832,3677573031,32866304
2021-06-17T10:07:37.837,3689261862,32862208
2021-06-17T10:07:38.843,3699353974,32866304
2021-06-17T10:07:39.849,3711058434,32866304
2021-06-17T10:07:40.861,3723636929,32862208
2021-06-17T10:07:41.866,3736545164,32862208
2021-06-17T10:07:42.872,3749062597,32866304
2021-06-17T10:07:43.883,3762664966,32849920
2021-06-17T10:07:44.889,3775515442,32854016
2021-06-17T10:07:45.895,3789419763,32849920
2021-06-17T10:07:46.900,3802828539,32862208
2021-06-17T10:07:47.905,3818505335,32862208
2021-06-17T10:07:48.911,3831215918,32862208
2021-06-17T10:07:49.916,3842886651,32854016
2021-06-17T10:07:50.922,3856653274,32858112
2021-06-17T10:07:51.927,3869441350,32862208
2021-06-17T10:07:52.932,3882872273,32878592
2021-06-17T10:07:53.940,3896843940,32878592
2021-06-17T10:07:54.953,3907662278,32882688
2021-06-17T10:07:55.957,3924015533,32878592
2021-06-17T10:07:56.963,3939171538,32878592
2021-06-17T10:07:57.968,3951905291,32878592
2021-06-17T10:07:58.973,3962397621,32878592
2021-06-17T10:07:59.979,3976856013,32878592
2021-06-17T10:08:00.984,3987945419,32874496
2021-06-17T10:08:01.989,3999751204,32878592
2021-06-17T10:08:02.995,4012360394,32878592
2021-06-17T10:08:04.006,4024750328,32890880
2021-06-17T10:08:05.012,4037879290,32862208
2021-06-17T10:08:06.017,4049934280,32874496
2021-06-17T10:08:07.022,4061625812,32894976
2021-06-17T10:08:08.030,4074748093,32890880
2021-06-17T10:08:09.036,4090039185,32894976
2021-06-17T10:08:10.041,4102706231,32890880
2021-06-17T10:08:11.047,4114171246,32878592
2021-06-17T10:08:12.055,4126113682,32878592
2021-06-17T10:08:13.060,4138049094,32878592
2021-06-17T10:08:14.068,4151548913,32886784
2021-06-17T10:08:15.073,4164497239,32874496
2021-06-17T10:08:16.079,4178237466,32862208
2021-06-17T10:08:17.084,4190400576,32858112
2021-06-17T10:08:18.090,4204166598,32858112
2021-06-17T10:08:19.095,4218428203,32862208
2021-06-17T10:08:20.100,4232848765,32878592
2021-06-17T10:08:21.106,4244829652,32894976
2021-06-17T10:08:22.111,4258934539,32878592
2021-06-17T10:08:23.117,4271374309,32882688
2021-06-17T10:08:24.122,4284596824,32874496
2021-06-17T10:08:25.133,4298225072,32878592
2021-06-17T10:08:26.138,4312067307,32874496
2021-06-17T10:08:27.143,4325781727,32874496
2021-06-17T10:08:28.149,4338426810,32874496
2021-06-17T10:08:29.154,4350723583,32890880
2021-06-17T10:08:30.159,4362797730,32890880
2021-06-17T10:08:31.164,4375051861,32890880
2021-06-17T10:08:32.170,4387915514,32894976
2021-06-17T10:08:33.175,4401767841,32874496
2021-06-17T10:08:34.180,4413590032,32878592
2021-06-17T10:08:35.204,4425094614,32858112
2021-06-17T10:08:36.209,4436635715,32862208
2021-06-17T10:08:37.218,4448899194,32858112
2021-06-17T10:08:38.223,4462468853,32862208
2021-06-17T10:08:39.228,4475132750,32862208
2021-06-17T10:08:40.234,4486835792,32862208
2021-06-17T10:08:41.239,4500034665,32866304
2021-06-17T10:08:42.244,4513350690,32862208
2021-06-17T10:08:43.250,4526538974,32858112
2021-06-17T10:08:44.255,4539805182,32878592
2021-06-17T10:08:45.266,4551737982,32866304
2021-06-17T10:08:46.271,4564437617,32862208
2021-06-17T10:08:47.276,4575599833,32858112
2021-06-17T10:08:48.282,4586439198,32862208
2021-06-17T10:08:49.287,4597910025,32862208
2021-06-17T10:08:50.292,4610698675,32862208
2021-06-17T10:08:51.298,4623593372,32858112
2021-06-17T10:08:52.303,4637068053,32858112
2021-06-17T10:08:53.308,4649018388,32858112
2021-06-17T10:08:54.315,4660607772,32858112
2021-06-17T10:08:55.327,4671901127,32874496
2021-06-17T10:08:56.334,4684246054,32878592
2021-06-17T10:08:57.339,4696791655,32878592
2021-06-17T10:08:58.354,4708386161,32890880
2021-06-17T10:08:59.360,4719961353,32890880
