"Time","CPU","Memory"
2021-06-17T15:04:25.493,285016224,28651520
2021-06-17T15:04:26.498,318453626,32866304
2021-06-17T15:04:27.503,323853572,32768000
2021-06-17T15:04:28.507,329129985,32751616
2021-06-17T15:04:29.512,334595542,32747520
2021-06-17T15:04:30.517,339981677,32776192
2021-06-17T15:04:31.522,345392644,32763904
2021-06-17T15:04:32.526,350812048,32759808
2021-06-17T15:04:33.531,356252900,32817152
2021-06-17T15:04:34.536,361572835,32800768
2021-06-17T15:04:35.541,366840539,32817152
2021-06-17T15:04:36.547,372078968,32833536
2021-06-17T15:04:37.552,377287921,32841728
2021-06-17T15:04:38.557,383006430,32825344
2021-06-17T15:04:39.562,388511956,32825344
2021-06-17T15:04:40.567,394001403,32808960
2021-06-17T15:04:41.572,399641977,32804864
2021-06-17T15:04:42.576,405105938,32804864
2021-06-17T15:04:43.581,410552899,32825344
2021-06-17T15:04:44.586,415913905,32829440
2021-06-17T15:04:45.591,421365649,32858112
2021-06-17T15:04:46.596,426804634,32874496
2021-06-17T15:04:47.600,432195075,32854016
2021-06-17T15:04:48.605,437498164,32878592
2021-06-17T15:04:49.610,442890594,32874496
2021-06-17T15:04:50.615,448319937,32874496
2021-06-17T15:04:51.619,453871284,32854016
2021-06-17T15:04:52.624,459181879,32858112
2021-06-17T15:04:53.629,464404296,32866304
2021-06-17T15:04:54.633,469871002,32874496
2021-06-17T15:04:55.643,475303177,32878592
2021-06-17T15:04:56.648,480834034,32878592
2021-06-17T15:04:57.653,486260903,32882688
2021-06-17T15:04:58.658,491528434,32870400
2021-06-17T15:04:59.663,497224344,32817152
2021-06-17T15:05:00.677,502445639,32796672
2021-06-17T15:05:01.681,507703796,32796672
2021-06-17T15:05:02.686,513116199,32821248
2021-06-17T15:05:03.691,518508240,32817152
2021-06-17T15:05:04.696,524067820,32825344
2021-06-17T15:05:05.701,529487542,32837632
2021-06-17T15:05:06.709,534986697,32858112
2021-06-17T15:05:07.714,540489684,32894976
2021-06-17T15:05:08.718,545836738,32882688
2021-06-17T15:05:09.723,551167378,32890880
2021-06-17T15:05:10.728,556641732,32874496
2021-06-17T15:05:11.733,562065955,32890880
2021-06-17T15:05:12.737,567480239,32907264
2021-06-17T15:05:13.742,572954459,32890880
2021-06-17T15:05:14.747,578419908,32894976
2021-06-17T15:05:15.751,583859532,32890880
2021-06-17T15:05:16.756,589460324,32903168
2021-06-17T15:05:17.761,594786234,32907264
2021-06-17T15:05:18.766,600345545,32903168
2021-06-17T15:05:19.771,605893267,32919552
2021-06-17T15:05:20.776,611517726,32903168
2021-06-17T15:05:21.780,616857843,32923648
2021-06-17T15:05:22.785,622217084,32923648
2021-06-17T15:05:23.790,627878133,32890880
2021-06-17T15:05:24.795,633302294,32894976
2021-06-17T15:05:25.799,638598383,32907264
2021-06-17T15:05:26.804,643959400,32911360
2021-06-17T15:05:27.809,649377048,32899072
2021-06-17T15:05:28.814,654863439,32833536
2021-06-17T15:05:29.818,660362687,32837632
2021-06-17T15:05:30.823,665841739,32845824
2021-06-17T15:05:31.828,671232847,32849920
2021-06-17T15:05:32.832,676633864,32849920
2021-06-17T15:05:33.837,682080812,32854016
2021-06-17T15:05:34.842,687409154,32870400
2021-06-17T15:05:35.847,692720728,32874496
2021-06-17T15:05:36.851,698166182,32882688
2021-06-17T15:05:37.856,703680952,32882688
2021-06-17T15:05:38.861,708971017,32862208
2021-06-17T15:05:39.866,714359031,32878592
2021-06-17T15:05:40.881,728642878,32845824
2021-06-17T15:05:41.902,746627646,32862208
2021-06-17T15:05:42.925,773207573,32845824
2021-06-17T15:05:43.951,793599259,32837632
2021-06-17T15:05:44.960,811149423,32833536
2021-06-17T15:05:45.982,833757189,32829440
2021-06-17T15:05:47.005,849805441,32833536
2021-06-17T15:05:48.030,873388037,32849920
2021-06-17T15:05:49.046,892754934,32866304
2021-06-17T15:05:50.066,913815894,32862208
2021-06-17T15:05:51.097,932675885,32849920
2021-06-17T15:05:52.121,952259236,32862208
2021-06-17T15:05:53.135,966804946,32849920
2021-06-17T15:05:54.170,982077657,32829440
2021-06-17T15:05:55.198,1003468783,32829440
2021-06-17T15:05:56.218,1023177624,32833536
2021-06-17T15:05:57.254,1037979377,32829440
2021-06-17T15:05:58.270,1066747471,32849920
2021-06-17T15:05:59.286,1094391932,32829440
2021-06-17T15:06:00.314,1121718965,32837632
2021-06-17T15:06:01.324,1145945903,32845824
2021-06-17T15:06:02.344,1162348253,32874496
2021-06-17T15:06:03.369,1186597977,32878592
2021-06-17T15:06:04.390,1207871689,32870400
2021-06-17T15:06:05.423,1226621014,32890880
2021-06-17T15:06:06.462,1244648038,32878592
2021-06-17T15:06:07.485,1260140308,32874496
2021-06-17T15:06:08.514,1282325978,32882688
2021-06-17T15:06:09.541,1303563206,32878592
2021-06-17T15:06:10.562,1326116686,32899072
