"Time","CPU","Memory"
2021-06-17T15:13:52.194,284284045,28651520
2021-06-17T15:13:53.204,319180600,32702464
2021-06-17T15:13:54.209,324627366,32739328
2021-06-17T15:13:55.214,329969177,32743424
2021-06-17T15:13:56.219,335647426,32747520
2021-06-17T15:13:57.224,341133086,32755712
2021-06-17T15:13:58.231,347149000,32755712
2021-06-17T15:13:59.237,352914596,32759808
2021-06-17T15:14:00.244,358187333,32792576
2021-06-17T15:14:01.257,363406175,32776192
2021-06-17T15:14:02.263,368527871,32780288
2021-06-17T15:14:03.267,373942028,32780288
2021-06-17T15:14:04.272,379472263,32800768
2021-06-17T15:14:05.277,385017601,32796672
2021-06-17T15:14:06.281,390252338,32776192
2021-06-17T15:14:07.286,395594922,32788480
2021-06-17T15:14:08.291,401006244,32813056
2021-06-17T15:14:09.296,406620836,32800768
2021-06-17T15:14:10.315,419236642,32808960
2021-06-17T15:14:11.345,436025645,32800768
2021-06-17T15:14:12.370,459208602,32800768
2021-06-17T15:14:13.397,484260664,32800768
2021-06-17T15:14:14.419,509576198,32804864
2021-06-17T15:14:15.443,529850618,32792576
2021-06-17T15:14:16.481,546545965,32792576
2021-06-17T15:14:17.504,561730533,32796672
2021-06-17T15:14:18.526,581604790,32817152
2021-06-17T15:14:19.541,603732141,32833536
2021-06-17T15:14:20.566,628368056,32796672
2021-06-17T15:14:21.594,647124457,32796672
2021-06-17T15:14:22.614,668143933,32804864
2021-06-17T15:14:23.637,691200298,32804864
2021-06-17T15:14:24.661,711096383,32813056
2021-06-17T15:14:25.681,731133423,32829440
2021-06-17T15:14:26.706,747323609,32825344
2021-06-17T15:14:27.726,766337071,32821248
2021-06-17T15:14:28.754,787574317,32841728
2021-06-17T15:14:29.773,807948586,32845824
2021-06-17T15:14:30.790,827168940,32825344
2021-06-17T15:14:31.813,844891526,32829440
2021-06-17T15:14:32.841,859637481,32829440
2021-06-17T15:14:33.873,881092323,32833536
2021-06-17T15:14:34.898,908345632,32829440
2021-06-17T15:14:35.925,935522650,32829440
2021-06-17T15:14:36.950,953280552,32825344
2021-06-17T15:14:37.972,972054052,32829440
2021-06-17T15:14:38.990,992812064,32841728
2021-06-17T15:14:40.014,1013467159,32845824
