"Time","CPU","Memory"
2021-06-17T15:19:38.494,185309139,17694720
2021-06-17T15:19:39.690,301544070,31969280
2021-06-17T15:19:40.792,324341871,32604160
2021-06-17T15:19:41.796,329632201,32641024
2021-06-17T15:19:42.801,335157403,32641024
2021-06-17T15:19:43.806,340408402,32681984
2021-06-17T15:19:44.811,345847046,32690176
2021-06-17T15:19:45.816,351366390,32694272
2021-06-17T15:19:46.821,356826187,32706560
2021-06-17T15:19:47.827,361932318,32698368
2021-06-17T15:19:48.832,367053866,32690176
2021-06-17T15:19:49.836,372316089,32722944
2021-06-17T15:19:50.841,377699951,32706560
2021-06-17T15:19:51.846,383046706,32694272
2021-06-17T15:19:52.851,388420271,32714752
2021-06-17T15:19:53.855,394042714,32718848
2021-06-17T15:19:54.860,399440461,32718848
2021-06-17T15:19:55.865,404832334,32735232
2021-06-17T15:19:56.870,410178231,32722944
2021-06-17T15:19:57.877,415576040,32718848
2021-06-17T15:19:58.882,420998955,32727040
2021-06-17T15:19:59.887,426607816,32743424
2021-06-17T15:20:00.892,432054793,32743424
2021-06-17T15:20:01.896,437656655,32714752
2021-06-17T15:20:02.901,443031398,32731136
2021-06-17T15:20:03.906,448339937,32759808
2021-06-17T15:20:04.911,453897156,32792576
2021-06-17T15:20:05.916,459408367,32784384
2021-06-17T15:20:06.921,464795852,32792576
2021-06-17T15:20:07.926,470303148,32792576
2021-06-17T15:20:08.931,475745186,32813056
2021-06-17T15:20:09.955,489350623,32833536
2021-06-17T15:20:10.968,514113955,32862208
2021-06-17T15:20:11.999,536858463,32792576
2021-06-17T15:20:13.039,560364612,32915456
2021-06-17T15:20:14.066,575281464,32714752
2021-06-17T15:20:15.102,590618542,32743424
2021-06-17T15:20:16.142,608015798,32747520
2021-06-17T15:20:17.177,626404140,32735232
2021-06-17T15:20:18.213,645075139,32751616
2021-06-17T15:20:19.250,667559978,32772096
2021-06-17T15:20:20.270,687571796,32772096
2021-06-17T15:20:21.302,705127743,32751616
2021-06-17T15:20:22.325,731445665,32759808
2021-06-17T15:20:23.366,750799041,32763904
2021-06-17T15:20:24.388,763003930,32768000
2021-06-17T15:20:25.406,780043243,32780288
2021-06-17T15:20:26.442,801486710,32784384
2021-06-17T15:20:27.457,816604142,32784384
2021-06-17T15:20:28.490,831241652,32751616
2021-06-17T15:20:29.517,847870587,32751616
2021-06-17T15:20:30.542,865062398,32751616
2021-06-17T15:20:31.558,879210831,32751616
2021-06-17T15:20:32.599,900822064,32768000
2021-06-17T15:20:33.621,916156761,32804864
2021-06-17T15:20:34.651,935885001,32768000
2021-06-17T15:20:35.678,960806412,32776192
2021-06-17T15:20:36.695,980543647,32788480
2021-06-17T15:20:37.725,996910719,32776192
2021-06-17T15:20:38.756,1012719435,32780288
2021-06-17T15:20:39.790,1035024979,32784384
