"Time","CPU","Memory"
2021-06-17T15:21:47.398,187198788,17797120
2021-06-17T15:21:48.594,299055353,30306304
2021-06-17T15:21:49.694,327502855,32768000
2021-06-17T15:21:50.699,333314583,32751616
2021-06-17T15:21:51.704,338567353,32751616
2021-06-17T15:21:52.709,344024487,32759808
2021-06-17T15:21:53.714,349986880,32768000
2021-06-17T15:21:54.719,355387298,32796672
2021-06-17T15:21:55.730,360649617,32800768
2021-06-17T15:21:56.744,366287776,32804864
2021-06-17T15:21:57.750,371566273,32829440
2021-06-17T15:21:58.755,377150277,32796672
2021-06-17T15:21:59.759,382738303,32829440
2021-06-17T15:22:00.764,388233693,32870400
2021-06-17T15:22:01.769,393919050,32874496
2021-06-17T15:22:02.774,399282566,32817152
2021-06-17T15:22:03.779,404790636,32821248
2021-06-17T15:22:04.784,410154614,32800768
2021-06-17T15:22:05.789,415574418,32800768
2021-06-17T15:22:06.794,421047358,32788480
2021-06-17T15:22:07.798,426595304,32768000
2021-06-17T15:22:08.803,432115664,32768000
2021-06-17T15:22:09.808,437707952,32772096
2021-06-17T15:22:10.813,443184799,32768000
2021-06-17T15:22:11.818,448661528,32792576
2021-06-17T15:22:12.830,457015466,32817152
2021-06-17T15:22:13.866,474711776,32849920
2021-06-17T15:22:14.913,496320843,32849920
2021-06-17T15:22:15.938,516370578,32849920
2021-06-17T15:22:16.974,533699158,32849920
2021-06-17T15:22:17.994,550974299,32837632
2021-06-17T15:22:19.018,572627719,32837632
2021-06-17T15:22:20.030,589000493,32841728
2021-06-17T15:22:21.054,610222342,32821248
2021-06-17T15:22:22.082,635164403,32825344
2021-06-17T15:22:23.115,653164213,32825344
2021-06-17T15:22:24.130,678997980,32825344
2021-06-17T15:22:25.169,702247738,32821248
2021-06-17T15:22:26.202,721571850,32841728
2021-06-17T15:22:27.249,740986549,32964608
2021-06-17T15:22:28.282,763009329,32829440
2021-06-17T15:22:29.315,779582583,32821248
2021-06-17T15:22:30.354,801539126,32821248
2021-06-17T15:22:31.386,823677349,32825344
2021-06-17T15:22:32.430,846642509,32825344
2021-06-17T15:22:33.481,872842715,32825344
2021-06-17T15:22:34.514,895156282,32837632
2021-06-17T15:22:35.538,912280558,32841728
2021-06-17T15:22:36.562,937349343,32845824
2021-06-17T15:22:37.602,962112587,32825344
2021-06-17T15:22:38.646,980791458,32935936
2021-06-17T15:22:39.679,1002672716,32821248
2021-06-17T15:22:40.701,1024917376,32841728
2021-06-17T15:22:41.717,1044807280,32841728
2021-06-17T15:22:42.742,1063013078,32821248
2021-06-17T15:22:43.770,1082151302,32825344
2021-06-17T15:22:44.805,1103217830,32821248
2021-06-17T15:22:45.833,1118598066,32825344
2021-06-17T15:22:46.866,1142399797,32923648
2021-06-17T15:22:47.898,1164253468,32845824
2021-06-17T15:22:48.938,1177306907,32866304
2021-06-17T15:22:49.998,1200327458,32985088
2021-06-17T15:22:51.018,1224318265,32858112
2021-06-17T15:22:52.053,1253145615,32878592
2021-06-17T15:22:53.078,1275001805,32882688
2021-06-17T15:22:54.096,1293606037,32878592
2021-06-17T15:22:55.130,1310312771,32894976
2021-06-17T15:22:56.162,1328758886,32813056
2021-06-17T15:22:57.186,1345870732,32813056
2021-06-17T15:22:58.222,1361867373,32796672
2021-06-17T15:22:59.258,1381120738,32792576
2021-06-17T15:23:00.286,1396751946,32800768
2021-06-17T15:23:01.298,1414322418,32813056
2021-06-17T15:23:02.339,1433880462,32784384
2021-06-17T15:23:03.373,1448689269,32784384
2021-06-17T15:23:04.398,1465169782,32784384
2021-06-17T15:23:05.426,1485189958,32780288
2021-06-17T15:23:06.446,1508769122,32800768
2021-06-17T15:23:07.474,1530752853,32808960
2021-06-17T15:23:08.506,1548218619,32804864
2021-06-17T15:23:09.536,1573317502,32804864
2021-06-17T15:23:10.561,1595292543,32804864
2021-06-17T15:23:11.593,1617962232,32792576
2021-06-17T15:23:12.631,1636949201,32849920
2021-06-17T15:23:13.668,1664718921,32821248
2021-06-17T15:23:14.685,1677059224,32829440
2021-06-17T15:23:15.728,1694846964,32829440
2021-06-17T15:23:16.754,1716153552,32841728
2021-06-17T15:23:17.782,1735545849,32862208
2021-06-17T15:23:18.806,1758162534,32874496
2021-06-17T15:23:19.826,1778703102,32886784
2021-06-17T15:23:20.858,1792561860,32923648
2021-06-17T15:23:21.879,1808974516,32907264
2021-06-17T15:23:22.914,1835325775,32796672
2021-06-17T15:23:23.965,1855244386,32800768
2021-06-17T15:23:24.990,1885719546,32825344
2021-06-17T15:23:26.014,1905496630,32829440
2021-06-17T15:23:27.058,1922701951,32825344
2021-06-17T15:23:28.093,1937623271,32821248
2021-06-17T15:23:29.130,1954088196,32825344
2021-06-17T15:23:30.170,1975836874,32849920
2021-06-17T15:23:31.194,1993847164,32849920
2021-06-17T15:23:32.213,2011136173,32866304
2021-06-17T15:23:33.234,2025700931,32845824
2021-06-17T15:23:34.262,2042242617,32841728
2021-06-17T15:23:35.288,2060488912,32845824
2021-06-17T15:23:36.314,2078535086,32849920
2021-06-17T15:23:37.346,2096156631,32866304
2021-06-17T15:23:38.374,2116412894,32866304
2021-06-17T15:23:39.402,2132627965,32878592
2021-06-17T15:23:40.440,2147767911,32849920
2021-06-17T15:23:41.466,2175250303,32829440
2021-06-17T15:23:42.494,2195909603,32845824
2021-06-17T15:23:43.527,2216971261,32849920
2021-06-17T15:23:44.554,2231360652,32854016
2021-06-17T15:23:45.587,2247955428,32899072
2021-06-17T15:23:46.618,2270950377,32907264
2021-06-17T15:23:47.653,2291927320,32899072
2021-06-17T15:23:48.698,2309976618,32903168
2021-06-17T15:23:49.721,2326899294,32903168
2021-06-17T15:23:50.742,2347185784,32899072
2021-06-17T15:23:51.789,2361142064,32903168
2021-06-17T15:23:52.821,2379974643,32903168
2021-06-17T15:23:53.846,2400071544,32919552
2021-06-17T15:23:54.882,2422390190,32919552
2021-06-17T15:23:55.915,2445558520,32915456
2021-06-17T15:23:56.939,2465979512,32903168
2021-06-17T15:23:57.954,2482734500,32886784
2021-06-17T15:23:58.986,2506779935,32952320
2021-06-17T15:24:00.021,2529397109,32866304
2021-06-17T15:24:01.042,2546707794,32882688
2021-06-17T15:24:02.078,2563684490,32882688
2021-06-17T15:24:03.102,2586256870,32899072
2021-06-17T15:24:04.137,2608965236,32907264
2021-06-17T15:24:05.171,2631399251,33042432
2021-06-17T15:24:06.198,2648667875,32903168
2021-06-17T15:24:07.231,2669572036,32915456
2021-06-17T15:24:08.265,2684437487,32886784
2021-06-17T15:24:09.314,2704680448,32882688
2021-06-17T15:24:10.346,2725508364,32886784
2021-06-17T15:24:11.378,2750032050,32890880
2021-06-17T15:24:12.406,2766512454,32870400
2021-06-17T15:24:13.434,2786889848,32882688
2021-06-17T15:24:14.450,2804529382,32903168
2021-06-17T15:24:15.474,2827056912,32866304
2021-06-17T15:24:16.489,2845897757,32866304
2021-06-17T15:24:17.510,2867303707,32866304
2021-06-17T15:24:18.515,2882923525,32874496
2021-06-17T15:24:19.534,2899302899,32870400
2021-06-17T15:24:20.541,2918086172,32874496
2021-06-17T15:24:21.558,2936088728,32870400
2021-06-17T15:24:22.590,2959130719,32894976
2021-06-17T15:24:23.622,2984161624,32890880
2021-06-17T15:24:24.640,3004120254,32886784
2021-06-17T15:24:25.664,3022978592,32890880
2021-06-17T15:24:26.698,3047598538,32886784
2021-06-17T15:24:27.734,3071103802,32890880
2021-06-17T15:24:28.774,3093972502,32886784
2021-06-17T15:24:29.806,3112458866,32890880
2021-06-17T15:24:30.822,3132752575,32866304
2021-06-17T15:24:31.842,3147948860,32870400
2021-06-17T15:24:32.862,3169810136,32870400
2021-06-17T15:24:33.898,3189849884,32882688
2021-06-17T15:24:34.945,3209235526,32886784
2021-06-17T15:24:35.971,3230597095,32792576
2021-06-17T15:24:36.998,3246074194,32780288
2021-06-17T15:24:38.031,3262893591,32788480
2021-06-17T15:24:39.054,3280008707,32800768
2021-06-17T15:24:40.074,3301450909,32804864
2021-06-17T15:24:41.109,3322390527,32800768
2021-06-17T15:24:42.130,3342402868,32796672
2021-06-17T15:24:43.177,3364729452,32817152
2021-06-17T15:24:44.210,3384755630,32804864
2021-06-17T15:24:45.230,3410285287,32800768
2021-06-17T15:24:46.262,3433963488,32804864
2021-06-17T15:24:47.302,3457368640,32833536
2021-06-17T15:24:48.330,3477530002,32829440
2021-06-17T15:24:49.357,3490126735,32825344
2021-06-17T15:24:50.382,3507170508,32808960
2021-06-17T15:24:51.417,3524273963,32808960
2021-06-17T15:24:52.453,3545522403,32808960
2021-06-17T15:24:53.486,3558248485,32808960
2021-06-17T15:24:54.518,3573447556,32808960
2021-06-17T15:24:55.549,3592113869,32808960
2021-06-17T15:24:56.572,3608750726,32940032
2021-06-17T15:24:57.599,3626960510,32817152
2021-06-17T15:24:58.634,3649617196,32817152
2021-06-17T15:24:59.665,3669962579,32829440
2021-06-17T15:25:00.699,3691021741,32845824
2021-06-17T15:25:01.728,3712423482,32858112
2021-06-17T15:25:02.754,3735889904,32870400
2021-06-17T15:25:03.785,3752858570,32849920
2021-06-17T15:25:04.806,3772745447,32854016
2021-06-17T15:25:05.842,3791642426,32870400
2021-06-17T15:25:06.877,3809622430,33005568
2021-06-17T15:25:07.896,3832514280,32882688
2021-06-17T15:25:08.950,3853381723,32870400
2021-06-17T15:25:09.982,3875580229,32870400
2021-06-17T15:25:11.002,3892030703,32874496
2021-06-17T15:25:12.027,3910410938,32870400
2021-06-17T15:25:13.066,3929018430,32886784
