"Time","CPU","Memory"
2021-06-17T15:30:13.191,196226291,18808832
2021-06-17T15:30:14.397,309329759,31887360
2021-06-17T15:30:15.493,325739452,32694272
2021-06-17T15:30:16.498,331019864,32694272
2021-06-17T15:30:17.503,336372499,32710656
2021-06-17T15:30:18.508,341717356,32698368
2021-06-17T15:30:19.513,347125766,32690176
2021-06-17T15:30:20.525,352403824,32722944
2021-06-17T15:30:21.537,357868076,32870400
2021-06-17T15:30:22.542,363177818,32727040
2021-06-17T15:30:23.547,368715916,32727040
2021-06-17T15:30:24.551,374165578,32739328
2021-06-17T15:30:25.556,379575780,32751616
2021-06-17T15:30:26.561,384963867,32776192
2021-06-17T15:30:27.566,390319804,32792576
2021-06-17T15:30:28.570,395874214,32763904
2021-06-17T15:30:29.576,401466688,32759808
2021-06-17T15:30:30.580,406782569,32772096
2021-06-17T15:30:31.585,412234228,32825344
2021-06-17T15:30:32.590,417679138,32817152
2021-06-17T15:30:33.595,423227496,32743424
2021-06-17T15:30:34.600,428778376,32743424
2021-06-17T15:30:35.605,434060254,32743424
2021-06-17T15:30:36.609,439574727,32739328
2021-06-17T15:30:37.614,444902004,32747520
2021-06-17T15:30:38.619,450248186,32743424
2021-06-17T15:30:39.623,455804838,32743424
2021-06-17T15:30:40.628,461158814,32747520
2021-06-17T15:30:41.633,466494427,32759808
2021-06-17T15:30:42.638,471980971,32743424
2021-06-17T15:30:43.643,477440179,32747520
2021-06-17T15:30:44.647,483030953,32780288
2021-06-17T15:30:45.652,488540183,32792576
2021-06-17T15:30:46.657,493911029,32776192
2021-06-17T15:30:47.662,499535382,32772096
2021-06-17T15:30:48.667,504907391,32792576
2021-06-17T15:30:49.672,510447840,32788480
2021-06-17T15:30:50.676,515834325,32808960
2021-06-17T15:30:51.681,521393012,32808960
2021-06-17T15:30:52.702,538760460,32808960
2021-06-17T15:30:53.746,562573340,32808960
2021-06-17T15:30:54.774,582152501,32813056
2021-06-17T15:30:55.814,604755569,32808960
2021-06-17T15:30:56.850,622170148,32804864
2021-06-17T15:30:57.889,637296947,32813056
2021-06-17T15:30:58.914,652461923,32808960
2021-06-17T15:30:59.958,675758515,32808960
2021-06-17T15:31:01.001,700022523,32813056
2021-06-17T15:31:02.020,718064026,32829440
2021-06-17T15:31:03.058,736989981,32813056
2021-06-17T15:31:04.090,759059033,32821248
2021-06-17T15:31:05.130,782994901,32837632
2021-06-17T15:31:06.150,807678903,32858112
2021-06-17T15:31:07.182,826835893,32849920
2021-06-17T15:31:08.226,846340840,32858112
2021-06-17T15:31:09.262,871391609,32866304
2021-06-17T15:31:10.301,893671536,32874496
2021-06-17T15:31:11.350,914301540,32858112
2021-06-17T15:31:12.385,935851518,32841728
2021-06-17T15:31:13.414,961005703,32858112
