"Time","CPU","Memory"
2021-06-22T09:35:59.670,101480363,4288512
2021-06-22T09:36:00.676,256866101,21057536
2021-06-22T09:36:01.709,262581254,20905984
2021-06-22T09:36:02.714,268295996,20889600
2021-06-22T09:36:03.719,273857796,20893696
2021-06-22T09:36:04.723,279587205,20901888
2021-06-22T09:36:05.728,285127542,20922368
2021-06-22T09:36:06.733,290738831,20914176
2021-06-22T09:36:07.738,296264890,20897792
2021-06-22T09:36:08.742,301738467,20901888
2021-06-22T09:36:09.747,307206314,20897792
2021-06-22T09:36:10.752,312889440,20918272
2021-06-22T09:36:11.776,318732141,20918272
2021-06-22T09:36:12.780,324153002,20934656
2021-06-22T09:36:13.785,329648333,20942848
2021-06-22T09:36:14.790,335146439,20934656
2021-06-22T09:36:15.794,340592306,20934656
2021-06-22T09:36:16.799,345984417,20938752
2021-06-22T09:36:17.804,351639298,20942848
2021-06-22T09:36:18.809,357123199,20934656
2021-06-22T09:36:19.814,362540114,20934656
2021-06-22T09:36:20.819,368101527,20951040
2021-06-22T09:36:21.824,373841400,20951040
2021-06-22T09:36:22.828,379263279,20951040
2021-06-22T09:36:23.833,384728949,20951040
2021-06-22T09:36:24.838,390322645,20942848
2021-06-22T09:36:25.842,395890999,20946944
2021-06-22T09:36:26.847,401467445,20951040
2021-06-22T09:36:27.852,406946071,20963328
2021-06-22T09:36:28.857,412648621,20942848
2021-06-22T09:36:29.862,478529892,21196800
2021-06-22T09:36:30.867,598317449,21438464
2021-06-22T09:36:31.873,835361450,21979136
2021-06-22T09:36:32.879,1016480059,21999616
2021-06-22T09:36:33.883,1263385454,22523904
2021-06-22T09:36:34.888,1587284354,23248896
2021-06-22T09:36:35.893,1831564084,23617536
2021-06-22T09:36:36.898,2066028983,23941120
2021-06-22T09:36:37.903,2368573927,24363008
2021-06-22T09:36:38.910,2644555016,24670208
2021-06-22T09:36:39.915,2878492110,24784896
2021-06-22T09:36:40.920,3082394881,25038848
2021-06-22T09:36:41.925,3340972734,25231360
2021-06-22T09:36:42.929,3598913267,25915392
2021-06-22T09:36:43.934,3916465524,26161152
2021-06-22T09:36:44.939,4235924228,26742784
2021-06-22T09:36:45.945,4445426344,27287552
2021-06-22T09:36:46.950,4729049836,27308032
2021-06-22T09:36:47.954,5013008389,27639808
2021-06-22T09:36:48.959,5273321976,28274688
2021-06-22T09:36:49.964,5520937986,28286976
2021-06-22T09:36:50.969,5799897458,28422144
2021-06-22T09:36:51.976,6059470777,28672000
2021-06-22T09:36:53.002,6437310601,29163520
2021-06-22T09:36:54.007,6752524703,29081600
2021-06-22T09:36:55.012,6991848156,28930048
2021-06-22T09:36:56.017,7238642451,28942336
2021-06-22T09:36:57.022,7517467808,29044736
2021-06-22T09:36:58.028,7753412082,28971008
2021-06-22T09:36:59.033,8070677687,29171712
2021-06-22T09:37:00.038,8379389884,29528064
2021-06-22T09:37:01.043,8667621336,29728768
2021-06-22T09:37:02.048,8927504334,29745152
2021-06-22T09:37:03.053,9219924410,29786112
2021-06-22T09:37:04.058,9474748977,30027776
2021-06-22T09:37:05.062,9797979237,29872128
2021-06-22T09:37:06.067,10403534998,29978624
2021-06-22T09:37:07.073,11413587214,29880320
2021-06-22T09:37:08.078,12024622168,29683712
2021-06-22T09:37:09.083,12030980224,29544448
2021-06-22T09:37:10.088,12037120909,29396992
2021-06-22T09:37:11.093,12044286514,29134848
2021-06-22T09:37:12.104,12325321970,28991488
2021-06-22T09:37:13.108,12938882863,28774400
2021-06-22T09:37:14.114,13947189687,28696576
2021-06-22T09:37:15.119,14479222137,28573696
2021-06-22T09:37:16.124,14486163739,28475392
2021-06-22T09:37:17.128,14492512949,28311552
