"Time","CPU","Memory"
2021-06-22T09:42:31.959,106963771,4603904
2021-06-22T09:42:32.965,257853561,20992000
2021-06-22T09:42:33.969,263289495,20910080
2021-06-22T09:42:34.975,269004194,20901888
2021-06-22T09:42:35.980,275012604,20897792
2021-06-22T09:42:36.984,280650200,20828160
2021-06-22T09:42:37.989,286095427,20832256
2021-06-22T09:42:38.994,291691020,20836352
2021-06-22T09:42:39.999,297162895,20844544
2021-06-22T09:42:41.004,303053553,20860928
2021-06-22T09:42:42.009,308626018,20869120
2021-06-22T09:42:43.013,314394330,20860928
2021-06-22T09:42:44.018,319895939,20869120
2021-06-22T09:42:45.023,325505212,20901888
2021-06-22T09:42:46.028,331000955,20889600
2021-06-22T09:42:47.033,336705257,20918272
2021-06-22T09:42:48.037,342229081,20881408
2021-06-22T09:42:49.042,347866712,20881408
2021-06-22T09:42:50.047,353458185,20889600
2021-06-22T09:42:51.052,359092917,20901888
2021-06-22T09:42:52.056,364577900,20897792
2021-06-22T09:42:53.061,370113290,20901888
2021-06-22T09:42:54.066,375623311,20897792
2021-06-22T09:42:55.070,381201059,20873216
2021-06-22T09:42:56.075,386637744,20877312
2021-06-22T09:42:57.080,392216106,20881408
2021-06-22T09:42:58.093,397994120,20885504
2021-06-22T09:42:59.097,403584032,20905984
2021-06-22T09:43:00.103,409126090,20930560
2021-06-22T09:43:01.108,414719656,20934656
2021-06-22T09:43:02.113,420371597,20914176
2021-06-22T09:43:03.118,425975749,20897792
2021-06-22T09:43:04.123,431562768,20885504
2021-06-22T09:43:05.128,437281461,20881408
2021-06-22T09:43:06.133,444839951,21127168
2021-06-22T09:43:07.137,450561155,21139456
2021-06-22T09:43:08.142,456200541,21118976
2021-06-22T09:43:09.147,461804254,21127168
2021-06-22T09:43:10.152,467844463,21135360
2021-06-22T09:43:11.156,473808116,21147648
2021-06-22T09:43:12.161,479402481,21147648
2021-06-22T09:43:13.166,485002591,21164032
2021-06-22T09:43:14.171,490464326,21168128
2021-06-22T09:43:15.175,496056561,21164032
2021-06-22T09:43:16.180,502489847,21188608
2021-06-22T09:43:17.185,508138910,21143552
2021-06-22T09:43:18.190,513686341,21090304
2021-06-22T09:43:19.195,519421146,21090304
2021-06-22T09:43:20.200,525212916,21090304
2021-06-22T09:43:21.205,530751602,21114880
2021-06-22T09:43:22.209,536683442,21147648
2021-06-22T09:43:23.214,542175976,21151744
2021-06-22T09:43:24.219,547776276,21143552
2021-06-22T09:43:25.224,554431716,21254144
2021-06-22T09:43:26.229,559949549,21159936
2021-06-22T09:43:27.234,565456349,21164032
2021-06-22T09:43:28.238,571085895,21127168
2021-06-22T09:43:29.243,576589648,21127168
2021-06-22T09:43:30.248,582195072,21143552
2021-06-22T09:43:31.260,587846790,21131264
2021-06-22T09:43:32.265,593563460,21155840
2021-06-22T09:43:33.270,599126200,21159936
2021-06-22T09:43:34.275,604697156,21159936
2021-06-22T09:43:35.280,611329293,21286912
2021-06-22T09:43:36.285,616912281,21172224
2021-06-22T09:43:37.289,622560402,21172224
2021-06-22T09:43:38.294,628098881,21172224
2021-06-22T09:43:39.299,633696344,21155840
2021-06-22T09:43:40.304,639340593,21155840
2021-06-22T09:43:41.308,645002819,21168128
2021-06-22T09:43:42.313,650616111,21172224
2021-06-22T09:43:43.318,656255992,21159936
2021-06-22T09:43:44.323,661910154,21176320
2021-06-22T09:43:45.328,668807402,21311488
2021-06-22T09:43:46.333,674315132,21204992
2021-06-22T09:43:47.338,680057191,21213184
2021-06-22T09:43:48.342,685503431,21123072
2021-06-22T09:43:49.347,691106391,21123072
2021-06-22T09:43:50.352,696663891,21143552
2021-06-22T09:43:51.356,702317293,21155840
2021-06-22T09:43:52.361,707960351,21172224
