"Time","CPU","Memory"
2021-06-22T09:53:10.831,206677464,15589376
2021-06-22T09:53:11.931,259130535,20750336
2021-06-22T09:53:12.939,264801924,20815872
2021-06-22T09:53:13.944,270932596,20799488
2021-06-22T09:53:14.949,276360644,20803584
2021-06-22T09:53:15.954,281902542,20803584
2021-06-22T09:53:16.963,287497191,20807680
2021-06-22T09:53:17.967,292951863,20828160
2021-06-22T09:53:18.996,298563961,20828160
2021-06-22T09:53:20.001,304109223,20807680
2021-06-22T09:53:21.006,309516240,20819968
2021-06-22T09:53:22.033,315172616,20811776
2021-06-22T09:53:23.038,320472651,20828160
2021-06-22T09:53:24.043,325923113,20824064
2021-06-22T09:53:25.047,331282107,20828160
2021-06-22T09:53:26.052,336694854,20824064
2021-06-22T09:53:27.057,342155404,20852736
2021-06-22T09:53:28.061,347502163,20819968
2021-06-22T09:53:29.066,352886059,20815872
2021-06-22T09:53:30.070,358268575,20836352
2021-06-22T09:53:31.075,363695902,20807680
2021-06-22T09:53:32.080,369281238,20807680
2021-06-22T09:53:33.085,374773556,20824064
2021-06-22T09:53:34.090,380386419,20819968
2021-06-22T09:53:35.094,385880348,20824064
2021-06-22T09:53:36.099,391304469,20840448
2021-06-22T09:53:37.104,396849238,20881408
2021-06-22T09:53:38.109,402382055,20889600
2021-06-22T09:53:39.114,407764569,20905984
2021-06-22T09:53:40.118,413198975,20918272
2021-06-22T09:53:41.123,420450050,21135360
2021-06-22T09:53:42.128,425894297,21131264
2021-06-22T09:53:43.133,431437133,21127168
2021-06-22T09:53:44.137,436960841,21131264
2021-06-22T09:53:45.142,442396364,21114880
2021-06-22T09:53:46.147,447993058,21123072
2021-06-22T09:53:47.151,453341709,21131264
2021-06-22T09:53:48.156,458886012,21147648
2021-06-22T09:53:49.161,464296238,21114880
2021-06-22T09:53:50.166,501070293,21434368
2021-06-22T09:53:51.179,635904576,21753856
2021-06-22T09:53:52.184,800536459,21880832
2021-06-22T09:53:53.189,1040377090,22171648
2021-06-22T09:53:54.193,1196681830,22585344
2021-06-22T09:53:55.198,1472940373,22519808
2021-06-22T09:53:56.203,1838644589,23244800
2021-06-22T09:53:57.207,2086291624,23642112
2021-06-22T09:53:58.212,2354011466,24137728
2021-06-22T09:53:59.217,2602174928,24707072
2021-06-22T09:54:00.222,2910116689,24961024
2021-06-22T09:54:01.226,3170890002,25120768
2021-06-22T09:54:02.231,3396622368,25370624
2021-06-22T09:54:03.236,3636015388,25763840
2021-06-22T09:54:04.241,3933558832,26374144
2021-06-22T09:54:05.245,4153269555,26697728
2021-06-22T09:54:06.256,4406601546,26976256
2021-06-22T09:54:07.262,4660470672,27066368
2021-06-22T09:54:08.267,4950411008,27480064
2021-06-22T09:54:09.271,5164322194,27938816
2021-06-22T09:54:10.276,5414171455,28450816
2021-06-22T09:54:11.281,5643742372,28409856
2021-06-22T09:54:12.286,5899399454,28504064
2021-06-22T09:54:13.290,6161276871,28921856
2021-06-22T09:54:14.295,6423730264,29040640
2021-06-22T09:54:15.300,6639199869,29364224
2021-06-22T09:54:16.305,6822573076,29519872
2021-06-22T09:54:17.310,7122277580,29548544
2021-06-22T09:54:18.316,7500662753,29913088
2021-06-22T09:54:19.320,7778615175,29827072
2021-06-22T09:54:20.325,8045481972,29933568
2021-06-22T09:54:21.330,8298239293,30048256
2021-06-22T09:54:22.336,8587737618,30302208
2021-06-22T09:54:23.340,8896263847,30474240
2021-06-22T09:54:24.345,9121764875,30564352
2021-06-22T09:54:25.350,9394242355,30543872
2021-06-22T09:54:26.364,10040779121,30638080
2021-06-22T09:54:27.369,11049219501,30498816
2021-06-22T09:54:28.374,11611359057,30199808
2021-06-22T09:54:29.379,11618113631,29990912
2021-06-22T09:54:30.384,11624256648,29855744
2021-06-22T09:54:31.389,11631885158,29724672
2021-06-22T09:54:32.394,11641028867,29569024
