"Time","CPU","Memory"
2021-06-18T10:42:13.530,80594323,4014080
2021-06-18T10:42:14.535,127282173,8384512
2021-06-18T10:42:15.540,132659364,8298496
2021-06-18T10:42:16.544,138273773,8294400
2021-06-18T10:42:17.549,143620823,8331264
2021-06-18T10:42:18.554,148862010,8331264
2021-06-18T10:42:19.558,154140494,8355840
2021-06-18T10:42:20.563,159445279,8368128
2021-06-18T10:42:21.808,164883688,8372224
2021-06-18T10:42:22.813,170211561,8359936
2021-06-18T10:42:23.818,175455979,8372224
2021-06-18T10:42:24.822,180642430,8359936
2021-06-18T10:42:25.827,186016464,8290304
2021-06-18T10:42:26.832,191231978,8298496
2021-06-18T10:42:27.836,196513293,8302592
2021-06-18T10:42:28.841,201948491,8310784
2021-06-18T10:42:29.846,207383944,8327168
2021-06-18T10:42:30.850,212760177,8327168
2021-06-18T10:42:31.855,218035324,8339456
2021-06-18T10:42:32.859,223252488,8335360
2021-06-18T10:42:33.864,228580410,8335360
2021-06-18T10:42:34.869,233932214,8351744
2021-06-18T10:42:35.873,239176002,8339456
2021-06-18T10:42:36.878,244394018,8376320
2021-06-18T10:42:37.882,249667999,8388608
2021-06-18T10:42:38.887,255052887,8380416
2021-06-18T10:42:39.892,260422319,8404992
2021-06-18T10:42:40.896,265762048,8404992
2021-06-18T10:42:41.901,272616336,8507392
2021-06-18T10:42:42.906,278240227,8486912
2021-06-18T10:42:43.914,286918747,8507392
2021-06-18T10:42:44.919,292504235,8495104
2021-06-18T10:42:45.923,298097352,8507392
2021-06-18T10:42:46.928,303582309,8486912
2021-06-18T10:42:47.933,308990735,8507392
2021-06-18T10:42:48.938,314347452,8491008
2021-06-18T10:42:49.943,320225259,8523776
2021-06-18T10:42:50.947,326037383,8503296
2021-06-18T10:42:51.952,331606642,8519680
2021-06-18T10:42:52.957,337158593,8523776
2021-06-18T10:42:53.962,342593144,8527872
2021-06-18T10:42:54.966,347933729,8503296
2021-06-18T10:42:55.971,353363656,8523776
2021-06-18T10:42:56.976,358668896,8519680
2021-06-18T10:42:57.980,364287021,8523776
2021-06-18T10:42:58.986,370425305,8515584
2021-06-18T10:42:59.994,378606056,8531968
2021-06-18T10:43:01.000,385801038,8531968
2021-06-18T10:43:02.005,391649527,8531968
2021-06-18T10:43:03.010,396971704,8527872
2021-06-18T10:43:04.014,402434597,8531968
2021-06-18T10:43:05.021,408843695,8544256
2021-06-18T10:43:06.026,414965799,8548352
2021-06-18T10:43:07.030,420640426,8531968
2021-06-18T10:43:08.035,426121299,8540160
2021-06-18T10:43:09.040,431497507,8523776
2021-06-18T10:43:10.044,436798986,8548352
2021-06-18T10:43:11.051,442386087,8544256
2021-06-18T10:43:12.056,448045344,8515584
2021-06-18T10:43:13.060,453240839,8531968
2021-06-18T10:43:14.065,458481047,8531968
2021-06-18T10:43:15.069,463817200,8511488
2021-06-18T10:43:16.074,469410715,8425472
2021-06-18T10:43:17.080,475881866,8429568
2021-06-18T10:43:18.085,481289551,8429568
2021-06-18T10:43:19.089,487065986,8433664
2021-06-18T10:43:20.094,492387546,8433664
2021-06-18T10:43:21.098,497816731,8437760
2021-06-18T10:43:22.103,503325540,8433664
2021-06-18T10:43:23.107,508700679,8445952
2021-06-18T10:43:24.113,514525737,8450048
2021-06-18T10:43:25.117,519933582,8445952
2021-06-18T10:43:26.122,525382114,8445952
2021-06-18T10:43:27.127,530783768,8445952
2021-06-18T10:43:28.131,536441760,8445952
2021-06-18T10:43:29.136,541852125,8466432
2021-06-18T10:43:30.140,547133679,8466432
2021-06-18T10:43:31.145,552471501,8450048
2021-06-18T10:43:32.150,558724259,8450048
2021-06-18T10:43:33.156,564122506,8470528
2021-06-18T10:43:34.160,569729699,8470528
2021-06-18T10:43:35.165,574926820,8482816
2021-06-18T10:43:36.170,580282018,8462336
2021-06-18T10:43:37.175,585768879,8478720
2021-06-18T10:43:38.180,591189618,8486912
2021-06-18T10:43:39.185,597077770,8441856
2021-06-18T10:43:40.189,602772255,8458240
2021-06-18T10:43:41.195,608044944,8458240
2021-06-18T10:43:42.200,613600005,8454144
2021-06-18T10:43:43.205,619039192,8474624
2021-06-18T10:43:44.210,624351704,8441856
2021-06-18T10:43:45.215,630029538,8437760
2021-06-18T10:43:46.220,635810449,8466432
2021-06-18T10:43:47.225,641449439,8441856
2021-06-18T10:43:48.230,646834985,8470528
2021-06-18T10:43:49.246,652402938,8474624
2021-06-18T10:43:50.250,658430561,8478720
2021-06-18T10:43:51.256,664019674,8474624
2021-06-18T10:43:52.261,670872523,8478720
2021-06-18T10:43:53.266,676104416,8486912
2021-06-18T10:43:54.279,681642477,8491008
2021-06-18T10:43:55.284,686951047,8482816
2021-06-18T10:43:56.291,696931528,9412608
2021-06-18T10:43:57.301,709740952,8531968
2021-06-18T10:43:58.306,715283595,8544256
2021-06-18T10:43:59.311,720820721,8536064
2021-06-18T10:44:00.316,726359316,8531968
2021-06-18T10:44:01.321,731961555,8544256
2021-06-18T10:44:02.326,738084142,8531968
2021-06-18T10:44:03.331,743438934,8531968
2021-06-18T10:44:04.335,749127077,8527872
2021-06-18T10:44:05.340,754466864,8531968
2021-06-18T10:44:06.345,760448317,8552448
2021-06-18T10:44:07.350,765959932,8556544
2021-06-18T10:44:08.355,771487067,8556544
2021-06-18T10:44:09.359,777027044,8585216
2021-06-18T10:44:10.364,782269709,8601600
2021-06-18T10:44:11.369,787568997,8597504
2021-06-18T10:44:12.373,793318101,8589312
2021-06-18T10:44:13.378,798642025,8568832
2021-06-18T10:44:14.383,804118845,8568832
2021-06-18T10:44:15.388,809424494,8568832
2021-06-18T10:44:16.393,814727494,8589312
2021-06-18T10:44:17.397,820240247,8572928
2021-06-18T10:44:18.402,825560768,8572928
2021-06-18T10:44:19.407,831524903,8552448
2021-06-18T10:44:20.412,836948673,8552448
2021-06-18T10:44:21.417,842525365,8556544
2021-06-18T10:44:22.422,848181078,8572928
2021-06-18T10:44:23.426,853574714,8572928
2021-06-18T10:44:24.431,859003203,8572928
2021-06-18T10:44:25.436,864314309,8568832
2021-06-18T10:44:26.441,869680161,8589312
