"Time","CPU","Memory"
2021-06-18T10:42:14.080,53973748,1835008
2021-06-18T10:42:15.086,60071544,2064384
2021-06-18T10:42:16.091,66142760,1970176
2021-06-18T10:42:17.097,72198985,2015232
2021-06-18T10:42:18.114,78146322,2007040
2021-06-18T10:42:19.119,84330482,2027520
2021-06-18T10:42:20.124,90374232,2027520
2021-06-18T10:42:21.130,96625726,2035712
2021-06-18T10:42:22.135,102723717,2060288
2021-06-18T10:42:23.141,108792124,2084864
2021-06-18T10:42:24.147,115204265,2084864
2021-06-18T10:42:25.152,121129325,2064384
2021-06-18T10:42:26.157,127285704,2084864
2021-06-18T10:42:27.163,133478349,2068480
2021-06-18T10:42:28.168,139612305,2080768
2021-06-18T10:42:29.173,145542595,2064384
2021-06-18T10:42:30.178,151639107,2080768
2021-06-18T10:42:31.184,157784681,2084864
2021-06-18T10:42:32.189,163972792,2088960
2021-06-18T10:42:33.195,169840190,2097152
2021-06-18T10:42:34.200,175889490,2080768
2021-06-18T10:42:35.205,181901015,2080768
2021-06-18T10:42:36.210,187857646,2084864
2021-06-18T10:42:37.215,193864494,2097152
2021-06-18T10:42:38.242,199756234,2101248
2021-06-18T10:42:39.247,205886409,2105344
2021-06-18T10:42:40.252,211920342,2097152
2021-06-18T10:42:41.257,218024867,2084864
2021-06-18T10:42:42.262,224107230,2097152
2021-06-18T10:42:43.275,230327020,2076672
2021-06-18T10:42:44.281,236859191,2064384
2021-06-18T10:42:45.287,244580659,2101248
2021-06-18T10:42:46.292,250760201,2093056
2021-06-18T10:42:47.298,257026794,2080768
2021-06-18T10:42:48.309,263312810,2080768
2021-06-18T10:42:49.314,270099853,2113536
2021-06-18T10:42:50.320,276344837,2142208
2021-06-18T10:42:51.325,283123502,2076672
2021-06-18T10:42:52.331,289495471,2064384
2021-06-18T10:42:53.359,296038240,2080768
2021-06-18T10:42:54.364,302111959,2088960
2021-06-18T10:42:55.370,308249755,2088960
2021-06-18T10:42:56.375,314782111,2101248
2021-06-18T10:42:57.380,321002986,2080768
2021-06-18T10:42:58.386,327155639,2060288
2021-06-18T10:42:59.391,333545969,2076672
2021-06-18T10:43:00.396,339694315,2088960
2021-06-18T10:43:01.402,346002282,2088960
2021-06-18T10:43:02.407,352408187,2084864
2021-06-18T10:43:03.412,358810504,2101248
2021-06-18T10:43:04.418,365044779,2109440
2021-06-18T10:43:05.423,371186300,2076672
2021-06-18T10:43:06.428,377370878,2072576
2021-06-18T10:43:07.434,383921506,2080768
2021-06-18T10:43:08.439,390080653,2093056
2021-06-18T10:43:09.445,396213839,2072576
2021-06-18T10:43:10.451,403867539,2093056
2021-06-18T10:43:11.456,410149664,2088960
2021-06-18T10:43:12.461,416221607,2105344
2021-06-18T10:43:13.466,422151698,2105344
2021-06-18T10:43:14.472,428527122,2088960
2021-06-18T10:43:15.477,434803217,2097152
2021-06-18T10:43:16.482,441003923,2097152
2021-06-18T10:43:17.488,447202035,2117632
2021-06-18T10:43:18.493,453747493,2117632
