"Time","CPU","Memory"
2021-06-18T13:07:51.417,82114623,4038656
2021-06-18T13:07:52.422,129179868,8355840
2021-06-18T13:07:53.427,134504178,8273920
2021-06-18T13:07:54.432,139978477,8278016
2021-06-18T13:07:55.437,145453745,8302592
2021-06-18T13:07:56.441,150790348,8335360
2021-06-18T13:07:57.446,156096400,8318976
2021-06-18T13:07:58.451,161466028,8310784
2021-06-18T13:07:59.470,166529869,8331264
2021-06-18T13:08:00.474,171819232,8314880
2021-06-18T13:08:01.480,176953949,8323072
2021-06-18T13:08:02.484,182381717,8302592
2021-06-18T13:08:03.489,187849264,8331264
2021-06-18T13:08:04.494,193345033,8339456
2021-06-18T13:08:05.499,198696869,8343552
2021-06-18T13:08:06.503,203970897,8327168
2021-06-18T13:08:07.508,209332705,8314880
2021-06-18T13:08:08.512,214672433,8327168
2021-06-18T13:08:09.517,220018836,8310784
2021-06-18T13:08:10.522,225339683,8314880
2021-06-18T13:08:11.527,230601814,8323072
2021-06-18T13:08:12.531,236093683,8343552
2021-06-18T13:08:13.536,241479877,8331264
2021-06-18T13:08:14.540,246760318,8343552
2021-06-18T13:08:15.545,252118487,8355840
2021-06-18T13:08:16.602,341935017,9150464
2021-06-18T13:08:17.708,561335815,9039872
2021-06-18T13:08:18.796,783100236,8994816
2021-06-18T13:08:19.910,997373342,8990720
2021-06-18T13:08:21.004,1224415061,8896512
2021-06-18T13:08:22.012,1438400768,8978432
2021-06-18T13:08:23.110,1647685208,8986624
2021-06-18T13:08:24.206,1867034746,8900608
2021-06-18T13:08:25.390,2088397552,9113600
2021-06-18T13:08:26.406,2305294639,9154560
2021-06-18T13:08:27.590,2528202363,9043968
2021-06-18T13:08:28.694,2752840178,9154560
2021-06-18T13:08:29.718,2973840356,9035776
2021-06-18T13:08:30.890,3187867260,9007104
2021-06-18T13:08:31.906,3406017921,8912896
2021-06-18T13:08:33.090,3628871008,9052160
2021-06-18T13:08:34.189,3848291974,9105408
2021-06-18T13:08:35.210,4069629388,9117696
2021-06-18T13:08:36.297,4282858362,8990720
2021-06-18T13:08:37.307,4492926953,9007104
2021-06-18T13:08:38.399,4700780042,8957952
2021-06-18T13:08:39.502,4923046362,8978432
2021-06-18T13:08:40.596,5144992224,8892416
2021-06-18T13:08:41.694,5350021651,9134080
2021-06-18T13:08:42.799,5581965301,9015296
2021-06-18T13:08:43.895,5796269876,9134080
2021-06-18T13:08:44.995,6015257069,9011200
2021-06-18T13:08:46.097,6236787639,8974336
2021-06-18T13:08:47.194,6455989384,8986624
2021-06-18T13:08:48.295,6675892762,8982528
2021-06-18T13:08:49.395,6894463336,9023488
2021-06-18T13:08:50.495,7116586341,9084928
2021-06-18T13:08:51.595,7336589064,9121792
2021-06-18T13:08:52.703,7561787002,8908800
