"Time","CPU","Memory"
2021-06-18T13:07:48.128,379433025,40046592
2021-06-18T13:07:49.133,385765086,40247296
2021-06-18T13:07:50.138,392033171,40144896
2021-06-18T13:07:51.143,398383456,40169472
2021-06-18T13:07:52.149,404582205,40165376
2021-06-18T13:07:53.154,410819319,40181760
2021-06-18T13:07:54.159,417105670,40181760
2021-06-18T13:07:55.164,423256806,40194048
2021-06-18T13:07:56.247,429578112,40198144
2021-06-18T13:07:57.252,435758373,40206336
2021-06-18T13:07:58.257,441954050,40226816
2021-06-18T13:07:59.263,448282207,40226816
2021-06-18T13:08:00.269,454311755,40243200
2021-06-18T13:08:01.275,460297194,40251392
2021-06-18T13:08:02.280,466746752,40239104
2021-06-18T13:08:03.293,472961665,40230912
2021-06-18T13:08:04.298,479049734,40230912
2021-06-18T13:08:05.305,485427562,40222720
2021-06-18T13:08:06.311,491767414,40226816
2021-06-18T13:08:07.316,497794506,40222720
2021-06-18T13:08:08.321,503902046,40226816
2021-06-18T13:08:09.327,510202901,40235008
2021-06-18T13:08:10.332,516558185,40222720
2021-06-18T13:08:11.337,522874056,40247296
2021-06-18T13:08:12.343,529109681,40267776
2021-06-18T13:08:13.348,535353664,40247296
2021-06-18T13:08:14.353,541677726,40267776
2021-06-18T13:08:15.359,547950346,40239104
2021-06-18T13:08:16.364,570023660,41050112
2021-06-18T13:08:17.370,583593283,41029632
2021-06-18T13:08:18.376,596168158,41025536
2021-06-18T13:08:19.382,609451408,41025536
2021-06-18T13:08:20.388,621816207,41029632
2021-06-18T13:08:21.400,646051038,41062400
2021-06-18T13:08:22.410,660195422,41062400
2021-06-18T13:08:23.416,674346851,41062400
2021-06-18T13:08:24.422,688605695,41066496
2021-06-18T13:08:25.427,700584153,41062400
2021-06-18T13:08:26.433,714897334,41062400
2021-06-18T13:08:27.441,727523809,41066496
2021-06-18T13:08:28.447,740709577,41066496
2021-06-18T13:08:29.453,752395989,41066496
2021-06-18T13:08:30.459,765814885,41046016
2021-06-18T13:08:31.465,780351309,41054208
2021-06-18T13:08:32.471,793717694,41050112
2021-06-18T13:08:33.477,806908352,41050112
2021-06-18T13:08:34.483,819784850,41050112
2021-06-18T13:08:35.489,833193035,41062400
2021-06-18T13:08:36.495,846216747,41066496
2021-06-18T13:08:37.503,860099356,41062400
2021-06-18T13:08:38.515,875428486,41066496
2021-06-18T13:08:39.521,889424686,41050112
2021-06-18T13:08:40.527,901362046,41062400
2021-06-18T13:08:41.533,916285473,41046016
2021-06-18T13:08:42.539,928575470,41050112
2021-06-18T13:08:43.545,942566182,41046016
2021-06-18T13:08:44.551,954653606,41054208
2021-06-18T13:08:45.557,967525297,41058304
2021-06-18T13:08:46.562,980649297,41046016
2021-06-18T13:08:47.568,995240942,41046016
2021-06-18T13:08:48.575,1008865790,41050112
2021-06-18T13:08:49.581,1021246378,41066496
2021-06-18T13:08:50.587,1034940779,41078784
2021-06-18T13:08:51.603,1047803661,41062400
2021-06-18T13:08:52.620,1063628154,41078784
2021-06-18T13:08:53.632,1076594861,41066496
