"Time","CPU","Memory"
2021-06-18T13:07:59.360,1069692998,9113600
2021-06-18T13:08:00.365,2322934077,42176512
2021-06-18T13:08:01.370,2891737933,42176512
2021-06-18T13:08:02.375,2897289001,42209280
2021-06-18T13:08:03.379,2903059378,42258432
2021-06-18T13:08:04.384,2908498961,42287104
2021-06-18T13:08:05.389,2914255941,42295296
2021-06-18T13:08:06.393,2920184631,42315776
2021-06-18T13:08:07.398,2925857501,42328064
2021-06-18T13:08:08.402,2931532965,42291200
2021-06-18T13:08:09.407,2937330336,42319872
2021-06-18T13:08:10.412,2943097114,42340352
2021-06-18T13:08:11.417,2948371529,42336256
2021-06-18T13:08:12.421,2954340882,42332160
2021-06-18T13:08:13.435,2960532829,42336256
2021-06-18T13:08:14.440,2966083770,42352640
2021-06-18T13:08:15.444,2971981946,42373120
2021-06-18T13:08:16.449,3243022240,43134976
2021-06-18T13:08:17.454,4251591227,43307008
2021-06-18T13:08:18.469,5263729308,43196416
2021-06-18T13:08:19.474,6266260160,43368448
2021-06-18T13:08:20.479,7273548038,43294720
2021-06-18T13:08:21.484,8281502556,43298816
2021-06-18T13:08:22.493,9274025922,43298816
2021-06-18T13:08:23.507,10293215062,43421696
2021-06-18T13:08:24.520,11309983024,43311104
2021-06-18T13:08:25.525,12304567947,43311104
2021-06-18T13:08:26.531,13294463276,43302912
2021-06-18T13:08:27.536,14287622783,43319296
2021-06-18T13:08:28.542,15282910680,43331584
2021-06-18T13:08:29.547,16298979647,43327488
2021-06-18T13:08:30.553,17300844531,43335680
2021-06-18T13:08:31.558,18312511795,43347968
2021-06-18T13:08:32.563,19315652486,43327488
2021-06-18T13:08:33.569,20326261948,43319296
2021-06-18T13:08:34.575,21325324269,43331584
2021-06-18T13:08:35.580,22328483578,43487232
2021-06-18T13:08:36.585,23327987799,43360256
2021-06-18T13:08:37.594,24333300152,43360256
2021-06-18T13:08:38.605,25334794098,43356160
2021-06-18T13:08:39.619,26339091079,43364352
2021-06-18T13:08:40.624,27338573366,43364352
2021-06-18T13:08:41.629,28346234712,43393024
2021-06-18T13:08:42.634,29341074301,43397120
2021-06-18T13:08:43.639,30356865519,43380736
2021-06-18T13:08:44.645,31367022381,43380736
2021-06-18T13:08:45.651,32361690080,43401216
2021-06-18T13:08:46.656,33365263325,43347968
2021-06-18T13:08:47.662,34384109446,43352064
2021-06-18T13:08:48.667,35402108485,43372544
2021-06-18T13:08:49.672,36397713857,43384832
2021-06-18T13:08:50.677,37405363930,43384832
2021-06-18T13:08:51.683,38406449317,43376640
2021-06-18T13:08:52.690,39399802250,43384832
2021-06-18T13:08:53.709,40374045170,43352064
