"Time","CPU","Memory"
2021-06-18T14:13:50.894,189745885,18116608
2021-06-18T14:13:52.090,306521975,31731712
2021-06-18T14:13:53.193,327418353,32690176
2021-06-18T14:13:54.198,333031004,32718848
2021-06-18T14:13:55.203,338563621,32739328
2021-06-18T14:13:56.229,344132461,32759808
2021-06-18T14:13:57.234,349572077,32735232
2021-06-18T14:13:58.239,355129066,32722944
2021-06-18T14:13:59.244,360504255,32731136
2021-06-18T14:14:00.249,365904256,32747520
2021-06-18T14:14:01.255,374525945,32763904
2021-06-18T14:14:02.260,379919346,32784384
2021-06-18T14:14:03.265,385617672,32817152
2021-06-18T14:14:04.270,391205092,32821248
2021-06-18T14:14:05.275,396995699,32825344
2021-06-18T14:14:06.280,402669065,32866304
2021-06-18T14:14:07.285,408157684,32874496
2021-06-18T14:14:08.290,413622134,32854016
2021-06-18T14:14:09.295,419170032,32874496
2021-06-18T14:14:10.300,424611365,32870400
2021-06-18T14:14:11.304,429986378,32854016
2021-06-18T14:14:12.309,435528810,32870400
2021-06-18T14:14:13.314,441078920,32866304
2021-06-18T14:14:14.325,449544516,32862208
2021-06-18T14:14:15.331,462409171,32845824
2021-06-18T14:14:16.336,476253166,32854016
2021-06-18T14:14:17.358,489849728,32849920
2021-06-18T14:14:18.377,503193717,32849920
2021-06-18T14:14:19.382,517244160,32854016
2021-06-18T14:14:20.388,529477956,32849920
2021-06-18T14:14:21.393,540874004,32854016
2021-06-18T14:14:22.399,554520420,32854016
2021-06-18T14:14:23.404,567260682,32849920
2021-06-18T14:14:24.409,581136755,32849920
2021-06-18T14:14:25.415,594705894,32849920
2021-06-18T14:14:26.420,605232718,32849920
2021-06-18T14:14:27.436,617387482,32866304
2021-06-18T14:14:28.443,629523096,32854016
2021-06-18T14:14:29.448,641026637,32854016
2021-06-18T14:14:30.454,653372215,32849920
2021-06-18T14:14:31.459,665826667,32849920
2021-06-18T14:14:32.464,677837440,32849920
2021-06-18T14:14:33.470,690777564,32849920
2021-06-18T14:14:34.475,703503185,32849920
2021-06-18T14:14:35.480,716641734,32854016
2021-06-18T14:14:36.486,727539303,32870400
2021-06-18T14:14:37.502,740049406,32886784
2021-06-18T14:14:38.514,751793539,32849920
2021-06-18T14:14:39.523,765900429,32849920
2021-06-18T14:14:40.528,778731657,32845824
2021-06-18T14:14:41.534,790825794,32849920
2021-06-18T14:14:42.539,803598622,32854016
2021-06-18T14:14:43.545,816738274,32854016
2021-06-18T14:14:44.553,829414482,32854016
2021-06-18T14:14:45.559,842230478,32854016
2021-06-18T14:14:46.564,854005058,32854016
2021-06-18T14:14:47.570,865783313,32862208
2021-06-18T14:14:48.575,878307076,32854016
2021-06-18T14:14:49.581,890675076,32849920
2021-06-18T14:14:50.588,904070104,32866304
