"Time","CPU","Memory"
2021-06-18T14:13:48.326,78315212,3317760
2021-06-18T14:13:49.331,127593951,8339456
2021-06-18T14:13:50.335,132759703,8253440
2021-06-18T14:13:51.340,138011871,8314880
2021-06-18T14:13:52.345,143277833,8318976
2021-06-18T14:13:53.349,148524032,8347648
2021-06-18T14:13:54.354,153858502,8347648
2021-06-18T14:13:55.358,159178298,8347648
2021-06-18T14:13:56.363,164462913,8331264
2021-06-18T14:13:57.367,169684631,8339456
2021-06-18T14:13:58.372,174993291,8343552
2021-06-18T14:13:59.377,180291262,8355840
2021-06-18T14:14:00.381,185645472,8372224
2021-06-18T14:14:01.386,191017220,8372224
2021-06-18T14:14:02.390,196278982,8372224
2021-06-18T14:14:03.400,201703915,8339456
2021-06-18T14:14:04.405,206897224,8335360
2021-06-18T14:14:05.409,212324311,8351744
2021-06-18T14:14:06.414,217553297,8335360
2021-06-18T14:14:07.418,222784895,8331264
2021-06-18T14:14:08.423,228103986,8339456
2021-06-18T14:14:09.428,233333230,8355840
2021-06-18T14:14:10.432,238577250,8335360
2021-06-18T14:14:11.437,244113948,8351744
2021-06-18T14:14:12.441,249410095,8339456
2021-06-18T14:14:13.459,254704528,8355840
2021-06-18T14:14:14.465,617041594,9031680
2021-06-18T14:14:15.471,1622010309,9068544
2021-06-18T14:14:16.476,2623421711,9043968
2021-06-18T14:14:17.481,3616751472,9064448
2021-06-18T14:14:18.493,4618256082,9031680
2021-06-18T14:14:19.499,5627314360,9048064
2021-06-18T14:14:20.504,6633089424,9146368
2021-06-18T14:14:21.509,7633717998,9154560
2021-06-18T14:14:22.514,8636982945,9019392
2021-06-18T14:14:23.521,9638171624,9031680
2021-06-18T14:14:24.526,10641644025,9068544
2021-06-18T14:14:25.531,11646722443,9134080
2021-06-18T14:14:26.536,12651036579,9031680
2021-06-18T14:14:27.544,13652262123,8933376
2021-06-18T14:14:28.552,14658408084,9027584
2021-06-18T14:14:29.557,15666698449,9121792
2021-06-18T14:14:30.562,16679545164,9035776
2021-06-18T14:14:31.568,17682248415,9158656
2021-06-18T14:14:32.573,18671183998,8957952
2021-06-18T14:14:33.578,19675187160,8925184
2021-06-18T14:14:34.584,20683395168,8962048
2021-06-18T14:14:35.589,21682741957,8925184
2021-06-18T14:14:36.596,22683331282,9035776
2021-06-18T14:14:37.612,23689676687,8925184
2021-06-18T14:14:38.645,24723724984,9125888
2021-06-18T14:14:39.650,25721010150,9093120
2021-06-18T14:14:40.655,26728822312,9023488
2021-06-18T14:14:41.662,27735366281,9035776
2021-06-18T14:14:42.667,28739477209,9162752
2021-06-18T14:14:43.672,29747759697,9179136
2021-06-18T14:14:44.678,30751776837,9056256
2021-06-18T14:14:45.684,31759948189,9027584
2021-06-18T14:14:46.689,32763110346,9023488
2021-06-18T14:14:47.694,33762842219,9162752
2021-06-18T14:14:48.699,34767885447,9060352
2021-06-18T14:14:49.710,35765497931,9203712
2021-06-18T14:14:50.717,36759647529,8974336
