"Time","CPU","Memory"
2021-06-18T14:13:48.019,385556093,40140800
2021-06-18T14:13:49.025,392475021,40243200
2021-06-18T14:13:50.030,399192986,40128512
2021-06-18T14:13:51.035,405368031,40140800
2021-06-18T14:13:52.042,411617600,40148992
2021-06-18T14:13:53.048,417916266,40177664
2021-06-18T14:13:54.053,424191683,40198144
2021-06-18T14:13:55.059,430352432,40218624
2021-06-18T14:13:56.064,436738050,40230912
2021-06-18T14:13:57.069,443065615,40206336
2021-06-18T14:13:58.075,449200583,40218624
2021-06-18T14:13:59.080,455478916,40222720
2021-06-18T14:14:00.085,461791847,40239104
2021-06-18T14:14:01.090,468175576,40210432
2021-06-18T14:14:02.095,474244848,40230912
2021-06-18T14:14:03.101,480464710,40226816
2021-06-18T14:14:04.106,486927325,40222720
2021-06-18T14:14:05.112,493296038,40230912
2021-06-18T14:14:06.117,499503522,40210432
2021-06-18T14:14:07.123,505654346,40210432
2021-06-18T14:14:08.128,511799658,40226816
2021-06-18T14:14:09.133,518054524,40230912
2021-06-18T14:14:10.138,524228989,40222720
2021-06-18T14:14:11.144,530627931,40222720
2021-06-18T14:14:12.149,536776536,40218624
2021-06-18T14:14:13.154,542968817,40239104
2021-06-18T14:14:14.160,552729692,40726528
2021-06-18T14:14:15.166,581818385,41050112
2021-06-18T14:14:16.171,602479505,41086976
2021-06-18T14:14:17.177,634442266,41099264
2021-06-18T14:14:18.183,651783012,41115648
2021-06-18T14:14:19.189,672351335,41119744
2021-06-18T14:14:20.196,691234079,41119744
2021-06-18T14:14:21.202,708149940,41099264
2021-06-18T14:14:22.207,725150569,41086976
2021-06-18T14:14:23.214,745255388,41086976
2021-06-18T14:14:24.220,767540758,41086976
2021-06-18T14:14:25.227,789460969,41082880
2021-06-18T14:14:26.232,806372896,41086976
2021-06-18T14:14:27.238,825689057,41099264
2021-06-18T14:14:28.244,842885644,41103360
2021-06-18T14:14:29.250,860093736,41103360
2021-06-18T14:14:30.256,879606390,41086976
2021-06-18T14:14:31.262,898339568,41086976
2021-06-18T14:14:32.268,917683171,41086976
2021-06-18T14:14:33.274,935308740,41082880
2021-06-18T14:14:34.280,952299721,41086976
2021-06-18T14:14:35.286,975645288,41086976
2021-06-18T14:14:36.292,994054554,41082880
2021-06-18T14:14:37.299,1012447793,41086976
2021-06-18T14:14:38.304,1032916483,41082880
2021-06-18T14:14:39.310,1055255274,41086976
2021-06-18T14:14:40.316,1072935484,41070592
2021-06-18T14:14:41.322,1091882835,41066496
2021-06-18T14:14:42.328,1112503238,41070592
2021-06-18T14:14:43.334,1132211865,41070592
2021-06-18T14:14:44.340,1151645234,41066496
2021-06-18T14:14:45.346,1170098101,41066496
2021-06-18T14:14:46.352,1187372508,41070592
2021-06-18T14:14:47.359,1206495111,41070592
2021-06-18T14:14:48.365,1224592640,41066496
2021-06-18T14:14:49.371,1244155912,41066496
2021-06-18T14:14:50.378,1263701478,41070592
2021-06-18T14:14:51.385,1282701862,41074688
