"Time","CPU","Memory"
2021-06-18T14:13:59.643,1057259164,9138176
2021-06-18T14:14:00.648,2245786049,42364928
2021-06-18T14:14:01.653,2894983076,42364928
2021-06-18T14:14:02.658,2900900869,42373120
2021-06-18T14:14:03.672,2906524839,42360832
2021-06-18T14:14:04.676,2912164268,42377216
2021-06-18T14:14:05.681,2917988943,42389504
2021-06-18T14:14:06.686,2923920364,42389504
2021-06-18T14:14:07.690,2929680398,42442752
2021-06-18T14:14:08.695,2935444929,42401792
2021-06-18T14:14:09.700,2941265222,42401792
2021-06-18T14:14:10.705,2947024764,42520576
2021-06-18T14:14:11.709,2952504902,42422272
2021-06-18T14:14:12.714,2958523449,42598400
2021-06-18T14:14:13.719,2964008768,42475520
2021-06-18T14:14:14.731,3612340537,43503616
2021-06-18T14:14:15.737,4638360474,43819008
2021-06-18T14:14:16.743,5675302333,44195840
2021-06-18T14:14:17.748,6717872658,44474368
2021-06-18T14:14:18.754,7756985025,44744704
2021-06-18T14:14:19.771,8815322068,44937216
2021-06-18T14:14:20.777,9846828464,45260800
2021-06-18T14:14:21.782,10889795205,45510656
2021-06-18T14:14:22.788,11922343909,45711360
2021-06-18T14:14:23.794,12963201203,45944832
2021-06-18T14:14:24.806,14011878440,46170112
2021-06-18T14:14:25.811,15037572711,46514176
2021-06-18T14:14:26.817,16075667002,46796800
2021-06-18T14:14:27.822,17118794740,47157248
2021-06-18T14:14:28.828,18146595217,47247360
2021-06-18T14:14:29.840,19192067213,47607808
2021-06-18T14:14:30.845,20227583393,47869952
2021-06-18T14:14:31.851,21267392038,48136192
2021-06-18T14:14:32.857,22301419605,48406528
2021-06-18T14:14:33.863,23344181263,48717824
2021-06-18T14:14:34.907,24418966234,48967680
2021-06-18T14:14:35.912,25457804680,49135616
2021-06-18T14:14:36.917,26491525026,49463296
2021-06-18T14:14:37.922,27533785489,49680384
2021-06-18T14:14:38.929,28574060589,49991680
2021-06-18T14:14:39.939,29619970747,50176000
2021-06-18T14:14:40.945,30656270450,50556928
2021-06-18T14:14:41.950,31696433278,50720768
2021-06-18T14:14:42.956,32738212483,51146752
2021-06-18T14:14:43.961,33784209504,51458048
2021-06-18T14:14:44.973,34827157077,51585024
2021-06-18T14:14:45.980,35859400550,52002816
2021-06-18T14:14:46.985,36896515895,52240384
2021-06-18T14:14:47.991,37940021139,52457472
2021-06-18T14:14:48.996,38977375190,52690944
2021-06-18T14:14:50.007,40026434927,52961280
2021-06-18T14:14:51.012,41061232482,52998144
2021-06-18T14:14:52.023,42101479257,52989952
