"Time","CPU","Memory"
2021-06-17T12:27:32.594,304585583,32657408
2021-06-17T12:27:33.599,310261381,32808960
2021-06-17T12:27:34.670,315852099,32702464
2021-06-17T12:27:35.683,321655731,32706560
2021-06-17T12:27:36.712,327261556,32477184
2021-06-17T12:27:37.723,333558471,32714752
2021-06-17T12:27:38.728,339184715,32731136
2021-06-17T12:27:39.733,344739468,32739328
2021-06-17T12:27:40.738,350288733,32763904
2021-06-17T12:27:41.743,355817010,32792576
2021-06-17T12:27:42.748,361120409,32755712
2021-06-17T12:27:43.757,366422218,32780288
2021-06-17T12:27:44.762,372042105,32788480
2021-06-17T12:27:45.767,377557432,32784384
2021-06-17T12:27:46.771,383004911,32776192
2021-06-17T12:27:47.776,388617825,32780288
2021-06-17T12:27:48.781,394123706,32784384
2021-06-17T12:27:49.786,399714878,32776192
2021-06-17T12:27:50.791,405203693,32788480
2021-06-17T12:27:51.796,410653449,32813056
2021-06-17T12:27:52.801,416014813,32796672
2021-06-17T12:27:53.806,421409555,32808960
2021-06-17T12:27:54.811,426964847,32751616
2021-06-17T12:27:55.816,432385465,32755712
2021-06-17T12:27:56.821,438121334,32792576
2021-06-17T12:27:57.826,443744887,32768000
2021-06-17T12:27:58.831,449236772,32759808
2021-06-17T12:27:59.835,454658913,32755712
2021-06-17T12:28:00.840,460169534,32755712
2021-06-17T12:28:01.854,465567756,32772096
2021-06-17T12:28:02.858,471093433,32751616
2021-06-17T12:28:03.863,476620029,32755712
2021-06-17T12:28:04.868,482168397,32763904
2021-06-17T12:28:05.873,487599268,32780288
2021-06-17T12:28:06.878,493107499,32800768
2021-06-17T12:28:07.883,498878651,32837632
2021-06-17T12:28:08.888,504431034,32788480
2021-06-17T12:28:09.893,510170686,32768000
2021-06-17T12:28:10.898,515640633,32788480
2021-06-17T12:28:11.903,521237048,32788480
2021-06-17T12:28:12.908,526710976,32772096
2021-06-17T12:28:13.913,532312202,32780288
2021-06-17T12:28:14.918,537826298,32792576
2021-06-17T12:28:15.923,543440352,32808960
2021-06-17T12:28:16.927,548929176,32821248
2021-06-17T12:28:17.933,554401128,32837632
2021-06-17T12:28:18.937,560012285,32841728
2021-06-17T12:28:19.942,565553825,32858112
2021-06-17T12:28:20.947,571152310,32817152
2021-06-17T12:28:21.952,576694406,32755712
2021-06-17T12:28:22.957,582277506,32759808
2021-06-17T12:28:23.962,587775762,32763904
2021-06-17T12:28:24.966,593270987,32751616
2021-06-17T12:28:25.971,598871864,32759808
2021-06-17T12:28:26.976,604542340,32763904
2021-06-17T12:28:27.981,610019287,32784384
2021-06-17T12:28:28.996,615585604,32763904
2021-06-17T12:28:30.001,621131332,32763904
2021-06-17T12:28:31.006,626824026,32792576
2021-06-17T12:28:32.011,632281266,32792576
2021-06-17T12:28:33.016,637713710,32768000
2021-06-17T12:28:34.021,643196474,32772096
2021-06-17T12:28:35.026,648885346,32755712
2021-06-17T12:28:36.031,654323475,32772096
2021-06-17T12:28:37.036,659882616,32772096
2021-06-17T12:28:38.041,665452848,32772096
2021-06-17T12:28:39.055,671044119,32763904
2021-06-17T12:28:40.060,676631882,32776192
2021-06-17T12:28:41.065,682037291,32772096
2021-06-17T12:28:42.070,687524015,32759808
2021-06-17T12:28:43.078,696089342,32751616
2021-06-17T12:28:44.083,701589416,32768000
2021-06-17T12:28:45.088,707063863,32772096
2021-06-17T12:28:46.093,712480870,32768000
2021-06-17T12:28:47.097,717980955,32808960
2021-06-17T12:28:48.102,723456241,32788480
2021-06-17T12:28:49.107,729107042,32772096
2021-06-17T12:28:50.112,734638217,32768000
2021-06-17T12:28:51.117,740074174,32759808
2021-06-17T12:28:52.123,745583304,32808960
2021-06-17T12:28:53.127,751184955,32854016
2021-06-17T12:28:54.132,756723049,32849920
2021-06-17T12:28:55.138,762210290,32845824
2021-06-17T12:28:56.143,768078709,32849920
2021-06-17T12:28:57.147,773580747,32849920
2021-06-17T12:28:58.152,779088367,32841728
2021-06-17T12:28:59.157,784734801,32829440
2021-06-17T12:29:00.167,790182747,32829440
2021-06-17T12:29:01.172,795720412,32808960
2021-06-17T12:29:02.247,801235078,32825344
2021-06-17T12:29:03.252,807360303,32911360
2021-06-17T12:29:04.257,812955695,32935936
2021-06-17T12:29:05.261,818462804,32940032
2021-06-17T12:29:06.267,823968053,32964608
2021-06-17T12:29:07.272,829515935,32980992
2021-06-17T12:29:08.277,834944262,33009664
2021-06-17T12:29:09.282,840374157,33013760
2021-06-17T12:29:10.287,845813766,33026048
2021-06-17T12:29:11.291,851401393,33030144
2021-06-17T12:29:12.296,856891545,33042432
2021-06-17T12:29:13.302,862475737,33001472
2021-06-17T12:29:14.307,868579587,33021952
2021-06-17T12:29:15.312,874164144,33030144
2021-06-17T12:29:16.316,879698517,33050624
2021-06-17T12:29:17.321,885204922,33083392
2021-06-17T12:29:18.326,890911498,33050624
2021-06-17T12:29:19.331,896381642,33034240
2021-06-17T12:29:20.336,902060650,33054720
2021-06-17T12:29:21.341,907591455,32964608
2021-06-17T12:29:22.346,912984726,32956416
2021-06-17T12:29:23.350,918375013,32989184
2021-06-17T12:29:24.355,923996171,32972800
2021-06-17T12:29:25.360,929294919,32976896
2021-06-17T12:29:26.365,934934350,32993280
2021-06-17T12:29:27.370,940411489,33017856
2021-06-17T12:29:28.374,945847945,33042432
2021-06-17T12:29:29.379,951346681,33009664
2021-06-17T12:29:30.384,956861844,33013760
2021-06-17T12:29:31.389,962357613,32993280
2021-06-17T12:29:32.394,967981975,33013760
2021-06-17T12:29:33.399,973564220,32985088
2021-06-17T12:29:34.404,979251479,32993280
2021-06-17T12:29:35.409,984743348,33009664
2021-06-17T12:29:36.413,990183225,33013760
2021-06-17T12:29:37.418,995616945,33030144
2021-06-17T12:29:38.423,1001380839,33030144
2021-06-17T12:29:39.428,1006881865,33013760
2021-06-17T12:29:40.433,1012402020,32997376
2021-06-17T12:29:41.438,1018173052,33009664
2021-06-17T12:29:42.443,1023825893,33030144
2021-06-17T12:29:43.448,1029331470,32993280
2021-06-17T12:29:44.453,1034822705,32997376
2021-06-17T12:29:45.457,1040375864,32997376
2021-06-17T12:29:46.462,1045922900,33013760
2021-06-17T12:29:47.467,1051394979,33026048
2021-06-17T12:29:48.472,1057025515,33034240
2021-06-17T12:29:49.477,1062488041,33054720
2021-06-17T12:29:50.482,1068257962,33071104
2021-06-17T12:29:51.487,1074223509,33091584
2021-06-17T12:29:52.492,1079679100,33071104
2021-06-17T12:29:53.497,1085357329,33058816
2021-06-17T12:29:54.502,1090922360,33054720
2021-06-17T12:29:55.507,1096588630,33042432
2021-06-17T12:29:56.512,1102192113,33038336
2021-06-17T12:29:57.517,1107708818,33054720
2021-06-17T12:29:58.522,1113382321,33058816
2021-06-17T12:29:59.527,1118883666,33058816
2021-06-17T12:30:00.532,1124500790,33058816
2021-06-17T12:30:01.537,1130213378,33058816
2021-06-17T12:30:02.542,1135874046,33087488
2021-06-17T12:30:03.547,1141585675,33054720
2021-06-17T12:30:04.551,1147117273,33058816
2021-06-17T12:30:05.556,1152628294,33042432
2021-06-17T12:30:06.561,1158278210,33038336
2021-06-17T12:30:07.566,1163748532,32964608
2021-06-17T12:30:08.571,1169587811,32989184
2021-06-17T12:30:09.576,1175300634,33001472
2021-06-17T12:30:10.581,1181174750,33017856
2021-06-17T12:30:11.587,1187168097,33005568
2021-06-17T12:30:12.592,1192661333,32980992
2021-06-17T12:30:13.597,1198247243,32972800
2021-06-17T12:30:14.602,1203877825,32976896
2021-06-17T12:30:15.607,1209592204,32972800
2021-06-17T12:30:16.611,1215143822,33005568
2021-06-17T12:30:17.617,1220613256,33005568
2021-06-17T12:30:18.641,1226257713,32989184
2021-06-17T12:30:19.646,1231819231,32976896
2021-06-17T12:30:20.651,1237326001,32960512
2021-06-17T12:30:21.656,1242865274,32985088
2021-06-17T12:30:22.661,1248637502,33001472
2021-06-17T12:30:23.666,1254244574,32968704
2021-06-17T12:30:24.671,1259965702,32964608
2021-06-17T12:30:25.676,1265326231,32968704
2021-06-17T12:30:26.681,1270929298,32989184
2021-06-17T12:30:27.686,1276388692,33030144
2021-06-17T12:30:28.691,1281933392,33058816
2021-06-17T12:30:29.695,1287550303,33050624
2021-06-17T12:30:30.700,1293074971,33038336
2021-06-17T12:30:31.705,1298498421,33026048
2021-06-17T12:30:32.710,1303963954,33034240
2021-06-17T12:30:33.715,1309548811,33038336
2021-06-17T12:30:34.719,1314993955,33017856
2021-06-17T12:30:35.724,1320526908,33017856
2021-06-17T12:30:36.729,1326050816,33050624
2021-06-17T12:30:37.734,1331862746,33054720
2021-06-17T12:30:38.739,1337347606,33050624
2021-06-17T12:30:39.744,1342848373,33001472
2021-06-17T12:30:40.749,1348468972,33021952
2021-06-17T12:30:41.754,1353962881,33021952
2021-06-17T12:30:42.759,1359644914,33042432
2021-06-17T12:30:43.764,1365098383,33009664
2021-06-17T12:30:44.769,1370695824,33009664
2021-06-17T12:30:45.774,1376370800,33009664
2021-06-17T12:30:46.779,1381908430,33009664
2021-06-17T12:30:47.784,1387426063,33026048
2021-06-17T12:30:48.789,1393152896,33038336
2021-06-17T12:30:49.794,1398837345,33038336
2021-06-17T12:30:50.799,1404235508,33026048
2021-06-17T12:30:51.804,1409768030,33026048
2021-06-17T12:30:52.809,1415503854,33021952
2021-06-17T12:30:53.814,1421275855,33009664
2021-06-17T12:30:54.819,1426746196,33009664
2021-06-17T12:30:55.823,1432282220,33005568
2021-06-17T12:30:56.828,1437786309,33046528
2021-06-17T12:30:57.833,1443218636,33050624
2021-06-17T12:30:58.838,1448973904,33054720
2021-06-17T12:30:59.851,1454477242,33038336
2021-06-17T12:31:00.856,1460093379,33030144
2021-06-17T12:31:01.861,1465637785,33034240
2021-06-17T12:31:02.866,1471211765,33054720
2021-06-17T12:31:03.871,1476783247,33034240
2021-06-17T12:31:04.875,1482435451,33046528
2021-06-17T12:31:05.880,1488005266,32964608
2021-06-17T12:31:06.885,1493472793,32968704
2021-06-17T12:31:07.890,1499016486,32976896
2021-06-17T12:31:08.895,1504631490,32997376
2021-06-17T12:31:09.900,1510230722,32993280
2021-06-17T12:31:10.904,1515753822,33005568
