"Time","CPU","Memory"
2021-06-18T14:18:45.742,81009748,4132864
2021-06-18T14:18:46.768,127535457,8302592
2021-06-18T14:18:47.773,132816468,8331264
2021-06-18T14:18:48.777,138225753,8335360
2021-06-18T14:18:49.782,143963902,8327168
2021-06-18T14:18:50.787,149375443,8339456
2021-06-18T14:18:51.791,154782555,8343552
2021-06-18T14:18:52.796,160073983,8343552
2021-06-18T14:18:53.800,165429837,8343552
2021-06-18T14:18:54.805,170791597,8343552
2021-06-18T14:18:55.810,176184293,8368128
2021-06-18T14:18:56.816,181708297,8388608
2021-06-18T14:18:57.821,187122830,8404992
2021-06-18T14:18:58.826,192327999,8400896
2021-06-18T14:18:59.832,197640308,8396800
2021-06-18T14:19:00.836,203116803,8425472
2021-06-18T14:19:01.841,208477496,8441856
2021-06-18T14:19:02.845,213780182,8376320
2021-06-18T14:19:03.850,219050600,8368128
2021-06-18T14:19:04.855,348708131,8929280
2021-06-18T14:19:05.867,1231422198,8929280
2021-06-18T14:19:06.881,2182386621,9187328
2021-06-18T14:19:07.894,3050810724,9019392
2021-06-18T14:19:08.907,3965886839,9166848
2021-06-18T14:19:09.926,4874647337,9080832
2021-06-18T14:19:10.944,5794692146,9097216
2021-06-18T14:19:11.965,6737324054,9039872
2021-06-18T14:19:12.986,7643596549,9084928
2021-06-18T14:19:13.996,8595615933,9179136
2021-06-18T14:19:15.020,9502438181,8970240
2021-06-18T14:19:16.032,10417829012,9101312
2021-06-18T14:19:17.050,11373397223,9064448
2021-06-18T14:19:18.059,12313375715,9187328
2021-06-18T14:19:19.078,13206218695,9072640
2021-06-18T14:19:20.089,14170516202,9093120
2021-06-18T14:19:21.105,15091636501,8949760
2021-06-18T14:19:22.136,15988879930,8966144
2021-06-18T14:19:23.150,16868351688,9072640
2021-06-18T14:19:24.163,17803937293,9035776
2021-06-18T14:19:25.174,18752676545,9216000
2021-06-18T14:19:26.186,19663230830,9089024
2021-06-18T14:19:27.206,20640879082,9076736
2021-06-18T14:19:28.226,21609096937,9072640
2021-06-18T14:19:29.242,22581652185,9064448
2021-06-18T14:19:30.261,23504638626,9199616
2021-06-18T14:19:31.273,24470295958,9048064
2021-06-18T14:19:32.294,25432711625,9195520
2021-06-18T14:19:33.303,26387372653,9211904
2021-06-18T14:19:34.318,27286673494,9076736
2021-06-18T14:19:35.331,28221301041,9101312
2021-06-18T14:19:36.350,29139990798,9097216
2021-06-18T14:19:37.370,30106014820,9080832
2021-06-18T14:19:38.390,31015955368,9121792
2021-06-18T14:19:39.399,31913701936,9089024
2021-06-18T14:19:40.414,32816184667,9060352
2021-06-18T14:19:41.431,33778950449,9064448
2021-06-18T14:19:42.454,34757877860,8982528
2021-06-18T14:19:43.471,35708219011,8982528
