,users,values,time
0,2,0.0,12:31:14
1,8,20.0,12:31:19
2,10,21.75,12:31:24
3,10,30.8,12:31:29
4,10,36.7,12:31:34
5,10,36.1,12:31:39
6,10,35.1,12:31:44
7,10,35.4,12:31:49
8,10,35.1,12:31:54
9,10,38.2,12:31:59
10,10,35.6,12:32:04
11,10,34.1,12:32:09
12,10,31.7,12:32:14
13,10,35.1,12:32:19
14,10,39.5,12:32:24
15,10,38.4,12:32:29
16,10,28.8,12:32:34
17,10,29.8,12:32:39
18,10,36.2,12:32:44
19,10,35.3,12:32:49
20,10,34.7,12:32:54
21,10,35.9,12:32:59
22,10,34.9,12:33:04
23,10,35.1,12:33:09
24,10,32.9,12:33:14
25,10,33.0,12:33:19
26,10,33.2,12:33:24
27,10,36.4,12:33:29
28,10,38.2,12:33:35
29,10,37.3,12:33:40
30,10,38.9,12:33:45
31,10,37.0,12:33:50
32,10,36.5,12:33:55
33,10,38.5,12:34:00
34,10,40.5,12:34:05
35,10,40.8,12:34:10
36,10,39.2,12:34:15
37,10,36.5,12:34:20
38,10,37.9,12:34:25
39,10,41.0,12:34:30
40,10,38.4,12:34:35
41,10,36.2,12:34:40
42,10,40.3,12:34:45
43,10,37.9,12:34:50
44,10,37.7,12:34:55
45,10,36.3,12:35:00
46,10,32.8,12:35:05
47,10,34.0,12:35:10
48,10,37.9,12:35:15
49,10,34.6,12:35:20
50,10,36.9,12:35:25
51,10,35.1,12:35:30
52,10,38.6,12:35:35
53,10,36.8,12:35:40
54,10,35.9,12:35:45
55,10,39.5,12:35:50
56,10,38.7,12:35:55
57,10,34.0,12:36:00
58,10,35.0,12:36:05
59,10,35.4,12:36:10
60,10,36.8,12:36:15
61,10,37.8,12:36:20
62,10,38.7,12:36:25
63,10,39.4,12:36:30
64,10,38.1,12:36:35
65,10,38.8,12:36:40
66,10,32.8,12:36:45
67,10,30.4,12:36:50
68,10,33.6,12:36:55
69,10,32.1,12:37:00
70,10,33.4,12:37:05
71,10,33.9,12:37:10
72,10,39.7,12:37:15
73,10,40.8,12:37:20
74,10,41.0,12:37:25
75,10,37.4,12:37:30
76,10,36.1,12:37:35
77,10,33.8,12:37:40
78,10,33.7,12:37:45
79,10,40.3,12:37:50
80,10,41.4,12:37:55
81,10,37.7,12:38:00
82,10,38.0,12:38:05
83,10,35.6,12:38:10
84,10,33.8,12:38:15
85,10,36.3,12:38:20
86,10,35.4,12:38:25
87,10,35.2,12:38:30
88,10,36.7,12:38:35
89,10,39.2,12:38:40
90,10,37.5,12:38:45
91,10,37.1,12:38:50
92,10,37.6,12:38:55
93,10,34.7,12:39:00
94,10,34.5,12:39:05
95,10,36.1,12:39:10
96,10,34.9,12:39:15
97,10,32.2,12:39:20
98,10,35.1,12:39:25
99,10,33.7,12:39:30
100,10,32.2,12:39:35
101,10,29.0,12:39:40
102,10,30.4,12:39:45
103,10,39.8,12:39:50
104,10,38.1,12:39:55
105,10,37.2,12:40:00
106,10,35.8,12:40:05
107,10,36.4,12:40:10
108,10,35.2,12:40:15
109,10,32.6,12:40:20
110,10,36.2,12:40:25
111,10,36.3,12:40:30
112,10,34.8,12:40:35
113,10,37.5,12:40:40
114,10,39.1,12:40:45
115,10,41.2,12:40:50
116,10,37.9,12:40:55
117,10,39.4,12:41:00
118,10,40.1,12:41:05
119,10,39.7,12:41:10
120,10,39.7,12:41:15
