"Time","CPU","Memory"
2021-06-18T14:45:57.205,173852827,34156544
2021-06-18T14:45:58.291,285044299,48091136
2021-06-18T14:45:59.296,347356546,56668160
2021-06-18T14:46:00.301,352960364,56655872
2021-06-18T14:46:01.308,358382233,56709120
2021-06-18T14:46:02.313,363860568,56680448
2021-06-18T14:46:03.318,369210737,56692736
2021-06-18T14:46:04.324,374422914,56692736
2021-06-18T14:46:05.329,380041651,56700928
2021-06-18T14:46:06.334,385788890,56709120
2021-06-18T14:46:07.339,391314977,56692736
2021-06-18T14:46:08.344,397033204,56700928
2021-06-18T14:46:09.349,402730412,56725504
2021-06-18T14:46:10.354,408110882,56729600
2021-06-18T14:46:11.359,413646258,56741888
2021-06-18T14:46:12.364,419150561,56737792
2021-06-18T14:46:13.369,424551776,56717312
2021-06-18T14:46:14.373,430085680,56733696
2021-06-18T14:46:15.378,435630634,56684544
2021-06-18T14:46:16.383,441139165,56692736
2021-06-18T14:46:17.388,446719183,56676352
2021-06-18T14:46:18.393,452459746,56680448
2021-06-18T14:46:19.398,458233293,56696832
2021-06-18T14:46:20.403,463654971,56700928
2021-06-18T14:46:21.408,469173942,56709120
2021-06-18T14:46:22.413,474648021,56709120
2021-06-18T14:46:23.418,480291534,56729600
2021-06-18T14:46:24.424,486185619,56725504
2021-06-18T14:46:25.429,491816853,56733696
2021-06-18T14:46:26.433,497349406,56745984
2021-06-18T14:46:27.502,587307198,56758272
2021-06-18T14:46:28.618,693028634,56758272
2021-06-18T14:46:29.709,804721410,56758272
2021-06-18T14:46:30.818,915068835,56774656
2021-06-18T14:46:31.950,1016433408,56774656
2021-06-18T14:46:33.096,1133535190,56786944
2021-06-18T14:46:34.226,1250428183,56774656
2021-06-18T14:46:35.306,1355398383,56774656
2021-06-18T14:46:36.490,1465538662,56778752
2021-06-18T14:46:37.698,1590534578,56758272
2021-06-18T14:46:38.830,1709369159,56778752
2021-06-18T14:46:40.122,1835489888,56778752
2021-06-18T14:46:41.318,1950028416,56786944
2021-06-18T14:46:42.406,2067965863,56803328
2021-06-18T14:46:43.530,2177510801,56803328
2021-06-18T14:46:44.690,2289330339,56786944
2021-06-18T14:46:45.798,2403138468,56786944
2021-06-18T14:46:46.929,2518736365,56782848
2021-06-18T14:46:48.006,2624731747,56799232
2021-06-18T14:46:49.117,2736491777,56799232
2021-06-18T14:46:50.230,2850182212,56803328
2021-06-18T14:46:51.437,2962333683,56758272
2021-06-18T14:46:52.621,3080015518,56733696
2021-06-18T14:46:53.825,3199736992,56737792
2021-06-18T14:46:54.941,3317510717,56754176
2021-06-18T14:46:56.198,3437545019,56741888
2021-06-18T14:46:57.318,3555480875,56737792
2021-06-18T14:46:58.417,3660973267,56737792
2021-06-18T14:46:59.514,3770340307,56758272
2021-06-18T14:47:00.694,3882119617,56745984
2021-06-18T14:47:01.858,3996993213,56745984
2021-06-18T14:47:02.902,4114325272,56762368
2021-06-18T14:47:04.022,4225163642,56766464
2021-06-18T14:47:05.328,4345195908,56766464
