"Time","CPU","Memory"
2021-06-18T14:45:27.711,84108928,3768320
2021-06-18T14:45:28.723,130393222,8257536
2021-06-18T14:45:29.728,136311418,8155136
2021-06-18T14:45:30.732,141624969,8183808
2021-06-18T14:45:31.737,146928776,8200192
2021-06-18T14:45:32.742,152197927,8159232
2021-06-18T14:45:33.746,157437434,8200192
2021-06-18T14:45:34.751,162618747,8196096
2021-06-18T14:45:35.756,168063031,8220672
2021-06-18T14:45:36.760,173448869,8167424
2021-06-18T14:45:37.765,178747218,8175616
2021-06-18T14:45:38.770,184027432,8171520
2021-06-18T14:45:39.775,189227124,8196096
2021-06-18T14:45:40.780,194582368,8204288
2021-06-18T14:45:41.784,199830610,8183808
2021-06-18T14:45:42.789,205125277,8237056
2021-06-18T14:45:43.794,210489104,8245248
2021-06-18T14:45:44.798,215719788,8228864
2021-06-18T14:45:45.803,220950526,8224768
2021-06-18T14:45:46.807,226252931,8216576
2021-06-18T14:45:47.812,231681612,8220672
2021-06-18T14:45:48.817,237074939,8216576
2021-06-18T14:45:49.821,242432018,8237056
2021-06-18T14:45:50.826,247695538,8232960
2021-06-18T14:45:51.830,253019776,8237056
2021-06-18T14:45:52.835,258432144,8224768
2021-06-18T14:45:53.840,263538925,8241152
2021-06-18T14:45:54.844,268828871,8261632
2021-06-18T14:45:55.849,274208805,8286208
2021-06-18T14:45:56.853,279546648,8273920
2021-06-18T14:45:57.858,284855958,8278016
2021-06-18T14:45:58.862,290122324,8269824
2021-06-18T14:45:59.867,295382730,8265728
2021-06-18T14:46:00.871,300490914,8278016
2021-06-18T14:46:01.876,305656550,8269824
2021-06-18T14:46:02.881,310834296,8290304
2021-06-18T14:46:03.889,315895202,8433664
2021-06-18T14:46:04.894,320972918,8343552
2021-06-18T14:46:05.899,326291317,8359936
2021-06-18T14:46:06.903,331694339,8343552
2021-06-18T14:46:07.908,336923243,8314880
2021-06-18T14:46:08.913,342205204,8241152
2021-06-18T14:46:09.917,347422752,8245248
2021-06-18T14:46:10.921,352667039,8261632
2021-06-18T14:46:11.926,357989377,8228864
2021-06-18T14:46:12.931,363341420,8241152
2021-06-18T14:46:13.936,368734151,8249344
2021-06-18T14:46:14.940,374090441,8273920
2021-06-18T14:46:15.945,379666171,8278016
2021-06-18T14:46:16.949,384892947,8290304
2021-06-18T14:46:17.954,390181192,8314880
2021-06-18T14:46:18.959,395858823,8237056
2021-06-18T14:46:19.963,401117601,8257536
2021-06-18T14:46:20.968,406359243,8257536
2021-06-18T14:46:21.972,411576872,8257536
2021-06-18T14:46:22.977,416839082,8232960
2021-06-18T14:46:23.982,422070414,8237056
2021-06-18T14:46:24.986,427373963,8257536
2021-06-18T14:46:25.991,432918158,8265728
2021-06-18T14:46:27.010,693338255,8855552
2021-06-18T14:46:28.015,1624151720,8822784
2021-06-18T14:46:29.033,2567467404,8982528
2021-06-18T14:46:30.045,3523242413,8978432
2021-06-18T14:46:31.053,4509346959,8982528
2021-06-18T14:46:32.063,5383084407,8851456
2021-06-18T14:46:33.078,6323277724,8855552
2021-06-18T14:46:34.094,7292484007,8994816
2021-06-18T14:46:35.110,8265705932,8859648
2021-06-18T14:46:36.129,9227909056,8859648
2021-06-18T14:46:37.154,10198248352,8994816
2021-06-18T14:46:38.166,11154535971,8986624
2021-06-18T14:46:39.182,12134840387,9117696
2021-06-18T14:46:40.198,13064768847,8867840
2021-06-18T14:46:41.229,14049711765,8974336
2021-06-18T14:46:42.251,15035120793,8884224
2021-06-18T14:46:43.266,15989924566,8986624
2021-06-18T14:46:44.278,16989866379,8978432
2021-06-18T14:46:45.294,17960719430,8982528
2021-06-18T14:46:46.307,18913012643,9080832
2021-06-18T14:46:47.329,19857308266,8855552
2021-06-18T14:46:48.342,20825696445,8974336
2021-06-18T14:46:49.354,21823581260,8982528
2021-06-18T14:46:50.370,22774067136,8871936
2021-06-18T14:46:51.386,23721523095,8978432
2021-06-18T14:46:52.391,24695938213,8978432
2021-06-18T14:46:53.418,25655295709,8871936
2021-06-18T14:46:54.438,26617706942,8998912
2021-06-18T14:46:55.450,27600043045,8994816
2021-06-18T14:46:56.466,28553158637,8974336
2021-06-18T14:46:57.490,29527447550,8859648
2021-06-18T14:46:58.510,30451245112,8994816
2021-06-18T14:46:59.517,31420282911,8871936
2021-06-18T14:47:00.530,32380763314,9015296
2021-06-18T14:47:01.542,33361899647,9003008
2021-06-18T14:47:02.550,34310290363,8859648
2021-06-18T14:47:03.562,35240103560,8970240
2021-06-18T14:47:04.586,36217035299,8986624
2021-06-18T14:47:05.605,37142026075,8982528
2021-06-18T14:47:06.634,38095439774,8863744
