"Time","CPU","Memory"
2021-06-18T14:46:01.955,275937692,18972672
2021-06-18T14:46:02.960,1312453990,23568384
2021-06-18T14:46:03.965,2486408914,42287104
2021-06-18T14:46:04.970,2961581212,69787648
2021-06-18T14:46:05.975,2967207089,69824512
2021-06-18T14:46:06.979,2972654174,69873664
2021-06-18T14:46:07.984,2978357395,69873664
2021-06-18T14:46:08.989,2984051000,69869568
2021-06-18T14:46:09.993,2989744152,69898240
2021-06-18T14:46:10.998,2995349189,69922816
2021-06-18T14:46:12.007,3000941883,69943296
2021-06-18T14:46:13.011,3006592230,69910528
2021-06-18T14:46:14.016,3012073371,69918720
2021-06-18T14:46:15.020,3017717773,69951488
2021-06-18T14:46:16.025,3023353787,69935104
2021-06-18T14:46:17.030,3029179511,69951488
2021-06-18T14:46:18.034,3034856267,69951488
2021-06-18T14:46:19.039,3040414680,69951488
2021-06-18T14:46:20.043,3046229601,69976064
2021-06-18T14:46:21.049,3051960913,69959680
2021-06-18T14:46:22.054,3057319450,69971968
2021-06-18T14:46:23.059,3062899144,69959680
2021-06-18T14:46:24.063,3068551294,69951488
2021-06-18T14:46:25.068,3074471252,69984256
2021-06-18T14:46:26.072,3080078791,69971968
2021-06-18T14:46:27.090,3428789097,70950912
2021-06-18T14:46:28.110,4313271177,70995968
2021-06-18T14:46:29.124,5255380757,71036928
2021-06-18T14:46:30.150,6154982211,71045120
2021-06-18T14:46:31.166,7063725080,71061504
2021-06-18T14:46:32.175,7996699482,71081984
2021-06-18T14:46:33.198,8858929877,71069696
2021-06-18T14:46:34.228,9774208560,71086080
2021-06-18T14:46:35.243,10659966739,71098368
2021-06-18T14:46:36.263,11544092898,71106560
2021-06-18T14:46:37.283,12388786260,71114752
2021-06-18T14:46:38.310,13276312400,71118848
2021-06-18T14:46:39.338,14185388421,71262208
2021-06-18T14:46:40.354,15061204613,71122944
2021-06-18T14:46:41.382,15955697897,71118848
2021-06-18T14:46:42.402,16872388324,71106560
2021-06-18T14:46:43.422,17758284489,71118848
2021-06-18T14:46:44.449,18633306990,71127040
2021-06-18T14:46:45.463,19534510405,71147520
2021-06-18T14:46:46.486,20443337107,71176192
2021-06-18T14:46:47.518,21294080394,71143424
2021-06-18T14:46:48.538,22189844225,71122944
2021-06-18T14:46:49.562,23085343635,71151616
2021-06-18T14:46:50.571,23993861995,71147520
2021-06-18T14:46:51.602,24910778381,71168000
2021-06-18T14:46:52.629,25788545807,71168000
2021-06-18T14:46:53.654,26694944620,71155712
2021-06-18T14:46:54.663,27585581272,71168000
2021-06-18T14:46:55.686,28470531427,71168000
2021-06-18T14:46:56.702,29342666450,71147520
2021-06-18T14:46:57.738,30205358426,71135232
2021-06-18T14:46:58.750,31132936532,71155712
2021-06-18T14:46:59.771,32031621417,71143424
2021-06-18T14:47:00.795,32920576216,71143424
2021-06-18T14:47:01.818,33821865335,71163904
2021-06-18T14:47:02.831,34702800057,71163904
2021-06-18T14:47:03.849,35606691817,71163904
2021-06-18T14:47:04.867,36505022399,71147520
2021-06-18T14:47:05.879,37226322224,71139328
2021-06-18T14:47:06.896,38073956131,71163904
2021-06-18T14:47:07.945,38849738027,71143424
2021-06-18T14:47:08.970,39712806994,71163904
