"Time","CPU","Memory"
2021-06-18T14:54:07.491,187556935,17719296
2021-06-18T14:54:08.594,304877335,31657984
2021-06-18T14:54:09.807,326586733,32743424
2021-06-18T14:54:10.811,332072106,32759808
2021-06-18T14:54:11.816,337462680,32751616
2021-06-18T14:54:12.821,343107767,32763904
2021-06-18T14:54:13.826,348527457,32780288
2021-06-18T14:54:14.831,353990617,32776192
2021-06-18T14:54:15.836,359543527,32788480
2021-06-18T14:54:16.854,364889077,32833536
2021-06-18T14:54:17.863,370408858,32829440
2021-06-18T14:54:18.868,375556249,32837632
2021-06-18T14:54:19.873,380973881,32845824
2021-06-18T14:54:20.881,386554546,32866304
2021-06-18T14:54:21.885,391953733,32882688
2021-06-18T14:54:22.890,397401382,32821248
2021-06-18T14:54:23.895,402821877,32833536
2021-06-18T14:54:24.903,411816853,32821248
2021-06-18T14:54:25.908,417166063,32817152
2021-06-18T14:54:26.912,422590742,32837632
2021-06-18T14:54:27.917,428036555,32854016
2021-06-18T14:54:28.922,433426124,32845824
2021-06-18T14:54:29.927,438887257,32858112
2021-06-18T14:54:30.932,444458965,32870400
2021-06-18T14:54:32.026,500607848,32878592
2021-06-18T14:54:33.206,613745748,32866304
2021-06-18T14:54:34.338,734967607,32874496
2021-06-18T14:54:35.525,848013194,32870400
2021-06-18T14:54:36.706,967366943,32874496
2021-06-18T14:54:37.819,1084186826,32886784
2021-06-18T14:54:38.926,1196224599,32903168
2021-06-18T14:54:40.141,1304399441,32903168
2021-06-18T14:54:41.402,1430169243,32899072
2021-06-18T14:54:42.518,1543622462,32919552
2021-06-18T14:54:43.626,1652817201,32923648
2021-06-18T14:54:44.805,1768238492,32944128
2021-06-18T14:54:45.877,1874571582,32915456
2021-06-18T14:54:46.950,1988568488,32931840
2021-06-18T14:54:48.098,2098358567,32854016
2021-06-18T14:54:49.214,2207979627,32899072
2021-06-18T14:54:50.490,2334235487,32899072
2021-06-18T14:54:51.598,2447883274,32919552
2021-06-18T14:54:52.729,2563318090,32903168
2021-06-18T14:54:53.838,2674908968,32919552
2021-06-18T14:54:54.937,2785352368,32915456
2021-06-18T14:54:56.110,2902581069,32911360
2021-06-18T14:54:57.218,3011646524,32907264
2021-06-18T14:54:58.300,3118870736,32935936
2021-06-18T14:54:59.494,3235854251,32935936
2021-06-18T14:55:00.629,3350750641,32952320
2021-06-18T14:55:01.794,3461958662,32923648
2021-06-18T14:55:02.922,3572039135,32935936
2021-06-18T14:55:04.094,3692222952,32935936
2021-06-18T14:55:05.411,3824749268,32931840
2021-06-18T14:55:06.521,3935225188,32931840
2021-06-18T14:55:07.830,4067157544,32915456
2021-06-18T14:55:08.906,4174603280,32935936
2021-06-18T14:55:10.178,4294920782,32919552
