"Time","CPU","Memory"
2021-06-18T14:54:04.752,84227073,11845632
2021-06-18T14:54:05.758,141929200,19169280
2021-06-18T14:54:06.802,147562611,19070976
2021-06-18T14:54:07.807,152945238,19087360
2021-06-18T14:54:08.811,158343798,19070976
2021-06-18T14:54:09.816,163531438,19046400
2021-06-18T14:54:10.820,168732510,19062784
2021-06-18T14:54:11.825,174069503,19058688
2021-06-18T14:54:12.829,179270506,19075072
2021-06-18T14:54:13.833,184452949,19058688
2021-06-18T14:54:14.838,189677618,19054592
2021-06-18T14:54:15.843,195086152,19050496
2021-06-18T14:54:16.848,200126095,19087360
2021-06-18T14:54:17.857,205412154,19103744
2021-06-18T14:54:18.862,210805237,19091456
2021-06-18T14:54:19.867,216246996,19099648
2021-06-18T14:54:20.872,221621045,19140608
2021-06-18T14:54:21.877,227254402,19165184
2021-06-18T14:54:22.882,232877317,19128320
2021-06-18T14:54:23.887,238370133,19075072
2021-06-18T14:54:24.891,243729413,19075072
2021-06-18T14:54:25.896,249027241,19079168
2021-06-18T14:54:26.901,254546376,19087360
2021-06-18T14:54:27.906,259970636,19116032
2021-06-18T14:54:28.910,265202517,19140608
2021-06-18T14:54:29.915,270622505,19152896
2021-06-18T14:54:30.931,276224998,19165184
2021-06-18T14:54:31.946,637599851,19849216
2021-06-18T14:54:32.962,1589784936,19865600
2021-06-18T14:54:33.979,2521807511,19845120
2021-06-18T14:54:34.998,3479526787,19763200
2021-06-18T14:54:36.014,4449293010,19865600
2021-06-18T14:54:37.025,5394971390,19890176
2021-06-18T14:54:38.050,6379281983,19861504
2021-06-18T14:54:39.066,7332589816,19886080
2021-06-18T14:54:40.087,8305240216,19767296
2021-06-18T14:54:41.101,9270939554,19902464
2021-06-18T14:54:42.114,10256406150,19894272
2021-06-18T14:54:43.126,11243527793,19886080
2021-06-18T14:54:44.142,12212861020,19890176
2021-06-18T14:54:45.154,13147446610,19771392
2021-06-18T14:54:46.166,14108242054,19910656
2021-06-18T14:54:47.171,15080088989,19787776
2021-06-18T14:54:48.192,16060358994,19804160
2021-06-18T14:54:49.205,17024049440,19857408
2021-06-18T14:54:50.226,17991345671,19890176
2021-06-18T14:54:51.231,18977764109,19775488
2021-06-18T14:54:52.258,19943010396,19906560
2021-06-18T14:54:53.270,20885104670,19783680
2021-06-18T14:54:54.283,21851350044,19783680
2021-06-18T14:54:55.313,22793002202,19800064
2021-06-18T14:54:56.330,23765049168,19927040
2021-06-18T14:54:57.350,24731643912,19894272
2021-06-18T14:54:58.370,25683736324,19906560
2021-06-18T14:54:59.382,26643541386,19771392
2021-06-18T14:55:00.401,27581765029,19902464
2021-06-18T14:55:01.426,28556916663,19898368
2021-06-18T14:55:02.442,29499071340,19853312
2021-06-18T14:55:03.450,30454319325,19857408
2021-06-18T14:55:04.469,31396759514,19857408
2021-06-18T14:55:05.490,32374125069,19750912
2021-06-18T14:55:06.513,33361442742,19771392
2021-06-18T14:55:07.534,34325497455,19894272
2021-06-18T14:55:08.543,35294794490,19746816
2021-06-18T14:55:09.571,36244397183,19853312
2021-06-18T14:55:10.583,37215296005,19849216
2021-06-18T14:55:11.602,38104878915,19750912
