"Time","CPU","Memory"
2021-06-18T14:54:06.089,131655331,15314944
2021-06-18T14:54:07.095,338301153,41377792
2021-06-18T14:54:08.102,428913220,50831360
2021-06-18T14:54:09.108,435163511,50876416
2021-06-18T14:54:10.137,441462350,50864128
2021-06-18T14:54:11.142,447622736,50860032
2021-06-18T14:54:12.148,454016872,50892800
2021-06-18T14:54:13.153,460384478,50909184
2021-06-18T14:54:14.158,466493774,50896896
2021-06-18T14:54:15.164,472755595,50900992
2021-06-18T14:54:16.169,479005381,50896896
2021-06-18T14:54:17.175,484902054,50913280
2021-06-18T14:54:18.181,490865839,50933760
2021-06-18T14:54:19.187,496861932,50905088
2021-06-18T14:54:20.192,503013176,50913280
2021-06-18T14:54:21.198,509377528,50925568
2021-06-18T14:54:22.203,515726249,50909184
2021-06-18T14:54:23.208,521976829,50913280
2021-06-18T14:54:24.213,528340621,50909184
2021-06-18T14:54:25.218,534617926,50917376
2021-06-18T14:54:26.224,540790179,50937856
2021-06-18T14:54:27.229,547171211,50958336
2021-06-18T14:54:28.234,553590213,50962432
2021-06-18T14:54:29.240,559750393,50921472
2021-06-18T14:54:30.245,566039719,50941952
2021-06-18T14:54:31.250,572238998,50921472
2021-06-18T14:54:32.265,592300508,51572736
2021-06-18T14:54:33.283,598254373,51605504
2021-06-18T14:54:34.302,608806645,51605504
2021-06-18T14:54:35.330,614968885,51601408
2021-06-18T14:54:36.350,625921244,51621888
2021-06-18T14:54:37.361,631960508,51609600
2021-06-18T14:54:38.378,640041670,51609600
2021-06-18T14:54:39.398,646094272,51597312
2021-06-18T14:54:40.424,654160534,51613696
2021-06-18T14:54:41.442,660202980,51625984
2021-06-18T14:54:42.462,670239244,51650560
2021-06-18T14:54:43.477,680263057,51613696
2021-06-18T14:54:44.498,688241030,51601408
2021-06-18T14:54:45.530,694407857,51601408
2021-06-18T14:54:46.553,713010584,51638272
2021-06-18T14:54:47.566,720237566,51658752
2021-06-18T14:54:48.578,727147451,51642368
2021-06-18T14:54:49.616,736171173,51625984
2021-06-18T14:54:50.633,742474939,51630080
2021-06-18T14:54:51.661,749627707,51642368
2021-06-18T14:54:52.694,755623190,51671040
2021-06-18T14:54:53.718,764520346,51675136
2021-06-18T14:54:54.746,773337097,51638272
2021-06-18T14:54:55.764,780553737,51638272
2021-06-18T14:54:56.781,787846084,51650560
2021-06-18T14:54:57.803,793798875,51666944
2021-06-18T14:54:58.826,804910144,51666944
2021-06-18T14:54:59.842,811160206,51638272
2021-06-18T14:55:00.865,820848549,51638272
2021-06-18T14:55:01.890,826908948,51662848
2021-06-18T14:55:02.937,835195501,51671040
2021-06-18T14:55:03.954,841807476,51666944
2021-06-18T14:55:04.985,849659883,51650560
2021-06-18T14:55:06.010,857030915,51671040
2021-06-18T14:55:07.026,863067757,51687424
2021-06-18T14:55:08.038,873519677,51666944
2021-06-18T14:55:09.054,879909623,51666944
2021-06-18T14:55:10.078,887148624,51675136
2021-06-18T14:55:11.100,893117566,51650560
2021-06-18T14:55:12.150,900210035,51634176
