"Time","CPU","Memory"
2021-06-18T15:16:16.990,180489872,16175104
2021-06-18T15:16:18.093,292201938,28774400
2021-06-18T15:16:19.194,328872144,32661504
2021-06-18T15:16:20.199,334566896,32698368
2021-06-18T15:16:21.204,340002764,32698368
2021-06-18T15:16:22.209,345587932,32698368
2021-06-18T15:16:23.213,351175900,32702464
2021-06-18T15:16:24.218,356531264,32694272
2021-06-18T15:16:25.225,361932293,32718848
2021-06-18T15:16:26.230,367330977,32727040
2021-06-18T15:16:27.235,372904527,32669696
2021-06-18T15:16:28.239,378260977,32661504
2021-06-18T15:16:29.244,383681388,32673792
2021-06-18T15:16:30.249,389305482,32657408
2021-06-18T15:16:31.254,395042052,32661504
2021-06-18T15:16:32.259,400526557,32706560
2021-06-18T15:16:33.264,406027954,32731136
2021-06-18T15:16:34.269,411459620,32677888
2021-06-18T15:16:35.274,416973142,32677888
2021-06-18T15:16:36.278,422365646,32677888
2021-06-18T15:16:37.283,427862236,32677888
2021-06-18T15:16:38.288,433288262,32657408
2021-06-18T15:16:39.293,438842157,32669696
2021-06-18T15:16:40.298,444300072,32681984
2021-06-18T15:16:41.303,449877023,32669696
2021-06-18T15:16:42.308,455282111,32690176
2021-06-18T15:16:43.313,461041883,32718848
2021-06-18T15:16:44.318,466417178,32718848
2021-06-18T15:16:45.323,471999148,32681984
2021-06-18T15:16:46.328,477638826,32686080
2021-06-18T15:16:47.332,483084377,32698368
2021-06-18T15:16:48.337,488493468,32698368
2021-06-18T15:16:49.342,493860370,32702464
2021-06-18T15:16:50.347,499276497,32710656
2021-06-18T15:16:51.352,504711743,32731136
2021-06-18T15:16:52.356,510211692,32694272
2021-06-18T15:16:53.361,515737609,32677888
2021-06-18T15:16:54.366,521122140,32677888
2021-06-18T15:16:55.371,526525642,32694272
2021-06-18T15:16:56.376,532052444,32681984
2021-06-18T15:16:57.380,537586992,32673792
2021-06-18T15:16:58.385,542922999,32661504
2021-06-18T15:16:59.390,548543476,32665600
2021-06-18T15:17:00.395,554085068,32681984
2021-06-18T15:17:01.400,559613667,32673792
2021-06-18T15:17:02.492,595979963,32710656
2021-06-18T15:17:03.596,701824305,32722944
2021-06-18T15:17:04.694,815466941,32722944
2021-06-18T15:17:05.892,937841764,32735232
2021-06-18T15:17:07.094,1049004009,32731136
2021-06-18T15:17:08.489,1186653648,32747520
2021-06-18T15:17:09.691,1313524996,32731136
2021-06-18T15:17:10.801,1420143065,32739328
2021-06-18T15:17:11.891,1531468250,32686080
2021-06-18T15:17:13.096,1641024130,32747520
2021-06-18T15:17:14.290,1764624662,32735232
2021-06-18T15:17:15.392,1876641932,32747520
2021-06-18T15:17:16.598,1984346058,32743424
2021-06-18T15:17:17.889,2102778518,32743424
2021-06-18T15:17:18.998,2218577014,32727040
2021-06-18T15:17:20.191,2346067675,32702464
2021-06-18T15:17:21.390,2453474257,32743424
2021-06-18T15:17:22.590,2566758757,32747520
2021-06-18T15:17:23.791,2685131820,32747520
2021-06-18T15:17:24.990,2811866111,32727040
2021-06-18T15:17:26.093,2928240165,32747520
2021-06-18T15:17:27.191,3033639981,32731136
2021-06-18T15:17:28.294,3149814001,32735232
2021-06-18T15:17:29.390,3252991207,32731136
2021-06-18T15:17:30.494,3368272048,32747520
2021-06-18T15:17:31.694,3489036899,32763904
2021-06-18T15:17:32.890,3602221866,32763904
2021-06-18T15:17:34.192,3736504655,32751616
2021-06-18T15:17:35.295,3848169359,32780288
2021-06-18T15:17:36.491,3955917013,32784384
2021-06-18T15:17:37.590,4068914989,32768000
2021-06-18T15:17:38.595,4174350041,32739328
