"Time","CPU","Memory"
2021-06-18T15:05:35.863,182304494,31764480
2021-06-18T15:05:36.868,350103715,54452224
2021-06-18T15:05:37.873,355481573,54329344
2021-06-18T15:05:38.877,361105879,54345728
2021-06-18T15:05:39.882,366534223,54337536
2021-06-18T15:05:40.887,372125971,54349824
2021-06-18T15:05:41.892,377601410,54358016
2021-06-18T15:05:42.897,383109319,54358016
2021-06-18T15:05:43.902,388540382,54353920
2021-06-18T15:05:44.906,394046661,54362112
2021-06-18T15:05:45.911,399531461,54358016
2021-06-18T15:05:46.916,405002486,54362112
2021-06-18T15:05:47.921,410533923,54374400
2021-06-18T15:05:48.926,416099574,54378496
2021-06-18T15:05:49.931,421633551,54390784
2021-06-18T15:05:50.935,427090709,54386688
2021-06-18T15:05:51.940,432572074,54366208
2021-06-18T15:05:52.945,438015287,54362112
2021-06-18T15:05:53.950,443379950,54374400
2021-06-18T15:05:54.955,448866507,54362112
2021-06-18T15:05:55.960,454653223,54378496
2021-06-18T15:05:56.965,460034026,54390784
2021-06-18T15:05:57.970,465545283,54411264
2021-06-18T15:05:58.975,471287099,54423552
2021-06-18T15:05:59.980,476777715,54448128
2021-06-18T15:06:00.985,482304810,54444032
2021-06-18T15:06:01.989,487782723,54444032
2021-06-18T15:06:02.994,493257257,54423552
2021-06-18T15:06:03.999,498868184,54439936
2021-06-18T15:06:05.004,504536789,54439936
2021-06-18T15:06:06.009,510094033,54444032
2021-06-18T15:06:07.014,515651401,54444032
2021-06-18T15:06:08.019,521109450,54460416
2021-06-18T15:06:09.023,526508869,54468608
2021-06-18T15:06:10.028,532092852,54439936
2021-06-18T15:06:11.033,537553219,54444032
2021-06-18T15:06:12.038,542936887,54423552
2021-06-18T15:06:13.043,548342656,54427648
2021-06-18T15:06:14.048,553791152,54423552
2021-06-18T15:06:15.052,559344730,54423552
2021-06-18T15:06:16.057,564822080,54439936
2021-06-18T15:06:17.062,570256336,54435840
2021-06-18T15:06:18.067,575905061,54460416
2021-06-18T15:06:19.072,581268363,54448128
2021-06-18T15:06:20.076,586618653,54423552
2021-06-18T15:06:21.081,592179332,54439936
2021-06-18T15:06:22.086,597700415,54431744
2021-06-18T15:06:23.091,603166879,54431744
2021-06-18T15:06:24.096,608586596,54349824
2021-06-18T15:06:25.101,614269455,54370304
2021-06-18T15:06:26.106,619899357,54394880
2021-06-18T15:06:27.111,625296205,54403072
2021-06-18T15:06:28.116,630834986,54407168
2021-06-18T15:06:29.121,636550748,54398976
2021-06-18T15:06:30.126,641978336,54386688
2021-06-18T15:06:31.131,647521725,54386688
2021-06-18T15:06:32.143,653245780,54382592
2021-06-18T15:06:33.148,658631732,54382592
2021-06-18T15:06:34.153,664338944,54390784
2021-06-18T15:06:35.158,669752408,54378496
2021-06-18T15:06:36.163,675398230,54403072
2021-06-18T15:06:37.167,680827199,54423552
2021-06-18T15:06:38.172,686330110,54423552
2021-06-18T15:06:39.177,692003251,54435840
2021-06-18T15:06:40.182,697532454,54435840
2021-06-18T15:06:41.187,703065440,54423552
2021-06-18T15:06:42.192,708474985,54403072
2021-06-18T15:06:43.196,714050211,54411264
2021-06-18T15:06:44.202,719567828,54419456
2021-06-18T15:06:45.206,725177500,54444032
2021-06-18T15:06:46.211,730584192,54464512
2021-06-18T15:06:47.216,736124128,54427648
2021-06-18T15:06:48.221,741618015,54456320
2021-06-18T15:06:49.226,747137130,54390784
2021-06-18T15:06:50.231,752717275,54382592
2021-06-18T15:06:51.236,758400858,54382592
2021-06-18T15:06:52.241,763858927,54370304
2021-06-18T15:06:53.246,769641514,54374400
2021-06-18T15:06:54.251,775211885,54370304
2021-06-18T15:06:55.255,780660085,54370304
2021-06-18T15:06:56.261,786234337,54390784
2021-06-18T15:06:57.266,791746906,54407168
2021-06-18T15:06:58.271,797332752,54390784
2021-06-18T15:06:59.275,802898609,54403072
2021-06-18T15:07:00.280,808580163,54386688
2021-06-18T15:07:01.285,814083161,54407168
2021-06-18T15:07:02.291,819516697,54419456
2021-06-18T15:07:03.296,825133630,54394880
2021-06-18T15:07:04.300,830681583,54394880
2021-06-18T15:07:05.305,836237678,54394880
2021-06-18T15:07:06.310,841777687,54394880
2021-06-18T15:07:07.315,847179287,54411264
2021-06-18T15:07:08.320,852674475,54394880
2021-06-18T15:07:09.325,858276625,54419456
2021-06-18T15:07:10.330,863638736,54448128
2021-06-18T15:07:11.334,869234307,54403072
2021-06-18T15:07:12.339,874859069,54398976
2021-06-18T15:07:13.344,880347007,54403072
2021-06-18T15:07:14.349,885797237,54419456
2021-06-18T15:07:15.354,891379326,54411264
2021-06-18T15:07:16.359,897053901,54439936
2021-06-18T15:07:17.364,902598268,54398976
2021-06-18T15:07:18.369,908132953,54435840
2021-06-18T15:07:19.374,913680241,54431744
2021-06-18T15:07:20.379,919435339,54448128
2021-06-18T15:07:21.384,924886189,54419456
2021-06-18T15:07:22.389,930352657,54435840
2021-06-18T15:07:23.394,935956922,54419456
2021-06-18T15:07:24.399,941676856,54419456
2021-06-18T15:07:25.404,947050698,54394880
2021-06-18T15:07:26.408,952501768,54386688
2021-06-18T15:07:27.413,957851503,54358016
2021-06-18T15:07:28.418,963436685,54378496
2021-06-18T15:07:29.423,968973688,54378496
2021-06-18T15:07:30.428,974605101,54390784
2021-06-18T15:07:31.433,980203478,54394880
2021-06-18T15:07:32.438,985744690,54398976
2021-06-18T15:07:33.443,991352022,54403072
2021-06-18T15:07:34.448,1002330372,54415360
2021-06-18T15:07:35.453,1015237249,54439936
2021-06-18T15:07:36.458,1027451020,54423552
2021-06-18T15:07:37.465,1040575106,54411264
2021-06-18T15:07:38.470,1053219752,54411264
2021-06-18T15:07:39.476,1065104556,54423552
2021-06-18T15:07:40.481,1078975056,54444032
2021-06-18T15:07:41.486,1090592100,54439936
2021-06-18T15:07:42.492,1103556662,54448128
2021-06-18T15:07:43.497,1115093990,54444032
2021-06-18T15:07:44.504,1130802607,54411264
2021-06-18T15:07:45.509,1144101403,54423552
2021-06-18T15:07:46.514,1156227578,54452224
2021-06-18T15:07:47.521,1169329334,54439936
2021-06-18T15:07:48.527,1187520453,54427648
2021-06-18T15:07:49.533,1201809112,54431744
2021-06-18T15:07:50.538,1213888743,54448128
2021-06-18T15:07:51.544,1225553701,54435840
2021-06-18T15:07:52.549,1237023043,54431744
2021-06-18T15:07:53.554,1249534843,54415360
2021-06-18T15:07:54.560,1262439096,54415360
2021-06-18T15:07:55.567,1274987376,54419456
2021-06-18T15:07:56.576,1289055029,54415360
2021-06-18T15:07:57.587,1300403800,54419456
2021-06-18T15:07:58.593,1314053694,54427648
2021-06-18T15:07:59.598,1325944532,54419456
2021-06-18T15:08:00.603,1340159862,54419456
2021-06-18T15:08:01.609,1353734726,54423552
2021-06-18T15:08:02.613,1365683019,54415360
2021-06-18T15:08:03.619,1378886008,54415360
2021-06-18T15:08:04.624,1391401590,54419456
2021-06-18T15:08:05.630,1406100711,54419456
2021-06-18T15:08:06.636,1420793148,54419456
2021-06-18T15:08:07.641,1431678961,54419456
2021-06-18T15:08:08.649,1444614844,54435840
2021-06-18T15:08:09.654,1458149696,54431744
2021-06-18T15:08:10.659,1470465099,54431744
2021-06-18T15:08:11.665,1482982469,54431744
2021-06-18T15:08:12.670,1494471238,54435840
2021-06-18T15:08:13.675,1506539063,54419456
2021-06-18T15:08:14.681,1520491688,54415360
2021-06-18T15:08:15.687,1534148590,54419456
2021-06-18T15:08:16.692,1546322664,54415360
2021-06-18T15:08:17.698,1558401236,54419456
2021-06-18T15:08:18.707,1573016404,54415360
2021-06-18T15:08:19.713,1587716620,54415360
2021-06-18T15:08:20.719,1600169355,54415360
2021-06-18T15:08:21.724,1613674976,54419456
2021-06-18T15:08:22.729,1626087730,54439936
2021-06-18T15:08:23.734,1638453088,54448128
2021-06-18T15:08:24.740,1653021242,54431744
