"Time","CPU","Memory"
2021-06-18T15:16:16.164,81393646,3952640
2021-06-18T15:16:17.169,129060334,8445952
2021-06-18T15:16:18.217,134559354,8318976
2021-06-18T15:16:19.222,140030980,8323072
2021-06-18T15:16:20.226,145414878,8368128
2021-06-18T15:16:21.231,150770709,8364032
2021-06-18T15:16:22.236,156184724,8359936
2021-06-18T15:16:23.242,161561225,8364032
2021-06-18T15:16:24.247,166977271,8380416
2021-06-18T15:16:25.252,172357326,8392704
2021-06-18T15:16:26.257,177620014,8400896
2021-06-18T15:16:27.262,183192630,8392704
2021-06-18T15:16:28.267,188519912,8409088
2021-06-18T15:16:29.272,194037199,8351744
2021-06-18T15:16:30.276,199469502,8351744
2021-06-18T15:16:31.281,204921840,8335360
2021-06-18T15:16:32.286,210373596,8335360
2021-06-18T15:16:33.290,215934258,8339456
2021-06-18T15:16:34.295,221396456,8335360
2021-06-18T15:16:35.300,226797253,8359936
2021-06-18T15:16:36.305,232389720,8392704
2021-06-18T15:16:37.309,237903421,8376320
2021-06-18T15:16:38.314,243132067,8384512
2021-06-18T15:16:39.319,248722573,8409088
2021-06-18T15:16:40.324,254183911,8417280
2021-06-18T15:16:41.329,259674928,8392704
2021-06-18T15:16:42.333,265325354,8396800
2021-06-18T15:16:43.338,270765323,8376320
2021-06-18T15:16:44.343,276073685,8396800
2021-06-18T15:16:45.348,281563674,8404992
2021-06-18T15:16:46.352,287058625,8384512
2021-06-18T15:16:47.357,292479841,8392704
2021-06-18T15:16:48.362,297850263,8417280
2021-06-18T15:16:49.367,303702371,8425472
2021-06-18T15:16:50.371,309146959,8445952
2021-06-18T15:16:51.376,314476224,8421376
2021-06-18T15:16:52.381,319928247,8413184
2021-06-18T15:16:53.385,325405348,8413184
2021-06-18T15:16:54.390,330748904,8413184
2021-06-18T15:16:55.399,336093617,8421376
2021-06-18T15:16:56.409,341623825,8413184
2021-06-18T15:16:57.414,347025885,8433664
2021-06-18T15:16:58.419,352520195,8417280
2021-06-18T15:16:59.423,357858275,8433664
2021-06-18T15:17:00.428,363162312,8388608
2021-06-18T15:17:01.433,368473681,8355840
2021-06-18T15:17:02.438,547111048,8912896
2021-06-18T15:17:03.456,1531384119,9031680
2021-06-18T15:17:04.471,2515957999,9011200
2021-06-18T15:17:05.497,3488540143,8904704
2021-06-18T15:17:06.513,4469812684,9117696
2021-06-18T15:17:07.532,5467032469,9039872
2021-06-18T15:17:08.542,6454190253,8978432
2021-06-18T15:17:09.556,7419438188,9039872
2021-06-18T15:17:10.562,8392520105,8900608
2021-06-18T15:17:11.574,9369740872,9023488
2021-06-18T15:17:12.588,10322662020,9170944
2021-06-18T15:17:13.605,11306452114,8921088
2021-06-18T15:17:14.625,12289927837,8904704
2021-06-18T15:17:15.644,13262085892,8912896
2021-06-18T15:17:16.660,14246231340,9015296
2021-06-18T15:17:17.672,15219169939,8998912
2021-06-18T15:17:18.681,16195418345,8908800
2021-06-18T15:17:19.696,17189715205,9007104
2021-06-18T15:17:20.714,18196243470,8925184
2021-06-18T15:17:21.732,19168116271,9056256
2021-06-18T15:17:22.747,20155291701,8937472
2021-06-18T15:17:23.767,21168361618,8921088
2021-06-18T15:17:24.784,22157683862,9011200
2021-06-18T15:17:25.800,23130774555,9039872
2021-06-18T15:17:26.816,24125181422,9015296
2021-06-18T15:17:27.828,25124822948,9175040
2021-06-18T15:17:28.844,26065093472,9048064
2021-06-18T15:17:29.855,27052422114,9048064
2021-06-18T15:17:30.880,28037349997,9158656
2021-06-18T15:17:31.901,29023020724,8929280
2021-06-18T15:17:32.908,30017371515,9011200
2021-06-18T15:17:33.924,30989399108,8908800
2021-06-18T15:17:34.949,31997206366,9060352
2021-06-18T15:17:35.958,32973342402,9076736
2021-06-18T15:17:36.980,33956406823,8957952
2021-06-18T15:17:38.000,34948477529,8962048
2021-06-18T15:17:39.012,35913559763,8941568
2021-06-18T15:17:40.028,36898883563,8945664
