"Time","CPU","Memory"
2021-06-18T15:16:24.558,1068472092,9129984
2021-06-18T15:16:25.564,2254414842,42209280
2021-06-18T15:16:26.569,2886778434,42295296
2021-06-18T15:16:27.574,2892546106,42201088
2021-06-18T15:16:28.578,2898086126,42180608
2021-06-18T15:16:29.583,2903768777,42184704
2021-06-18T15:16:30.588,2909856345,42242048
2021-06-18T15:16:31.593,2915577382,42258432
2021-06-18T15:16:32.598,2921539759,42242048
2021-06-18T15:16:33.603,2927363576,42213376
2021-06-18T15:16:34.607,2933309468,42213376
2021-06-18T15:16:35.612,2939052437,42246144
2021-06-18T15:16:36.617,2944653990,42237952
2021-06-18T15:16:37.622,2950786754,42299392
2021-06-18T15:16:38.626,2956409716,42246144
2021-06-18T15:16:39.631,2962076209,42242048
2021-06-18T15:16:40.635,2967959483,42254336
2021-06-18T15:16:41.640,2973721723,42237952
2021-06-18T15:16:42.645,2979440714,42262528
2021-06-18T15:16:43.650,2985352414,42258432
2021-06-18T15:16:44.654,2990760366,42254336
2021-06-18T15:16:45.659,2996571823,42278912
2021-06-18T15:16:46.664,3002376560,42274816
2021-06-18T15:16:47.668,3008140801,42291200
2021-06-18T15:16:48.673,3014030647,42295296
2021-06-18T15:16:49.678,3019786087,42270720
2021-06-18T15:16:50.682,3025684449,42283008
2021-06-18T15:16:51.687,3031230739,42266624
2021-06-18T15:16:52.691,3036903515,42270720
2021-06-18T15:16:53.696,3042627574,42274816
2021-06-18T15:16:54.701,3048405290,42299392
2021-06-18T15:16:55.706,3054352544,42311680
2021-06-18T15:16:56.710,3060301371,42340352
2021-06-18T15:16:57.715,3065819954,42344448
2021-06-18T15:16:58.720,3071443824,42348544
2021-06-18T15:16:59.724,3076873145,42328064
2021-06-18T15:17:00.729,3082645710,42352640
2021-06-18T15:17:01.734,3088427016,42336256
2021-06-18T15:17:02.756,3569663776,43196416
2021-06-18T15:17:03.772,4553025984,43646976
2021-06-18T15:17:04.799,5545749822,43794432
2021-06-18T15:17:05.817,6521308552,44077056
2021-06-18T15:17:06.845,7474089161,44351488
2021-06-18T15:17:07.873,8461039308,44625920
2021-06-18T15:17:08.893,9442958544,44929024
2021-06-18T15:17:09.936,10430494408,45187072
2021-06-18T15:17:10.952,11412668651,45576192
2021-06-18T15:17:11.992,12379031101,45752320
2021-06-18T15:17:13.013,13364261226,46141440
2021-06-18T15:17:14.033,14362794729,46370816
2021-06-18T15:17:15.056,15346698696,46817280
2021-06-18T15:17:16.070,16315144769,46886912
2021-06-18T15:17:17.101,17324241558,47181824
2021-06-18T15:17:18.125,18320727618,47443968
2021-06-18T15:17:19.152,19321915977,47779840
2021-06-18T15:17:20.168,20272615188,47980544
2021-06-18T15:17:21.188,21245760185,48287744
2021-06-18T15:17:22.206,22175672562,48504832
2021-06-18T15:17:23.228,23167959676,48738304
2021-06-18T15:17:24.248,24153300967,48975872
2021-06-18T15:17:25.268,25144491678,49418240
2021-06-18T15:17:26.292,26113363124,49700864
2021-06-18T15:17:27.309,27119993820,49754112
2021-06-18T15:17:28.332,28099548006,50171904
2021-06-18T15:17:29.352,29089147220,50438144
2021-06-18T15:17:30.373,30048430807,50651136
2021-06-18T15:17:31.393,31027954513,50921472
2021-06-18T15:17:32.425,32003409773,51150848
2021-06-18T15:17:33.445,32985495375,51441664
2021-06-18T15:17:34.472,33962949217,51625984
2021-06-18T15:17:35.492,34942803329,51961856
2021-06-18T15:17:36.508,35888087057,52166656
2021-06-18T15:17:37.523,36872778855,52482048
2021-06-18T15:17:38.537,37837496740,52690944
2021-06-18T15:17:39.556,38684169408,52727808
2021-06-18T15:17:40.572,39578292854,52731904
