"Time","CPU","Memory"
2021-06-18T15:19:53.491,188794091,17739776
2021-06-18T15:19:54.591,292280640,29249536
2021-06-18T15:19:55.597,323540995,32755712
2021-06-18T15:19:56.601,329027637,32763904
2021-06-18T15:19:57.606,334453560,32776192
2021-06-18T15:19:58.611,339926399,32800768
2021-06-18T15:19:59.616,345346101,32796672
2021-06-18T15:20:00.626,351072443,32784384
2021-06-18T15:20:01.636,356923189,32784384
2021-06-18T15:20:02.642,362159541,32788480
2021-06-18T15:20:03.647,367421843,32817152
2021-06-18T15:20:04.652,373070827,32800768
2021-06-18T15:20:05.657,378776932,32800768
2021-06-18T15:20:06.662,384262730,32821248
2021-06-18T15:20:07.667,389902397,32817152
2021-06-18T15:20:08.672,395342941,32825344
2021-06-18T15:20:09.676,401159529,32841728
2021-06-18T15:20:10.681,406560089,32837632
2021-06-18T15:20:11.686,411998881,32862208
2021-06-18T15:20:12.691,417428943,32784384
2021-06-18T15:20:13.696,422820834,32792576
2021-06-18T15:20:14.700,428252963,32768000
2021-06-18T15:20:15.705,433617203,32784384
2021-06-18T15:20:16.710,439168197,32800768
2021-06-18T15:20:17.715,444627030,32796672
2021-06-18T15:20:18.720,450008262,32800768
2021-06-18T15:20:19.724,455521900,32817152
2021-06-18T15:20:20.729,460953679,32813056
2021-06-18T15:20:21.734,466424648,32808960
2021-06-18T15:20:22.739,472064985,32825344
2021-06-18T15:20:23.744,477428507,32792576
2021-06-18T15:20:24.748,482869211,32804864
2021-06-18T15:20:25.753,488417523,32808960
2021-06-18T15:20:26.758,494068607,32808960
2021-06-18T15:20:27.763,499718960,32800768
2021-06-18T15:20:28.768,505134145,32808960
2021-06-18T15:20:29.773,510678522,32813056
2021-06-18T15:20:30.778,516181958,32825344
2021-06-18T15:20:31.783,521973023,32829440
2021-06-18T15:20:32.787,527506618,32829440
2021-06-18T15:20:33.792,533083466,32829440
2021-06-18T15:20:34.797,538578583,32829440
2021-06-18T15:20:35.802,544041516,32845824
2021-06-18T15:20:36.834,646005834,32862208
2021-06-18T15:20:37.994,754206854,32845824
2021-06-18T15:20:39.302,883146222,32829440
2021-06-18T15:20:40.511,1006769036,32833536
2021-06-18T15:20:41.613,1114976760,32833536
2021-06-18T15:20:42.750,1225779443,32804864
2021-06-18T15:20:43.814,1335424481,32854016
2021-06-18T15:20:45.094,1464470062,32845824
2021-06-18T15:20:46.195,1572022216,32829440
2021-06-18T15:20:47.226,1674744470,32833536
2021-06-18T15:20:48.392,1791164446,32829440
2021-06-18T15:20:49.498,1898654079,32837632
2021-06-18T15:20:50.638,2014704405,32858112
2021-06-18T15:20:51.794,2125527802,32841728
2021-06-18T15:20:53.010,2246331016,32854016
2021-06-18T15:20:54.226,2362916440,32858112
2021-06-18T15:20:55.318,2482463535,32796672
2021-06-18T15:20:56.527,2594939780,32845824
2021-06-18T15:20:57.614,2695443521,32837632
2021-06-18T15:20:58.690,2800386079,32858112
2021-06-18T15:20:59.790,2911551866,32878592
2021-06-18T15:21:00.918,3019333752,32841728
2021-06-18T15:21:02.162,3142681958,32845824
2021-06-18T15:21:03.231,3258125000,32845824
2021-06-18T15:21:04.450,3363152826,32866304
2021-06-18T15:21:05.694,3483762876,32849920
2021-06-18T15:21:06.804,3610421691,32854016
2021-06-18T15:21:07.898,3717949050,32866304
2021-06-18T15:21:09.030,3830711967,32866304
2021-06-18T15:21:10.198,3943088863,32866304
2021-06-18T15:21:11.394,4067731744,32858112
2021-06-18T15:21:12.510,4179877245,32866304
2021-06-18T15:21:13.694,4291502236,32882688
2021-06-18T15:21:14.744,4403240595,32882688
