"Time","CPU","Memory"
2021-06-18T15:19:49.811,80520122,4272128
2021-06-18T15:19:50.818,127051755,8441856
2021-06-18T15:19:51.825,132398742,8400896
2021-06-18T15:19:52.832,137832015,8400896
2021-06-18T15:19:53.836,143548573,8404992
2021-06-18T15:19:54.841,148910647,8400896
2021-06-18T15:19:55.847,155859458,8388608
2021-06-18T15:19:56.852,161168177,8400896
2021-06-18T15:19:57.857,166493707,8396800
2021-06-18T15:19:58.861,171970712,8404992
2021-06-18T15:19:59.866,177453851,8396800
2021-06-18T15:20:00.871,182730317,8404992
2021-06-18T15:20:01.876,188042521,8450048
2021-06-18T15:20:02.881,193455264,8359936
2021-06-18T15:20:03.886,198683308,8351744
2021-06-18T15:20:04.890,203913498,8351744
2021-06-18T15:20:05.895,209286002,8364032
2021-06-18T15:20:06.899,214672114,8368128
2021-06-18T15:20:07.904,219989463,8351744
2021-06-18T15:20:08.909,225282080,8380416
2021-06-18T15:20:09.913,230572144,8388608
2021-06-18T15:20:10.918,235915955,8429568
2021-06-18T15:20:11.923,241402976,8355840
2021-06-18T15:20:12.928,246826064,8364032
2021-06-18T15:20:13.933,252422816,8400896
2021-06-18T15:20:14.938,257910286,8392704
2021-06-18T15:20:15.942,263349733,8400896
2021-06-18T15:20:16.947,268706982,8425472
2021-06-18T15:20:17.952,274072903,8409088
2021-06-18T15:20:18.957,279449382,8388608
2021-06-18T15:20:19.961,284815938,8380416
2021-06-18T15:20:20.966,290195137,8388608
2021-06-18T15:20:21.971,295551563,8413184
2021-06-18T15:20:22.975,300897992,8409088
2021-06-18T15:20:23.980,306372964,8413184
2021-06-18T15:20:24.985,311915418,8404992
2021-06-18T15:20:25.990,317683659,8413184
2021-06-18T15:20:26.995,323233057,8409088
2021-06-18T15:20:28.001,328866254,8409088
2021-06-18T15:20:29.006,334186630,8409088
2021-06-18T15:20:30.010,339674930,8417280
2021-06-18T15:20:31.015,345093658,8425472
2021-06-18T15:20:32.020,350560375,8359936
2021-06-18T15:20:33.025,356008037,8376320
2021-06-18T15:20:34.029,361402229,8388608
2021-06-18T15:20:35.034,366854815,8372224
2021-06-18T15:20:36.044,437153152,8925184
2021-06-18T15:20:37.055,1410495875,8941568
2021-06-18T15:20:38.063,2356322971,8941568
2021-06-18T15:20:39.083,3307659902,8945664
2021-06-18T15:20:40.102,4287328486,9064448
2021-06-18T15:20:41.121,5245861250,8974336
2021-06-18T15:20:42.144,6229962833,8916992
2021-06-18T15:20:43.151,7204068883,9068544
2021-06-18T15:20:44.162,8134958902,8949760
2021-06-18T15:20:45.183,9110142718,8921088
2021-06-18T15:20:46.214,10021211494,8916992
2021-06-18T15:20:47.230,10997226618,8949760
2021-06-18T15:20:48.247,11934552702,8933376
2021-06-18T15:20:49.270,12871544466,8949760
2021-06-18T15:20:50.290,13820120380,8933376
2021-06-18T15:20:51.310,14807134648,8937472
2021-06-18T15:20:52.318,15735783607,9056256
2021-06-18T15:20:53.332,16718535623,8933376
2021-06-18T15:20:54.343,17688489445,8937472
2021-06-18T15:20:55.359,18672207558,8941568
2021-06-18T15:20:56.378,19632322847,9064448
2021-06-18T15:20:57.390,20535246772,8937472
2021-06-18T15:20:58.408,21499762966,9060352
2021-06-18T15:20:59.433,22454239403,9072640
2021-06-18T15:21:00.457,23431248076,9076736
2021-06-18T15:21:01.477,24406032254,9068544
2021-06-18T15:21:02.501,25371021789,9060352
2021-06-18T15:21:03.513,26322827771,9175040
2021-06-18T15:21:04.530,27240648815,8929280
2021-06-18T15:21:05.535,28192717521,9052160
2021-06-18T15:21:06.551,29178802983,9031680
2021-06-18T15:21:07.565,30140789555,9052160
2021-06-18T15:21:08.581,31128340755,9056256
2021-06-18T15:21:09.598,32092664749,9056256
2021-06-18T15:21:10.618,33003272020,9052160
2021-06-18T15:21:11.633,33961620052,9068544
2021-06-18T15:21:12.655,34944236596,9072640
2021-06-18T15:21:13.678,35888700075,8957952
2021-06-18T15:21:14.690,36837630084,8982528
2021-06-18T15:21:15.722,37811664182,9064448
