"Time","CPU","Memory"
2021-06-18T15:19:51.403,351816404,38854656
2021-06-18T15:19:52.409,387606414,40288256
2021-06-18T15:19:53.414,394054773,40198144
2021-06-18T15:19:54.420,400249923,40210432
2021-06-18T15:19:55.426,406468405,40210432
2021-06-18T15:19:56.431,412734220,40218624
2021-06-18T15:19:57.436,419134356,40218624
2021-06-18T15:19:58.442,425322097,40235008
2021-06-18T15:19:59.447,431704824,40247296
2021-06-18T15:20:00.452,437932673,40235008
2021-06-18T15:20:01.458,444117378,40239104
2021-06-18T15:20:02.464,450098707,40288256
2021-06-18T15:20:03.470,456052604,40296448
2021-06-18T15:20:04.475,462248799,40280064
2021-06-18T15:20:05.480,468523906,40284160
2021-06-18T15:20:06.485,474786185,40292352
2021-06-18T15:20:07.491,480979167,40321024
2021-06-18T15:20:08.496,487139656,40247296
2021-06-18T15:20:09.501,493407230,40255488
2021-06-18T15:20:10.506,499696520,40259584
2021-06-18T15:20:11.519,505938708,40243200
2021-06-18T15:20:12.524,512295746,40259584
2021-06-18T15:20:13.530,518463261,40255488
2021-06-18T15:20:14.535,524834419,40247296
2021-06-18T15:20:15.540,531152693,40271872
2021-06-18T15:20:16.545,537349953,40263680
2021-06-18T15:20:17.551,543703777,40251392
2021-06-18T15:20:18.556,549904566,40275968
2021-06-18T15:20:19.562,556434873,40275968
2021-06-18T15:20:20.567,562663067,40280064
2021-06-18T15:20:21.572,569042447,40292352
2021-06-18T15:20:22.578,575497238,40325120
2021-06-18T15:20:23.583,581788042,40325120
2021-06-18T15:20:24.589,588178016,40308736
2021-06-18T15:20:25.594,594688806,40292352
2021-06-18T15:20:26.600,601138131,40292352
2021-06-18T15:20:27.605,607544123,40308736
2021-06-18T15:20:28.610,613829365,40304640
2021-06-18T15:20:29.616,620162030,40325120
2021-06-18T15:20:30.621,626399095,40308736
2021-06-18T15:20:31.626,632608139,40308736
2021-06-18T15:20:32.631,638965300,40304640
2021-06-18T15:20:33.637,645135155,40333312
2021-06-18T15:20:34.642,651560351,40316928
2021-06-18T15:20:35.647,657927418,40345600
2021-06-18T15:20:36.666,670639797,40919040
2021-06-18T15:20:37.681,687177528,41205760
2021-06-18T15:20:38.710,693182965,41181184
2021-06-18T15:20:39.746,701776775,41193472
2021-06-18T15:20:40.773,709962655,41189376
2021-06-18T15:20:41.798,721283298,41189376
2021-06-18T15:20:42.821,727907988,41205760
2021-06-18T15:20:43.841,735007681,41201664
2021-06-18T15:20:44.858,741890507,41189376
2021-06-18T15:20:45.873,749224060,41193472
2021-06-18T15:20:46.901,755468895,41193472
2021-06-18T15:20:47.922,765374710,41172992
2021-06-18T15:20:48.942,771550869,41177088
2021-06-18T15:20:49.948,779781649,41177088
2021-06-18T15:20:50.967,785756205,41172992
2021-06-18T15:20:51.989,793925188,41201664
2021-06-18T15:20:53.022,799959463,41177088
2021-06-18T15:20:54.046,807525953,41177088
2021-06-18T15:20:55.070,815587950,41189376
2021-06-18T15:20:56.086,824549062,41177088
2021-06-18T15:20:57.102,843728956,41209856
2021-06-18T15:20:58.126,855778461,41213952
2021-06-18T15:20:59.154,866767637,41209856
2021-06-18T15:21:00.173,872714979,41230336
2021-06-18T15:21:01.206,880790253,41213952
2021-06-18T15:21:02.230,888193582,41213952
2021-06-18T15:21:03.249,894357247,41242624
2021-06-18T15:21:04.278,906656893,41177088
2021-06-18T15:21:05.298,914106070,41172992
2021-06-18T15:21:06.314,920452255,41172992
2021-06-18T15:21:07.346,929392679,41172992
2021-06-18T15:21:08.374,936487924,41152512
2021-06-18T15:21:09.390,945395765,41152512
2021-06-18T15:21:10.410,954559121,41172992
2021-06-18T15:21:11.430,960565717,41189376
2021-06-18T15:21:12.449,970671453,41218048
2021-06-18T15:21:13.477,976700156,41218048
2021-06-18T15:21:14.497,983983086,41250816
2021-06-18T15:21:15.514,989996541,41222144
