"Time","CPU","Memory"
2021-06-18T15:28:31.991,190197960,18485248
2021-06-18T15:28:33.090,302838729,30642176
2021-06-18T15:28:34.192,326451849,32772096
2021-06-18T15:28:35.197,331888099,32808960
2021-06-18T15:28:36.202,337272126,32817152
2021-06-18T15:28:37.206,342754223,32825344
2021-06-18T15:28:38.215,348179446,32837632
2021-06-18T15:28:39.238,353423457,32849920
2021-06-18T15:28:40.249,359088102,32862208
2021-06-18T15:28:41.254,364281015,32890880
2021-06-18T15:28:42.259,369807768,32878592
2021-06-18T15:28:43.264,375250545,32899072
2021-06-18T15:28:44.269,380692850,32878592
2021-06-18T15:28:45.273,386291660,32899072
2021-06-18T15:28:46.278,391851354,32899072
2021-06-18T15:28:47.283,397315575,32890880
2021-06-18T15:28:48.288,402743222,32899072
2021-06-18T15:28:49.293,408097099,32907264
2021-06-18T15:28:50.298,413513634,32903168
2021-06-18T15:28:51.303,418992160,32903168
2021-06-18T15:28:52.307,424502380,32915456
2021-06-18T15:28:53.312,429877954,32903168
2021-06-18T15:28:54.317,435276871,32821248
2021-06-18T15:28:55.322,440680080,32821248
2021-06-18T15:28:56.327,446169014,32817152
2021-06-18T15:28:57.332,451608110,32825344
2021-06-18T15:28:58.337,457200242,32825344
2021-06-18T15:28:59.342,462769643,32829440
2021-06-18T15:29:00.346,468466679,32854016
2021-06-18T15:29:01.351,473867321,32854016
2021-06-18T15:29:02.356,479407653,32854016
2021-06-18T15:29:03.361,484764029,32829440
2021-06-18T15:29:04.365,490299943,32841728
2021-06-18T15:29:05.370,495706960,32841728
2021-06-18T15:29:06.375,501185401,32862208
2021-06-18T15:29:07.380,506599467,32874496
2021-06-18T15:29:08.385,512171874,32837632
2021-06-18T15:29:09.390,517643342,32882688
2021-06-18T15:29:10.395,523054148,32882688
2021-06-18T15:29:11.401,528715868,32870400
2021-06-18T15:29:12.406,534666302,32878592
2021-06-18T15:29:13.410,540120248,32894976
2021-06-18T15:29:14.415,545642488,32874496
2021-06-18T15:29:15.454,551072156,32808960
2021-06-18T15:29:16.459,557117334,32923648
2021-06-18T15:29:17.464,562576093,32915456
2021-06-18T15:29:18.469,568120124,32919552
2021-06-18T15:29:19.474,573786165,32923648
2021-06-18T15:29:20.478,579178636,32911360
