"Time","CPU","Memory"
2021-06-18T15:29:10.597,86719558,3895296
2021-06-18T15:29:11.607,135158628,8331264
2021-06-18T15:29:12.649,141266222,8232960
2021-06-18T15:29:13.654,147023580,8237056
2021-06-18T15:29:14.679,152662451,8294400
2021-06-18T15:29:15.684,157985965,8310784
2021-06-18T15:29:16.689,163366064,8294400
2021-06-18T15:29:17.694,168817551,8302592
2021-06-18T15:29:18.699,174184445,8310784
2021-06-18T15:29:19.724,179677484,8335360
2021-06-18T15:29:20.728,185366873,8347648
2021-06-18T15:29:21.893,190987447,8355840
2021-06-18T15:29:22.898,196417362,8359936
2021-06-18T15:29:23.966,201796040,8351744
2021-06-18T15:29:24.971,207595065,8417280
2021-06-18T15:29:25.976,213003623,8425472
2021-06-18T15:29:26.981,218517907,8404992
2021-06-18T15:29:27.985,223896670,8400896
2021-06-18T15:29:28.990,229211480,8400896
2021-06-18T15:29:29.995,234621130,8421376
2021-06-18T15:29:30.999,240090398,8413184
2021-06-18T15:29:32.004,245610137,8417280
2021-06-18T15:29:33.009,250907019,8421376
2021-06-18T15:29:34.014,256369183,8413184
2021-06-18T15:29:35.018,261742884,8429568
2021-06-18T15:29:36.024,267079848,8429568
2021-06-18T15:29:37.028,272448993,8433664
2021-06-18T15:29:38.033,277779937,8437760
2021-06-18T15:29:39.049,283370250,8417280
2021-06-18T15:29:40.054,288743508,8417280
2021-06-18T15:29:41.058,294130658,8450048
2021-06-18T15:29:42.063,299498953,8454144
2021-06-18T15:29:43.068,305149472,8437760
2021-06-18T15:29:44.073,310482810,8450048
2021-06-18T15:29:45.077,315907200,8450048
2021-06-18T15:29:46.082,321381729,8433664
2021-06-18T15:29:47.087,326885394,8454144
2021-06-18T15:29:48.092,332399660,8433664
2021-06-18T15:29:49.096,337721666,8433664
2021-06-18T15:29:50.101,343104254,8433664
2021-06-18T15:29:51.106,348522348,8437760
2021-06-18T15:29:52.110,353789214,8450048
2021-06-18T15:29:53.115,359246298,8450048
2021-06-18T15:29:54.120,364602439,8454144
2021-06-18T15:29:55.124,370090994,8470528
2021-06-18T15:29:56.129,375583117,8450048
2021-06-18T15:29:57.134,380882420,8445952
2021-06-18T15:29:58.138,386202588,8454144
2021-06-18T15:29:59.143,1305659178,9199616
2021-06-18T15:30:00.149,2315014497,9326592
2021-06-18T15:30:01.154,3324624940,9310208
2021-06-18T15:30:02.159,4329321169,9420800
2021-06-18T15:30:03.165,5335793119,9273344
2021-06-18T15:30:04.177,6351054066,9375744
2021-06-18T15:30:05.183,7368056705,9322496
2021-06-18T15:30:06.188,8364879872,9310208
2021-06-18T15:30:07.193,9362817099,9195520
2021-06-18T15:30:08.209,10370941387,9306112
2021-06-18T15:30:09.215,11391138249,9183232
2021-06-18T15:30:10.220,12400566858,9306112
2021-06-18T15:30:11.225,13406470531,9306112
2021-06-18T15:30:12.231,14420263120,9306112
2021-06-18T15:30:13.236,15418952914,9183232
2021-06-18T15:30:14.241,16424109857,9322496
2021-06-18T15:30:15.247,17438735880,9437184
2021-06-18T15:30:16.254,18453304867,9437184
2021-06-18T15:30:17.273,19469908421,9424896
2021-06-18T15:30:18.278,20480607014,9179136
2021-06-18T15:30:19.284,21489338695,9322496
2021-06-18T15:30:20.289,22478422981,9342976
2021-06-18T15:30:21.294,23489484309,9322496
2021-06-18T15:30:22.299,24489433558,9433088
2021-06-18T15:30:23.305,25499364196,9437184
2021-06-18T15:30:24.310,26513290779,9318400
2021-06-18T15:30:25.315,27506910373,9322496
2021-06-18T15:30:26.320,28499081290,9224192
2021-06-18T15:30:27.330,29511334383,9261056
2021-06-18T15:30:28.335,30515898633,9330688
2021-06-18T15:30:29.340,31525651339,9342976
2021-06-18T15:30:30.346,32535036942,9326592
2021-06-18T15:30:31.351,33540957711,9216000
2021-06-18T15:30:32.357,34542946085,9236480
2021-06-18T15:30:33.362,35552824486,9203712
2021-06-18T15:30:34.373,36558667599,9306112
2021-06-18T15:30:35.387,37572050610,9183232
2021-06-18T15:30:36.396,38560191209,9183232
