"Time","CPU","Memory"
2021-06-18T15:29:09.900,368849207,39305216
2021-06-18T15:29:10.907,390891974,40202240
2021-06-18T15:29:11.957,397770417,40112128
2021-06-18T15:29:12.962,404288821,40116224
2021-06-18T15:29:13.968,410623661,40116224
2021-06-18T15:29:15.019,417044314,39657472
2021-06-18T15:29:16.031,423921789,39755776
2021-06-18T15:29:17.037,430301086,39759872
2021-06-18T15:29:18.042,436629086,39763968
2021-06-18T15:29:19.048,443136122,39780352
2021-06-18T15:29:20.053,449515136,39784448
2021-06-18T15:29:21.143,456063687,39763968
2021-06-18T15:29:22.162,462925636,39763968
2021-06-18T15:29:23.168,469401390,39772160
2021-06-18T15:29:24.175,475676987,39776256
2021-06-18T15:29:25.190,481865964,39780352
2021-06-18T15:29:26.195,488154124,39800832
2021-06-18T15:29:27.200,494397263,39813120
2021-06-18T15:29:28.205,500523966,39817216
2021-06-18T15:29:29.210,506659258,39813120
2021-06-18T15:29:30.216,512847802,39821312
2021-06-18T15:29:31.221,519087993,39800832
2021-06-18T15:29:32.226,525271587,39780352
2021-06-18T15:29:33.319,531622364,39800832
2021-06-18T15:29:34.325,538052555,39796736
2021-06-18T15:29:35.330,544430089,39829504
2021-06-18T15:29:36.335,550730509,39821312
2021-06-18T15:29:37.340,557033051,39837696
2021-06-18T15:29:38.346,563309861,39837696
2021-06-18T15:29:39.351,569611224,39858176
2021-06-18T15:29:40.356,575951521,39870464
2021-06-18T15:29:41.362,582451349,39858176
2021-06-18T15:29:42.367,588698153,39858176
2021-06-18T15:29:43.372,594952554,39854080
2021-06-18T15:29:44.378,601294410,39870464
2021-06-18T15:29:45.383,607569344,39874560
2021-06-18T15:29:46.388,613833129,39849984
2021-06-18T15:29:47.394,620214453,39874560
2021-06-18T15:29:48.399,626549858,39874560
2021-06-18T15:29:49.404,632875942,39878656
2021-06-18T15:29:50.409,639079680,39874560
2021-06-18T15:29:51.415,645319571,39874560
2021-06-18T15:29:52.420,651700073,39825408
2021-06-18T15:29:53.426,658002088,39845888
2021-06-18T15:29:54.431,664384272,39825408
2021-06-18T15:29:55.436,670668070,39841792
2021-06-18T15:29:56.442,677072098,39841792
2021-06-18T15:29:57.447,683277076,39858176
2021-06-18T15:29:58.464,701342621,40407040
2021-06-18T15:29:59.471,707541702,40407040
2021-06-18T15:30:00.477,716698245,40611840
2021-06-18T15:30:01.483,727027861,40701952
2021-06-18T15:30:02.489,734622702,40697856
2021-06-18T15:30:03.598,744598410,40644608
2021-06-18T15:30:04.604,752607823,40648704
2021-06-18T15:30:05.610,758736769,40648704
2021-06-18T15:30:06.616,768522551,40648704
2021-06-18T15:30:07.622,774487539,40648704
2021-06-18T15:30:08.631,785591651,40669184
2021-06-18T15:30:09.637,791537699,40673280
2021-06-18T15:30:10.643,799572864,40669184
2021-06-18T15:30:11.649,806828062,40673280
2021-06-18T15:30:12.655,815853113,40808448
2021-06-18T15:30:13.665,821777575,40677376
2021-06-18T15:30:14.671,829619115,40673280
2021-06-18T15:30:15.677,837947679,40685568
2021-06-18T15:30:16.683,845489230,40685568
2021-06-18T15:30:17.689,851446657,40681472
2021-06-18T15:30:18.696,869624522,40710144
2021-06-18T15:30:19.706,877812422,40714240
2021-06-18T15:30:20.715,884069560,40718336
2021-06-18T15:30:21.721,891539802,40722432
2021-06-18T15:30:22.727,901561257,40722432
2021-06-18T15:30:23.733,907652493,40738816
2021-06-18T15:30:24.742,915852893,40722432
2021-06-18T15:30:25.748,923109505,40722432
2021-06-18T15:30:26.754,929221354,40718336
2021-06-18T15:30:27.760,939845420,40722432
2021-06-18T15:30:28.766,945896732,40714240
2021-06-18T15:30:29.772,953397711,40722432
2021-06-18T15:30:30.779,959501585,40718336
2021-06-18T15:30:31.785,966257755,40718336
2021-06-18T15:30:32.791,973560639,40718336
2021-06-18T15:30:33.797,981176486,40738816
2021-06-18T15:30:34.805,988603683,40775680
2021-06-18T15:30:35.811,994633432,40755200
