"Time","CPU","Memory"
2021-06-18T15:34:04.390,179610350,16699392
2021-06-18T15:34:05.602,300390210,30662656
2021-06-18T15:34:06.694,326021484,32825344
2021-06-18T15:34:07.699,331666058,32878592
2021-06-18T15:34:08.704,337203883,32890880
2021-06-18T15:34:09.708,342706142,32923648
2021-06-18T15:34:10.714,348412802,32915456
2021-06-18T15:34:11.719,353926139,32944128
2021-06-18T15:34:12.724,359275414,32923648
2021-06-18T15:34:13.730,364557571,32935936
2021-06-18T15:34:14.734,369973385,32952320
2021-06-18T15:34:15.739,375646611,32948224
2021-06-18T15:34:16.744,381382006,32935936
2021-06-18T15:34:17.749,386957140,32940032
2021-06-18T15:34:18.754,392539139,32952320
2021-06-18T15:34:19.759,397992315,32952320
2021-06-18T15:34:20.764,403537480,32972800
2021-06-18T15:34:21.769,409094684,32976896
2021-06-18T15:34:22.774,414567288,32960512
2021-06-18T15:34:23.778,420060641,32972800
2021-06-18T15:34:24.783,425568866,32976896
2021-06-18T15:34:25.788,431209022,32960512
2021-06-18T15:34:26.793,436739024,32960512
2021-06-18T15:34:27.799,442534426,32972800
2021-06-18T15:34:28.803,448118854,32976896
2021-06-18T15:34:29.808,453845216,32874496
2021-06-18T15:34:30.813,459318818,32894976
2021-06-18T15:34:32.050,534883421,32927744
2021-06-18T15:34:33.114,652075157,32927744
2021-06-18T15:34:34.219,763379454,32927744
2021-06-18T15:34:35.494,886393934,32923648
2021-06-18T15:34:36.517,994697300,32944128
2021-06-18T15:34:37.829,1109226512,32944128
2021-06-18T15:34:38.922,1229826228,32927744
2021-06-18T15:34:40.098,1340868573,32931840
2021-06-18T15:34:41.294,1459233201,32956416
2021-06-18T15:34:42.426,1573735495,32940032
2021-06-18T15:34:43.634,1681869135,32952320
2021-06-18T15:34:44.734,1801728355,32956416
2021-06-18T15:34:45.989,1918566400,32952320
2021-06-18T15:34:47.114,2032879100,32964608
2021-06-18T15:34:48.322,2157474317,32972800
2021-06-18T15:34:49.422,2268520172,33005568
2021-06-18T15:34:50.607,2387362938,32972800
2021-06-18T15:34:51.753,2498870691,32968704
2021-06-18T15:34:52.898,2612147661,33009664
2021-06-18T15:34:54.137,2733363233,33013760
2021-06-18T15:34:55.302,2855235398,32993280
2021-06-18T15:34:56.498,2971164827,33001472
2021-06-18T15:34:57.898,3099676435,32956416
2021-06-18T15:34:59.093,3231940539,33001472
2021-06-18T15:35:00.206,3342068642,33009664
2021-06-18T15:35:01.323,3457845104,33013760
2021-06-18T15:35:02.498,3568933060,33013760
2021-06-18T15:35:03.606,3684323832,33009664
2021-06-18T15:35:04.890,3803011307,33017856
2021-06-18T15:35:06.025,3923340756,33013760
2021-06-18T15:35:07.242,4038724202,33017856
2021-06-18T15:35:08.322,4148927120,33009664
2021-06-18T15:35:09.490,4260783475,33030144
