"Time","CPU","Memory"
2021-06-18T15:34:00.218,80762923,4214784
2021-06-18T15:34:01.224,127717090,8470528
2021-06-18T15:34:02.228,133031131,8384512
2021-06-18T15:34:03.233,138295373,8413184
2021-06-18T15:34:04.238,143527718,8429568
2021-06-18T15:34:05.243,148845086,8450048
2021-06-18T15:34:06.248,154086002,8486912
2021-06-18T15:34:07.252,159427997,8474624
2021-06-18T15:34:08.257,164858793,8495104
2021-06-18T15:34:09.408,170567387,8400896
2021-06-18T15:34:10.414,176012600,8425472
2021-06-18T15:34:11.420,181544908,8421376
2021-06-18T15:34:12.426,186649203,8454144
2021-06-18T15:34:13.433,191777798,8486912
2021-06-18T15:34:14.438,196804301,8482816
2021-06-18T15:34:15.442,202066160,8458240
2021-06-18T15:34:16.447,207725928,8470528
2021-06-18T15:34:17.452,212793501,8454144
2021-06-18T15:34:18.456,218239104,8495104
2021-06-18T15:34:19.461,223696863,8491008
2021-06-18T15:34:20.466,229087283,8486912
2021-06-18T15:34:21.470,234268086,8474624
2021-06-18T15:34:22.475,239591004,8466432
2021-06-18T15:34:23.479,244988459,8491008
2021-06-18T15:34:24.484,250208355,8491008
2021-06-18T15:34:25.489,255694933,8503296
2021-06-18T15:34:26.494,261073596,8503296
2021-06-18T15:34:27.498,266395839,8486912
2021-06-18T15:34:28.503,271721053,8507392
2021-06-18T15:34:29.508,277082088,8491008
2021-06-18T15:34:30.512,282358909,8495104
2021-06-18T15:34:31.519,545594965,9072640
2021-06-18T15:34:32.542,1497513505,9166848
2021-06-18T15:34:33.558,2441432010,9158656
2021-06-18T15:34:34.574,3404090051,9166848
2021-06-18T15:34:35.587,4346381000,9043968
2021-06-18T15:34:36.601,5319445742,9154560
2021-06-18T15:34:37.622,6283868364,9043968
2021-06-18T15:34:38.646,7220497762,9166848
2021-06-18T15:34:39.658,8162745343,9117696
2021-06-18T15:34:40.674,9113117715,9187328
2021-06-18T15:34:41.686,10080836744,9166848
2021-06-18T15:34:42.705,11029995622,9039872
2021-06-18T15:34:43.725,11964307749,9039872
2021-06-18T15:34:44.750,12923027484,9072640
2021-06-18T15:34:45.763,13902308046,9093120
2021-06-18T15:34:46.782,14873319756,9211904
2021-06-18T15:34:47.798,15812363926,9093120
2021-06-18T15:34:48.811,16770199242,9093120
2021-06-18T15:34:49.827,17740860799,9216000
2021-06-18T15:34:50.836,18710142075,9216000
2021-06-18T15:34:51.858,19646997425,9109504
2021-06-18T15:34:52.863,20611042931,9211904
2021-06-18T15:34:53.890,21558251781,9089024
2021-06-18T15:34:54.905,22541638980,9236480
2021-06-18T15:34:55.930,23514480168,9203712
2021-06-18T15:34:56.946,24485274558,9170944
2021-06-18T15:34:57.965,25429940394,9072640
2021-06-18T15:34:58.994,26402471721,9322496
2021-06-18T15:35:00.000,27344891391,9089024
2021-06-18T15:35:01.017,28297108308,9228288
2021-06-18T15:35:02.027,29260140880,9211904
2021-06-18T15:35:03.054,30233639850,9228288
2021-06-18T15:35:04.082,31201537675,9097216
2021-06-18T15:35:05.094,32165185749,9322496
2021-06-18T15:35:06.126,33123470066,9076736
2021-06-18T15:35:07.136,34100524240,9195520
2021-06-18T15:35:08.150,35058898502,9203712
2021-06-18T15:35:09.166,36047172884,9199616
2021-06-18T15:35:10.179,36973318439,9199616
2021-06-18T15:35:11.202,37926644968,9080832
