"Time","CPU","Memory"
2021-06-18T15:34:02.292,359037348,39157760
2021-06-18T15:34:03.298,389686085,40472576
2021-06-18T15:34:04.303,395963864,40390656
2021-06-18T15:34:05.308,402123715,40394752
2021-06-18T15:34:06.313,408207417,40398848
2021-06-18T15:34:07.318,414353374,40402944
2021-06-18T15:34:08.324,420591196,40427520
2021-06-18T15:34:09.410,427147617,40407040
2021-06-18T15:34:10.415,433476898,40427520
2021-06-18T15:34:11.425,439496028,40448000
2021-06-18T15:34:12.434,445294154,40443904
2021-06-18T15:34:13.440,451170399,40439808
2021-06-18T15:34:14.445,456965846,40452096
2021-06-18T15:34:15.450,463003383,40452096
2021-06-18T15:34:16.455,469009160,40472576
2021-06-18T15:34:17.460,474992149,40488960
2021-06-18T15:34:18.465,481054652,40456192
2021-06-18T15:34:19.470,487109369,40472576
2021-06-18T15:34:20.475,493268609,40484864
2021-06-18T15:34:21.480,499278710,40484864
2021-06-18T15:34:22.485,505241067,40472576
2021-06-18T15:34:23.490,511268082,40488960
2021-06-18T15:34:24.495,517310621,40488960
2021-06-18T15:34:25.500,523387396,40472576
2021-06-18T15:34:26.505,529446890,40484864
2021-06-18T15:34:27.510,535490383,40501248
2021-06-18T15:34:28.515,541582776,40497152
2021-06-18T15:34:29.520,547716950,40521728
2021-06-18T15:34:30.525,553817658,40534016
2021-06-18T15:34:31.542,571946652,41091072
2021-06-18T15:34:32.570,578195156,41086976
2021-06-18T15:34:33.590,587822272,41283584
2021-06-18T15:34:34.617,593689860,41254912
2021-06-18T15:34:35.634,600898550,41279488
2021-06-18T15:34:36.654,607977597,41275392
2021-06-18T15:34:37.678,613925058,41279488
2021-06-18T15:34:38.700,625819693,41283584
2021-06-18T15:34:39.726,635446222,41312256
2021-06-18T15:34:40.758,642056471,41213952
2021-06-18T15:34:41.779,649337173,41234432
2021-06-18T15:34:42.797,655705491,41259008
2021-06-18T15:34:43.814,665804819,41267200
2021-06-18T15:34:44.837,671740355,41246720
2021-06-18T15:34:45.866,679635650,41250816
2021-06-18T15:34:46.897,688093321,41209856
2021-06-18T15:34:47.914,694286649,41193472
2021-06-18T15:34:48.938,702479718,41234432
2021-06-18T15:34:49.953,708448585,41234432
2021-06-18T15:34:50.974,715563435,41234432
2021-06-18T15:34:51.998,722736553,41213952
2021-06-18T15:34:53.030,729166042,41218048
2021-06-18T15:34:54.053,737262671,41234432
2021-06-18T15:34:55.073,744387464,41242624
2021-06-18T15:34:56.106,750253225,41254912
2021-06-18T15:34:57.126,757728089,41242624
2021-06-18T15:34:58.140,765755900,41254912
2021-06-18T15:34:59.153,771613508,41238528
2021-06-18T15:35:00.174,780473990,41254912
2021-06-18T15:35:01.194,788205830,41291776
2021-06-18T15:35:02.226,796476322,41295872
2021-06-18T15:35:03.251,802657993,41299968
2021-06-18T15:35:04.284,810969236,41291776
2021-06-18T15:35:05.305,818702377,41295872
2021-06-18T15:35:06.330,826047358,41283584
2021-06-18T15:35:07.349,844990051,41283584
2021-06-18T15:35:08.377,850963497,41287680
2021-06-18T15:35:09.398,858001550,41299968
2021-06-18T15:35:10.418,865766426,41320448
2021-06-18T15:35:11.455,875198845,41287680
