"Time","CPU","Memory"
2021-06-18T15:37:10.290,188563196,17666048
2021-06-18T15:37:11.494,306184364,31662080
2021-06-18T15:37:12.593,326716532,32641024
2021-06-18T15:37:13.598,332193376,32649216
2021-06-18T15:37:14.603,337624120,32653312
2021-06-18T15:37:15.608,342996337,32665600
2021-06-18T15:37:16.613,348486577,32657408
2021-06-18T15:37:17.618,354246329,32653312
2021-06-18T15:37:18.623,359674519,32677888
2021-06-18T15:37:19.628,365128737,32673792
2021-06-18T15:37:20.633,370709234,32694272
2021-06-18T15:37:21.637,376178274,32677888
2021-06-18T15:37:22.642,381840936,32681984
2021-06-18T15:37:23.647,387704925,32681984
2021-06-18T15:37:24.652,393103035,32698368
2021-06-18T15:37:25.657,398520680,32702464
2021-06-18T15:37:26.661,403978745,32747520
2021-06-18T15:37:27.666,409539408,32772096
2021-06-18T15:37:28.671,414875951,32800768
2021-06-18T15:37:29.676,420263577,32804864
2021-06-18T15:37:30.681,425861201,32788480
2021-06-18T15:37:31.686,431406333,32784384
2021-06-18T15:37:32.691,436956946,32788480
2021-06-18T15:37:33.696,442455104,32792576
2021-06-18T15:37:34.701,448030534,32702464
2021-06-18T15:37:35.705,453393904,32710656
2021-06-18T15:37:36.710,458873283,32722944
2021-06-18T15:37:37.714,464244790,32722944
2021-06-18T15:37:38.719,469633333,32706560
2021-06-18T15:37:39.724,475097045,32731136
2021-06-18T15:37:40.729,480725251,32743424
2021-06-18T15:37:41.734,486176740,32714752
2021-06-18T15:37:42.739,491770633,32722944
2021-06-18T15:37:43.743,497153866,32747520
2021-06-18T15:37:44.748,502601456,32755712
2021-06-18T15:37:45.753,508160650,32743424
2021-06-18T15:37:46.758,513774310,32755712
2021-06-18T15:37:47.763,519099030,32759808
2021-06-18T15:37:48.768,524560656,32759808
2021-06-18T15:37:49.772,530004912,32772096
2021-06-18T15:37:50.777,535557418,32755712
2021-06-18T15:37:51.782,540906198,32772096
2021-06-18T15:37:52.787,546502290,32755712
2021-06-18T15:37:53.792,551888850,32755712
2021-06-18T15:37:54.797,557467772,32768000
2021-06-18T15:37:55.802,562965253,32772096
2021-06-18T15:37:56.807,568434092,32776192
2021-06-18T15:37:57.811,573753519,32784384
2021-06-18T15:37:58.990,593971290,32903168
2021-06-18T15:38:00.193,719140789,32919552
2021-06-18T15:38:01.391,840306059,32923648
2021-06-18T15:38:02.596,962612225,32919552
2021-06-18T15:38:03.791,1091830721,32919552
2021-06-18T15:38:05.199,1230631537,32792576
2021-06-18T15:38:06.593,1360783347,32759808
2021-06-18T15:38:07.798,1482860640,32813056
2021-06-18T15:38:08.998,1605239333,32813056
2021-06-18T15:38:10.198,1724581854,32804864
2021-06-18T15:38:11.491,1851119045,32800768
2021-06-18T15:38:12.691,1972987503,32800768
2021-06-18T15:38:13.798,2091688266,32804864
2021-06-18T15:38:14.990,2199804946,32817152
2021-06-18T15:38:16.190,2320697884,32817152
2021-06-18T15:38:17.294,2443237269,32817152
2021-06-18T15:38:18.394,2544691643,32817152
2021-06-18T15:38:19.594,2663471046,32833536
2021-06-18T15:38:20.794,2782730273,32849920
2021-06-18T15:38:21.996,2902988361,32833536
2021-06-18T15:38:23.194,3025188975,32817152
2021-06-18T15:38:24.396,3143256173,32808960
2021-06-18T15:38:25.594,3264023565,32825344
2021-06-18T15:38:26.891,3391448561,32800768
2021-06-18T15:38:27.994,3506269237,32804864
2021-06-18T15:38:29.199,3630019502,32808960
2021-06-18T15:38:30.397,3746502307,32804864
2021-06-18T15:38:31.692,3871952362,32804864
2021-06-18T15:38:32.991,4001628727,32813056
2021-06-18T15:38:34.191,4121365601,32808960
2021-06-18T15:38:35.425,4241262897,32804864
