"Time","CPU","Memory"
2021-06-18T15:37:06.654,81417581,3850240
2021-06-18T15:37:07.659,127819636,8339456
2021-06-18T15:37:08.663,133295750,8257536
2021-06-18T15:37:09.668,138665802,8290304
2021-06-18T15:37:10.673,143963634,8269824
2021-06-18T15:37:11.677,149341684,8286208
2021-06-18T15:37:12.682,154752681,8273920
2021-06-18T15:37:13.687,160144696,8294400
2021-06-18T15:37:14.691,165557402,8318976
2021-06-18T15:37:15.696,170908566,8323072
2021-06-18T15:37:16.701,176303151,8339456
2021-06-18T15:37:17.707,181785834,8323072
2021-06-18T15:37:18.712,187216652,8331264
2021-06-18T15:37:19.717,192604860,8347648
2021-06-18T15:37:20.722,197897892,8327168
2021-06-18T15:37:21.726,203288037,8343552
2021-06-18T15:37:22.731,208756977,8359936
2021-06-18T15:37:23.736,214076716,8339456
2021-06-18T15:37:24.740,219428444,8359936
2021-06-18T15:37:25.745,224757469,8339456
2021-06-18T15:37:26.750,230288665,8355840
2021-06-18T15:37:27.755,235763167,8359936
2021-06-18T15:37:28.760,241445813,8347648
2021-06-18T15:37:29.765,246788006,8343552
2021-06-18T15:37:30.769,252193721,8343552
2021-06-18T15:37:31.774,257527853,8343552
2021-06-18T15:37:32.779,262917006,8355840
2021-06-18T15:37:33.783,268349327,8376320
2021-06-18T15:37:34.788,273660220,8388608
2021-06-18T15:37:35.793,278923680,8380416
2021-06-18T15:37:36.797,284207813,8376320
2021-06-18T15:37:37.802,289526940,8380416
2021-06-18T15:37:38.807,294904714,8376320
2021-06-18T15:37:39.811,300404890,8347648
2021-06-18T15:37:40.816,305876289,8343552
2021-06-18T15:37:41.821,311500087,8359936
2021-06-18T15:37:42.826,316991429,8347648
2021-06-18T15:37:43.830,322360051,8364032
2021-06-18T15:37:44.835,327782926,8376320
2021-06-18T15:37:45.840,333097528,8380416
2021-06-18T15:37:46.844,338424829,8359936
2021-06-18T15:37:47.849,343684380,8355840
2021-06-18T15:37:48.854,348927050,8359936
2021-06-18T15:37:49.859,354437627,8380416
2021-06-18T15:37:50.875,359816291,8359936
2021-06-18T15:37:51.880,365310907,8364032
2021-06-18T15:37:52.884,370695441,8351744
2021-06-18T15:37:53.889,376112065,8372224
2021-06-18T15:37:54.894,381638861,8347648
2021-06-18T15:37:55.899,387073535,8359936
2021-06-18T15:37:56.903,392645042,8347648
2021-06-18T15:37:57.908,398024937,8351744
2021-06-18T15:37:58.913,611124583,8941568
2021-06-18T15:37:59.918,1616751212,8978432
2021-06-18T15:38:00.923,2630608875,8982528
2021-06-18T15:38:01.928,3639923707,8986624
2021-06-18T15:38:02.934,4644346114,9084928
2021-06-18T15:38:03.939,5652437520,8957952
2021-06-18T15:38:04.944,6661262660,9060352
2021-06-18T15:38:05.950,7669790213,9080832
2021-06-18T15:38:06.956,8675027331,8957952
2021-06-18T15:38:07.961,9683007151,9076736
2021-06-18T15:38:08.966,10689005327,9089024
2021-06-18T15:38:09.971,11702714666,9101312
2021-06-18T15:38:10.977,12701277585,9211904
2021-06-18T15:38:11.982,13704709917,9068544
2021-06-18T15:38:12.987,14709338439,9089024
2021-06-18T15:38:13.995,15717519766,8970240
2021-06-18T15:38:14.999,16717867739,9068544
2021-06-18T15:38:16.005,17720828736,8945664
2021-06-18T15:38:17.010,18722498076,9080832
2021-06-18T15:38:18.015,19723649548,8962048
2021-06-18T15:38:19.020,20737159710,9084928
2021-06-18T15:38:20.025,21730651838,9084928
2021-06-18T15:38:21.030,22730980093,9089024
2021-06-18T15:38:22.036,23739615183,9089024
2021-06-18T15:38:23.041,24740535284,9060352
2021-06-18T15:38:24.046,25745486800,8957952
2021-06-18T15:38:25.051,26759188346,8966144
2021-06-18T15:38:26.057,27768968593,9224192
2021-06-18T15:38:27.062,28774434661,9097216
2021-06-18T15:38:28.067,29783566914,9080832
2021-06-18T15:38:29.072,30784858240,9211904
2021-06-18T15:38:30.078,31789363699,9216000
2021-06-18T15:38:31.083,32798297816,9080832
2021-06-18T15:38:32.088,33802070188,9072640
2021-06-18T15:38:33.098,34809751832,8962048
2021-06-18T15:38:34.114,35814135720,9211904
2021-06-18T15:38:35.119,36819873395,9207808
2021-06-18T15:38:36.124,37827489077,8978432
