"Time","CPU","Memory"
2021-06-18T13:10:50.794,188624307,18051072
2021-06-18T13:10:51.893,305430209,31641600
2021-06-18T13:10:52.994,325513172,32718848
2021-06-18T13:10:53.999,331228424,32727040
2021-06-18T13:10:55.004,336642430,32710656
2021-06-18T13:10:56.009,342385462,32731136
2021-06-18T13:10:57.014,347779558,32743424
2021-06-18T13:10:58.018,353335444,32731136
2021-06-18T13:10:59.023,358936244,32718848
2021-06-18T13:11:00.029,364264917,32747520
2021-06-18T13:11:01.034,369709946,32743424
2021-06-18T13:11:02.038,375234625,32747520
2021-06-18T13:11:03.043,380617538,32776192
2021-06-18T13:11:04.048,386079983,32768000
2021-06-18T13:11:05.053,391674987,32780288
2021-06-18T13:11:06.058,397101473,32759808
2021-06-18T13:11:07.063,402667132,32759808
2021-06-18T13:11:08.068,408199892,32772096
2021-06-18T13:11:09.072,413771458,32763904
2021-06-18T13:11:10.077,419272583,32759808
2021-06-18T13:11:11.082,424709339,32739328
2021-06-18T13:11:12.087,430237264,32759808
2021-06-18T13:11:13.092,435819371,32755712
2021-06-18T13:11:14.096,441385322,32739328
2021-06-18T13:11:15.101,446805186,32743424
2021-06-18T13:11:16.106,452157805,32743424
2021-06-18T13:11:17.111,461129962,32768000
2021-06-18T13:11:18.116,472970145,32747520
2021-06-18T13:11:19.127,484839207,32763904
2021-06-18T13:11:20.133,496570297,32768000
2021-06-18T13:11:21.138,508372076,32784384
2021-06-18T13:11:22.145,521171458,32763904
2021-06-18T13:11:23.151,531815478,32768000
2021-06-18T13:11:24.156,543608160,32743424
2021-06-18T13:11:25.162,555073830,32755712
2021-06-18T13:11:26.167,565595418,32759808
2021-06-18T13:11:27.172,578743588,32759808
2021-06-18T13:11:28.178,590404783,32780288
2021-06-18T13:11:29.184,602846203,32780288
2021-06-18T13:11:30.189,613992031,32759808
2021-06-18T13:11:31.195,625921409,32800768
2021-06-18T13:11:32.201,637143744,32768000
2021-06-18T13:11:33.207,649666599,32772096
2021-06-18T13:11:34.214,660778876,32772096
2021-06-18T13:11:35.219,673162954,32768000
2021-06-18T13:11:36.224,684302470,32772096
2021-06-18T13:11:37.230,696066839,32792576
2021-06-18T13:11:38.238,707590166,32792576
2021-06-18T13:11:39.261,719927654,32800768
2021-06-18T13:11:40.265,732290124,32800768
2021-06-18T13:11:41.270,743293945,32800768
2021-06-18T13:11:42.275,753603222,32800768
2021-06-18T13:11:43.280,764886544,32800768
2021-06-18T13:11:44.285,775549415,32743424
2021-06-18T13:11:45.290,788960931,32763904
2021-06-18T13:11:46.295,800123681,32759808
2021-06-18T13:11:47.299,813136353,32755712
2021-06-18T13:11:48.305,825323681,32776192
2021-06-18T13:11:49.319,836357087,32755712
2021-06-18T13:11:50.325,846921076,32780288
2021-06-18T13:11:51.330,857817525,32788480
2021-06-18T13:11:52.335,868719158,32772096
