"Time","CPU","Memory"
2021-06-18T13:10:47.356,82886665,3837952
2021-06-18T13:10:48.377,128157536,8294400
2021-06-18T13:10:49.381,133469385,8306688
2021-06-18T13:10:50.386,138703729,8318976
2021-06-18T13:10:51.391,143989661,8327168
2021-06-18T13:10:52.400,149322456,8314880
2021-06-18T13:10:53.404,154631410,8335360
2021-06-18T13:10:54.409,159917702,8269824
2021-06-18T13:10:55.414,165227284,8290304
2021-06-18T13:10:56.418,170493734,8294400
2021-06-18T13:10:57.423,175642414,8306688
2021-06-18T13:10:58.677,181236027,8302592
2021-06-18T13:10:59.682,186655395,8306688
2021-06-18T13:11:00.686,192033068,8327168
2021-06-18T13:11:01.691,197186567,8306688
2021-06-18T13:11:02.695,202467041,8310784
2021-06-18T13:11:03.700,208029280,8314880
2021-06-18T13:11:04.705,213432383,8327168
2021-06-18T13:11:05.711,218887441,8335360
2021-06-18T13:11:06.716,224026774,8347648
2021-06-18T13:11:07.720,229288240,8355840
2021-06-18T13:11:08.725,234563984,8372224
2021-06-18T13:11:09.730,239705823,8388608
2021-06-18T13:11:10.734,245001631,8384512
2021-06-18T13:11:11.739,250518579,8368128
2021-06-18T13:11:12.744,255854708,8384512
2021-06-18T13:11:13.749,261192673,8372224
2021-06-18T13:11:14.753,266489155,8388608
2021-06-18T13:11:15.758,271612660,8388608
2021-06-18T13:11:16.791,443940186,8925184
2021-06-18T13:11:17.796,1151521000,9072640
2021-06-18T13:11:18.802,1853477730,9162752
2021-06-18T13:11:19.807,2564436467,9039872
2021-06-18T13:11:20.813,3267057415,9191424
2021-06-18T13:11:21.818,3972432323,9031680
2021-06-18T13:11:22.823,4676173383,9146368
2021-06-18T13:11:23.828,5382775335,9080832
2021-06-18T13:11:24.833,6086974429,9195520
2021-06-18T13:11:25.838,6788590208,9068544
2021-06-18T13:11:26.843,7497435883,9129984
2021-06-18T13:11:27.849,8202384594,9146368
2021-06-18T13:11:28.890,8906991957,9191424
2021-06-18T13:11:29.902,9625517995,9179136
2021-06-18T13:11:30.908,10329989861,9154560
2021-06-18T13:11:31.913,11033343370,9170944
2021-06-18T13:11:32.919,11740338947,9076736
2021-06-18T13:11:33.925,12447088459,9162752
2021-06-18T13:11:34.930,13152198687,9023488
2021-06-18T13:11:35.936,13860219298,8925184
2021-06-18T13:11:36.942,14564498357,9146368
2021-06-18T13:11:37.947,15265389175,9142272
2021-06-18T13:11:38.952,15973362853,9035776
2021-06-18T13:11:39.995,16680149190,8925184
2021-06-18T13:11:41.000,17393192667,9003008
2021-06-18T13:11:42.005,18098138604,9121792
2021-06-18T13:11:43.010,18803168756,9031680
2021-06-18T13:11:44.015,19507710627,9056256
2021-06-18T13:11:45.020,20214075584,9031680
2021-06-18T13:11:46.025,20916880376,9175040
2021-06-18T13:11:47.030,21623029146,9138176
2021-06-18T13:11:48.036,22329429179,9035776
2021-06-18T13:11:49.041,23035303517,9162752
2021-06-18T13:11:50.046,23736221909,9117696
2021-06-18T13:11:51.051,24441761055,9154560
2021-06-18T13:11:52.056,25150819705,9101312
2021-06-18T13:11:53.093,25856580967,8908800
