"Time","CPU","Memory"
2021-06-18T13:10:48.057,379231645,40136704
2021-06-18T13:10:49.062,385648442,40325120
2021-06-18T13:10:50.067,391885874,40214528
2021-06-18T13:10:51.073,397992043,40222720
2021-06-18T13:10:52.078,404100896,40243200
2021-06-18T13:10:53.083,410315373,40251392
2021-06-18T13:10:54.089,416545124,40239104
2021-06-18T13:10:55.094,422623047,40243200
2021-06-18T13:10:56.099,428836937,40251392
2021-06-18T13:10:57.104,434906970,40251392
2021-06-18T13:10:58.108,441011792,40267776
2021-06-18T13:10:59.115,447053375,40243200
2021-06-18T13:11:00.121,453708072,40255488
2021-06-18T13:11:01.126,459834381,40288256
2021-06-18T13:11:02.131,465959611,40304640
2021-06-18T13:11:03.137,472176963,40325120
2021-06-18T13:11:04.142,478340354,40345600
2021-06-18T13:11:05.147,484464129,40329216
2021-06-18T13:11:06.152,490703590,40341504
2021-06-18T13:11:07.157,496954728,40345600
2021-06-18T13:11:08.162,503237388,40329216
2021-06-18T13:11:09.167,509410072,40329216
2021-06-18T13:11:10.183,515391316,40325120
2021-06-18T13:11:11.188,521665850,40345600
2021-06-18T13:11:12.193,527807531,40353792
2021-06-18T13:11:13.198,533966998,40353792
2021-06-18T13:11:14.203,540235896,40361984
2021-06-18T13:11:15.208,546286339,40361984
2021-06-18T13:11:16.214,552489230,40349696
2021-06-18T13:11:17.219,579103290,41152512
2021-06-18T13:11:18.225,594588651,41172992
2021-06-18T13:11:19.232,612687452,41160704
2021-06-18T13:11:20.238,638172725,41177088
2021-06-18T13:11:21.244,658369572,41197568
2021-06-18T13:11:22.250,678619558,41181184
2021-06-18T13:11:23.256,694627798,41181184
2021-06-18T13:11:24.262,715852888,41181184
2021-06-18T13:11:25.267,736239174,41189376
2021-06-18T13:11:26.272,751563137,41181184
2021-06-18T13:11:27.277,769173274,41205760
2021-06-18T13:11:28.283,784148130,41107456
2021-06-18T13:11:29.288,799455496,41115648
2021-06-18T13:11:30.301,819591513,41115648
2021-06-18T13:11:31.307,836266067,41115648
2021-06-18T13:11:32.313,853984174,41115648
2021-06-18T13:11:33.324,873520045,41111552
2021-06-18T13:11:34.330,890171364,41148416
2021-06-18T13:11:35.336,906262346,41148416
2021-06-18T13:11:36.342,923725880,41144320
2021-06-18T13:11:37.348,941325158,41152512
2021-06-18T13:11:38.354,957585639,41144320
2021-06-18T13:11:39.360,974819968,41152512
2021-06-18T13:11:40.365,995895345,41197568
2021-06-18T13:11:41.370,1010164669,41160704
2021-06-18T13:11:42.375,1027275378,41160704
2021-06-18T13:11:43.380,1047844398,41177088
2021-06-18T13:11:44.386,1064870139,41172992
2021-06-18T13:11:45.391,1082579355,41189376
2021-06-18T13:11:46.399,1103811824,41168896
2021-06-18T13:11:47.410,1123629279,41168896
2021-06-18T13:11:48.416,1143929057,41152512
2021-06-18T13:11:49.425,1160201291,41164800
2021-06-18T13:11:50.445,1174850942,41185280
2021-06-18T13:11:51.451,1204590039,41168896
2021-06-18T13:11:52.458,1224237645,41193472
2021-06-18T13:11:53.464,1245747944,41185280
