"Time","CPU","Memory"
2021-06-18T15:39:27.524,1061358508,9101312
2021-06-18T15:39:28.529,2247375848,42233856
2021-06-18T15:39:29.534,2946081988,42328064
2021-06-18T15:39:30.539,2951916956,42176512
2021-06-18T15:39:31.544,2957410328,42225664
2021-06-18T15:39:32.549,2963146800,42246144
2021-06-18T15:39:33.553,2969086492,42229760
2021-06-18T15:39:34.558,2975149479,42229760
2021-06-18T15:39:35.563,2980818304,42250240
2021-06-18T15:39:36.567,2986435111,42242048
2021-06-18T15:39:37.572,2992263679,42242048
2021-06-18T15:39:38.577,2998064440,42266624
2021-06-18T15:39:39.582,3003731851,42270720
2021-06-18T15:39:40.587,3009808627,42270720
2021-06-18T15:39:41.591,3015719843,42278912
2021-06-18T15:39:42.596,3021362534,42291200
2021-06-18T15:39:43.608,3027370350,42311680
2021-06-18T15:39:44.613,3033139697,42299392
2021-06-18T15:39:45.618,3039458537,42479616
2021-06-18T15:39:46.623,3045119405,42360832
2021-06-18T15:39:47.627,3050847074,42360832
2021-06-18T15:39:48.642,3056545182,42348544
2021-06-18T15:39:49.646,3062379095,42377216
2021-06-18T15:39:50.651,3067895288,42373120
2021-06-18T15:39:51.659,3095609624,43249664
2021-06-18T15:39:52.665,4133383373,43450368
2021-06-18T15:39:53.670,5176795913,43892736
2021-06-18T15:39:54.675,6213783532,44122112
2021-06-18T15:39:55.681,7245045069,44269568
2021-06-18T15:39:56.686,8282037510,44593152
2021-06-18T15:39:57.691,9322954944,44859392
2021-06-18T15:39:58.696,10347890531,45084672
2021-06-18T15:39:59.710,11387883041,45400064
2021-06-18T15:40:00.715,12432344029,45555712
2021-06-18T15:40:01.722,13476074361,45858816
2021-06-18T15:40:02.728,14519616814,46133248
2021-06-18T15:40:03.733,15559422929,46366720
2021-06-18T15:40:04.738,16598914426,46743552
2021-06-18T15:40:05.744,17643132973,46870528
2021-06-18T15:40:06.750,18682369261,47276032
2021-06-18T15:40:07.756,19729433010,47525888
2021-06-18T15:40:08.761,20761284284,47648768
2021-06-18T15:40:09.766,21788440528,47931392
2021-06-18T15:40:10.772,22835966201,48373760
2021-06-18T15:40:11.777,23869552409,48472064
2021-06-18T15:40:12.782,24909812576,48852992
2021-06-18T15:40:13.788,25940861677,49123328
2021-06-18T15:40:14.794,26976920331,49373184
2021-06-18T15:40:15.800,28019983504,49729536
2021-06-18T15:40:16.805,29063835156,50003968
2021-06-18T15:40:17.810,30091591415,50028544
2021-06-18T15:40:18.817,31132545342,50466816
2021-06-18T15:40:19.823,32166938476,50651136
2021-06-18T15:40:20.828,33207717838,50855936
2021-06-18T15:40:21.834,34238287039,51187712
2021-06-18T15:40:22.839,35274219099,51445760
2021-06-18T15:40:23.844,36302252155,51609600
2021-06-18T15:40:24.850,37341389361,51974144
2021-06-18T15:40:25.860,38343371229,52273152
2021-06-18T15:40:26.866,39278957255,52568064
2021-06-18T15:40:27.871,40315520949,52875264
2021-06-18T15:40:28.877,41347409465,52965376
2021-06-18T15:40:29.886,42383713030,52948992
