"Time","CPU","Memory"
2021-06-18T15:51:32.324,127784623,8323072
2021-06-18T15:51:33.329,133284547,8355840
2021-06-18T15:51:34.334,138722527,8261632
2021-06-18T15:51:35.339,144016337,8282112
2021-06-18T15:51:36.343,149304103,8302592
2021-06-18T15:51:37.348,154627243,8318976
2021-06-18T15:51:38.352,160007458,8257536
2021-06-18T15:51:39.357,165360636,8261632
2021-06-18T15:51:40.362,170698310,8278016
2021-06-18T15:51:41.366,175937389,8286208
2021-06-18T15:51:42.371,181178686,8290304
2021-06-18T15:51:43.375,186379603,8298496
2021-06-18T15:51:44.380,191651298,8327168
2021-06-18T15:51:45.385,196967867,8355840
2021-06-18T15:51:46.389,202346158,8290304
2021-06-18T15:51:47.394,207837240,8290304
2021-06-18T15:51:48.399,213165245,8290304
2021-06-18T15:51:49.403,218601687,8282112
2021-06-18T15:51:50.408,224023257,8273920
2021-06-18T15:51:51.413,229325714,8273920
2021-06-18T15:51:52.417,234678352,8278016
2021-06-18T15:51:53.422,239925106,8314880
2021-06-18T15:51:54.427,245262549,8290304
2021-06-18T15:51:55.431,250598327,8273920
2021-06-18T15:51:56.436,255995050,8278016
2021-06-18T15:51:57.441,261253666,8278016
2021-06-18T15:51:58.445,803586650,8888320
2021-06-18T15:51:59.451,1807546709,9019392
2021-06-18T15:52:00.456,2814535801,9179136
2021-06-18T15:52:01.461,3818405820,9048064
2021-06-18T15:52:02.466,4817346280,9170944
2021-06-18T15:52:03.471,5815709370,9158656
2021-06-18T15:52:04.476,6819262076,9125888
2021-06-18T15:52:05.482,7822143436,9072640
2021-06-18T15:52:06.487,8828137356,9113600
2021-06-18T15:52:07.492,9826294013,9166848
2021-06-18T15:52:08.498,10831270717,9003008
2021-06-18T15:52:09.503,11834435679,9043968
2021-06-18T15:52:10.508,12840980402,9101312
2021-06-18T15:52:11.513,13844148313,9134080
2021-06-18T15:52:12.518,14848371628,9105408
2021-06-18T15:52:13.523,15855387189,9089024
2021-06-18T15:52:14.529,16860900414,8953856
2021-06-18T15:52:15.534,17863585269,9146368
2021-06-18T15:52:16.539,18869682404,9154560
2021-06-18T15:52:17.544,19880120842,9175040
2021-06-18T15:52:18.549,20882200693,9134080
2021-06-18T15:52:19.556,21889427507,9129984
2021-06-18T15:52:20.561,22894369141,9109504
2021-06-18T15:52:21.566,23896759712,9146368
