"Time","CPU","Memory"
2021-06-20T10:12:26.734,96706071,6606848
2021-06-20T10:12:27.739,125259946,8683520
2021-06-20T10:12:28.744,130525153,8589312
2021-06-20T10:12:29.749,135991676,8634368
2021-06-20T10:12:30.753,141383969,8667136
2021-06-20T10:12:31.758,146824936,8663040
2021-06-20T10:12:32.763,152206378,8577024
2021-06-20T10:12:33.767,157600981,8581120
2021-06-20T10:12:34.772,162897663,8601600
2021-06-20T10:12:35.777,168255886,8593408
2021-06-20T10:12:36.781,173809365,8622080
2021-06-20T10:12:37.786,179106431,8613888
2021-06-20T10:12:38.791,184544069,8617984
2021-06-20T10:12:39.798,189680774,8642560
2021-06-20T10:12:40.802,194809032,8650752
2021-06-20T10:12:41.809,200036136,8646656
2021-06-20T10:12:42.814,205401800,8671232
2021-06-20T10:12:43.818,210856387,8671232
2021-06-20T10:12:44.823,216367993,8667136
2021-06-20T10:12:45.828,221687557,8658944
2021-06-20T10:12:46.832,227035627,8663040
2021-06-20T10:12:47.837,232368799,8679424
2021-06-20T10:12:48.842,237739242,8658944
2021-06-20T10:12:49.846,243178405,8679424
2021-06-20T10:12:50.851,248742021,8675328
2021-06-20T10:12:51.856,253902710,8658944
2021-06-20T10:12:52.863,1009090791,9531392
2021-06-20T10:12:53.879,1908468218,9314304
2021-06-20T10:12:54.896,2804835937,9273344
2021-06-20T10:12:55.907,3706056903,9297920
2021-06-20T10:12:56.930,4572753564,9334784
2021-06-20T10:12:57.937,5558389157,9363456
2021-06-20T10:12:58.952,6566163625,9433088
2021-06-20T10:12:59.975,7447546983,9363456
2021-06-20T10:13:00.994,8349077099,9363456
2021-06-20T10:13:02.001,9239592254,9371648
2021-06-20T10:13:03.009,10117124560,9383936
2021-06-20T10:13:04.021,11038829825,9310208
2021-06-20T10:13:05.034,11910794253,9289728
2021-06-20T10:13:06.046,12826393631,9420800
2021-06-20T10:13:07.064,13740805951,9379840
2021-06-20T10:13:08.082,14664101200,9334784
2021-06-20T10:13:09.092,15617497485,9293824
2021-06-20T10:13:10.107,16540490050,9400320
2021-06-20T10:13:11.115,17417615472,9388032
2021-06-20T10:13:12.135,18338512592,9297920
2021-06-20T10:13:13.148,19254007951,9277440
2021-06-20T10:13:14.166,20174200838,9273344
2021-06-20T10:13:15.182,21074895905,9302016
2021-06-20T10:13:16.202,21987982227,9281536
2021-06-20T10:13:17.214,22900075422,9310208
2021-06-20T10:13:18.230,23827102357,9392128
2021-06-20T10:13:19.238,24703631758,9273344
2021-06-20T10:13:20.256,25538051888,9269248
2021-06-20T10:13:21.269,26371589340,9289728
2021-06-20T10:13:22.286,27233211903,9388032
2021-06-20T10:13:23.301,28158682860,9281536
2021-06-20T10:13:24.318,29084668889,9334784
2021-06-20T10:13:25.333,29975307429,9375744
2021-06-20T10:13:26.356,30850444853,9392128
2021-06-20T10:13:27.374,31740656649,9375744
2021-06-20T10:13:28.390,32688446907,9383936
2021-06-20T10:13:29.401,33589411418,9388032
2021-06-20T10:13:30.418,34491385607,9388032
2021-06-20T10:13:31.443,35335417093,9383936
