"Time","CPU","Memory"
2021-06-18T13:18:13.690,183132558,16625664
2021-06-18T13:18:14.898,300088691,30142464
2021-06-18T13:18:15.993,326503579,32636928
2021-06-18T13:18:16.998,331952428,32641024
2021-06-18T13:18:18.003,337378500,32665600
2021-06-18T13:18:19.008,342777168,32673792
2021-06-18T13:18:20.013,348287614,32677888
2021-06-18T13:18:21.017,353637789,32665600
2021-06-18T13:18:22.022,359043708,32665600
2021-06-18T13:18:23.027,364425749,32669696
2021-06-18T13:18:24.032,370017626,32673792
2021-06-18T13:18:25.036,375403476,32686080
2021-06-18T13:18:26.041,380832298,32686080
2021-06-18T13:18:27.046,386178085,32669696
2021-06-18T13:18:28.051,391759375,32702464
2021-06-18T13:18:29.056,397406280,32710656
2021-06-18T13:18:30.061,403001384,32727040
2021-06-18T13:18:31.066,408444408,32710656
2021-06-18T13:18:32.071,414074965,32710656
2021-06-18T13:18:33.076,419465837,32706560
2021-06-18T13:18:34.081,425195489,32710656
2021-06-18T13:18:35.085,430685633,32727040
2021-06-18T13:18:36.090,436065436,32706560
2021-06-18T13:18:37.095,441639625,32722944
2021-06-18T13:18:38.100,446989125,32710656
2021-06-18T13:18:39.105,452616290,32722944
2021-06-18T13:18:40.110,458158937,32743424
2021-06-18T13:18:41.115,463509335,32710656
2021-06-18T13:18:42.120,468997977,32710656
2021-06-18T13:18:43.125,474574909,32706560
2021-06-18T13:18:44.129,480073561,32747520
2021-06-18T13:18:45.134,485486932,32739328
2021-06-18T13:18:46.139,491046750,32735232
2021-06-18T13:18:47.152,496472668,32755712
2021-06-18T13:18:48.157,502167179,32751616
2021-06-18T13:18:49.162,507642375,32739328
2021-06-18T13:18:50.166,513069895,32755712
2021-06-18T13:18:51.171,523694790,32735232
2021-06-18T13:18:52.177,536036104,32747520
2021-06-18T13:18:53.183,548231557,32747520
2021-06-18T13:18:54.188,561809618,32747520
2021-06-18T13:18:55.193,574361121,32743424
2021-06-18T13:18:56.199,586801125,32747520
2021-06-18T13:18:57.211,600676279,32755712
2021-06-18T13:18:58.216,613390637,32747520
2021-06-18T13:18:59.222,625845205,32763904
2021-06-18T13:19:00.229,639781002,32763904
2021-06-18T13:19:01.234,652734597,32768000
2021-06-18T13:19:02.240,665084270,32768000
2021-06-18T13:19:03.245,678589970,32768000
2021-06-18T13:19:04.251,691577627,32763904
2021-06-18T13:19:05.256,704866153,32776192
2021-06-18T13:19:06.262,716510334,32800768
2021-06-18T13:19:07.270,729237000,32763904
2021-06-18T13:19:08.275,740729016,32772096
2021-06-18T13:19:09.280,756011068,32759808
2021-06-18T13:19:10.285,767311199,32763904
2021-06-18T13:19:11.299,779897779,32768000
2021-06-18T13:19:12.304,791582988,32763904
2021-06-18T13:19:13.310,802936695,32763904
2021-06-18T13:19:14.315,814911869,32768000
2021-06-18T13:19:15.320,827374556,32776192
2021-06-18T13:19:16.325,840184311,32768000
2021-06-18T13:19:17.331,852149774,32763904
2021-06-18T13:19:18.336,865020598,32768000
2021-06-18T13:19:19.341,878029188,32763904
2021-06-18T13:19:20.347,890257176,32763904
2021-06-18T13:19:21.352,904523971,32768000
2021-06-18T13:19:22.357,914868222,32768000
2021-06-18T13:19:23.364,927687620,32768000
2021-06-18T13:19:24.369,939109546,32780288
2021-06-18T13:19:25.375,951445258,32780288
2021-06-18T13:19:26.380,963211475,32763904
2021-06-18T13:19:27.404,976030311,32763904
