"Time","CPU","Memory"
2021-06-18T13:18:11.558,83899370,3858432
2021-06-18T13:18:12.566,128787099,8327168
2021-06-18T13:18:13.571,134176944,8245248
2021-06-18T13:18:14.592,139721761,8257536
2021-06-18T13:18:15.597,145017594,8286208
2021-06-18T13:18:16.601,150415906,8269824
2021-06-18T13:18:17.606,156019825,8278016
2021-06-18T13:18:18.611,161331792,8290304
2021-06-18T13:18:19.615,166692794,8257536
2021-06-18T13:18:20.620,172135706,8253440
2021-06-18T13:18:21.626,177555693,8273920
2021-06-18T13:18:22.631,182911121,8282112
2021-06-18T13:18:23.635,188233951,8261632
2021-06-18T13:18:24.642,193595135,8269824
2021-06-18T13:18:25.647,199067253,8282112
2021-06-18T13:18:26.652,204443953,8302592
2021-06-18T13:18:27.657,209812581,8298496
2021-06-18T13:18:28.661,215066795,8286208
2021-06-18T13:18:29.666,220302200,8278016
2021-06-18T13:18:30.671,225906936,8265728
2021-06-18T13:18:31.675,231304769,8273920
2021-06-18T13:18:32.680,236668069,8294400
2021-06-18T13:18:33.685,241943000,8314880
2021-06-18T13:18:34.690,247348978,8286208
2021-06-18T13:18:35.694,252637572,8269824
2021-06-18T13:18:36.699,258143985,8286208
2021-06-18T13:18:37.704,263399489,8286208
2021-06-18T13:18:38.708,268793144,8298496
2021-06-18T13:18:39.713,274170062,8278016
2021-06-18T13:18:40.718,279505101,8269824
2021-06-18T13:18:41.722,284965984,8253440
2021-06-18T13:18:42.729,290266982,8294400
2021-06-18T13:18:43.733,295750201,8278016
2021-06-18T13:18:44.738,301062491,8265728
2021-06-18T13:18:45.743,306643624,8278016
2021-06-18T13:18:46.748,312220944,8282112
2021-06-18T13:18:47.752,317635067,8278016
2021-06-18T13:18:48.757,322925832,8286208
2021-06-18T13:18:49.762,328275045,8298496
2021-06-18T13:18:50.770,408054561,8966144
2021-06-18T13:18:51.777,1407998725,9043968
2021-06-18T13:18:52.782,2305797106,9084928
2021-06-18T13:18:53.787,3301234796,9162752
2021-06-18T13:18:54.793,4301044804,9121792
2021-06-18T13:18:55.799,5301882731,9166848
2021-06-18T13:18:56.804,6301171868,9097216
2021-06-18T13:18:57.809,7195927258,8982528
2021-06-18T13:18:58.814,8192432206,9076736
2021-06-18T13:18:59.820,9195115582,9052160
2021-06-18T13:19:00.825,10194187020,9097216
2021-06-18T13:19:01.830,11186667721,8982528
2021-06-18T13:19:02.835,12190914933,9129984
2021-06-18T13:19:03.841,13192952004,9146368
2021-06-18T13:19:04.846,14187649736,9170944
2021-06-18T13:19:05.851,15177945947,9129984
2021-06-18T13:19:06.856,16078583375,9125888
2021-06-18T13:19:07.862,17084283575,8974336
2021-06-18T13:19:08.867,17987757000,9162752
2021-06-18T13:19:09.873,18879677924,9175040
2021-06-18T13:19:10.878,19781434151,9129984
2021-06-18T13:19:11.883,20780912277,9158656
2021-06-18T13:19:12.894,21687775629,8990720
2021-06-18T13:19:13.904,22696807863,9138176
2021-06-18T13:19:14.909,23692928522,9117696
2021-06-18T13:19:15.918,24586395088,9023488
2021-06-18T13:19:16.923,25592270673,9142272
2021-06-18T13:19:17.929,26583055841,9011200
2021-06-18T13:19:18.937,27578033487,8994816
2021-06-18T13:19:19.942,28567936243,9015296
2021-06-18T13:19:20.948,29568265984,8974336
2021-06-18T13:19:21.953,30469512072,8892416
2021-06-18T13:19:22.958,31464689254,9011200
2021-06-18T13:19:23.963,32370327204,8990720
2021-06-18T13:19:24.968,33369563604,8986624
2021-06-18T13:19:25.974,34370003230,9113600
2021-06-18T13:19:26.979,35364096267,8994816
2021-06-18T13:19:27.984,36339585215,9007104
