"Time","CPU","Memory"
2021-06-18T13:18:11.642,375773480,40161280
2021-06-18T13:18:12.647,382107206,40329216
2021-06-18T13:18:13.652,388320033,40226816
2021-06-18T13:18:14.657,394447992,40218624
2021-06-18T13:18:15.662,400609896,40235008
2021-06-18T13:18:16.667,406735140,40263680
2021-06-18T13:18:17.673,412821940,40271872
2021-06-18T13:18:18.678,418965645,40275968
2021-06-18T13:18:19.683,424955500,40288256
2021-06-18T13:18:20.688,430986580,40284160
2021-06-18T13:18:21.694,437578259,40312832
2021-06-18T13:18:22.699,443694327,40296448
2021-06-18T13:18:23.704,449871868,40300544
2021-06-18T13:18:24.710,456020830,40333312
2021-06-18T13:18:25.715,462008396,40325120
2021-06-18T13:18:26.720,468121323,40312832
2021-06-18T13:18:27.725,474212986,40333312
2021-06-18T13:18:28.730,480272046,40312832
2021-06-18T13:18:29.735,486356024,40325120
2021-06-18T13:18:30.740,492650240,40321024
2021-06-18T13:18:31.752,498881811,40341504
2021-06-18T13:18:32.757,505104520,40353792
2021-06-18T13:18:33.762,511190803,40378368
2021-06-18T13:18:34.767,517262092,40374272
2021-06-18T13:18:35.772,523346222,40353792
2021-06-18T13:18:36.777,529445413,40366080
2021-06-18T13:18:37.782,535740062,40378368
2021-06-18T13:18:38.787,541851581,40361984
2021-06-18T13:18:39.792,548009887,40361984
2021-06-18T13:18:40.797,553977999,40378368
2021-06-18T13:18:41.803,560085656,40366080
2021-06-18T13:18:42.808,566115421,40357888
2021-06-18T13:18:43.813,572235602,40357888
2021-06-18T13:18:44.818,578376721,40374272
2021-06-18T13:18:45.823,584404969,40366080
2021-06-18T13:18:46.828,590516783,40374272
2021-06-18T13:18:47.833,596538435,40398848
2021-06-18T13:18:48.838,602640561,40407040
2021-06-18T13:18:49.843,608706577,40435712
2021-06-18T13:18:50.849,630056435,41218048
2021-06-18T13:18:51.854,653260242,41111552
2021-06-18T13:18:52.860,679914506,41144320
2021-06-18T13:18:53.866,702625396,41144320
2021-06-18T13:18:54.872,726219581,41144320
2021-06-18T13:18:55.878,744772797,41172992
2021-06-18T13:18:56.883,762309853,41193472
2021-06-18T13:18:57.892,780544032,41189376
2021-06-18T13:18:58.898,802828477,41209856
2021-06-18T13:18:59.904,825505360,41209856
2021-06-18T13:19:00.910,848213755,41218048
2021-06-18T13:19:01.916,868732580,41197568
2021-06-18T13:19:02.927,889309772,41185280
2021-06-18T13:19:03.934,914710229,41189376
2021-06-18T13:19:04.940,935563357,41172992
2021-06-18T13:19:05.949,954692828,41181184
2021-06-18T13:19:06.956,972313350,41172992
2021-06-18T13:19:07.966,992138990,41164800
2021-06-18T13:19:08.972,1010638323,41177088
2021-06-18T13:19:09.978,1031563604,41172992
2021-06-18T13:19:10.984,1049843637,41181184
2021-06-18T13:19:11.990,1070415816,41181184
2021-06-18T13:19:12.995,1086647432,41177088
2021-06-18T13:19:14.001,1106352801,41181184
2021-06-18T13:19:15.007,1121615770,41185280
2021-06-18T13:19:16.013,1143315279,41185280
2021-06-18T13:19:17.019,1161212259,41197568
2021-06-18T13:19:18.025,1180013937,41201664
2021-06-18T13:19:19.030,1198808271,41201664
2021-06-18T13:19:20.036,1222813234,41213952
2021-06-18T13:19:21.044,1244584075,41205760
2021-06-18T13:19:22.050,1264762101,41193472
2021-06-18T13:19:23.056,1286142202,41193472
2021-06-18T13:19:24.062,1302646499,41201664
2021-06-18T13:19:25.067,1319318811,41222144
2021-06-18T13:19:26.073,1335279005,41226240
2021-06-18T13:19:27.079,1354848145,41218048
2021-06-18T13:19:28.087,1379695728,41238528
