"Time","CPU","Memory"
2021-06-18T13:20:33.391,193878488,17735680
2021-06-18T13:20:34.590,304431831,30175232
2021-06-18T13:20:35.595,332280915,32694272
2021-06-18T13:20:36.599,337684510,32694272
2021-06-18T13:20:37.604,342948785,32690176
2021-06-18T13:20:38.662,348521900,32698368
2021-06-18T13:20:39.667,353986024,32714752
2021-06-18T13:20:40.671,359330212,32727040
2021-06-18T13:20:41.676,364581705,32739328
2021-06-18T13:20:42.680,369813679,32718848
2021-06-18T13:20:43.685,375002302,32739328
2021-06-18T13:20:44.689,380284962,32755712
2021-06-18T13:20:45.694,385539880,32743424
2021-06-18T13:20:46.699,390744301,32788480
2021-06-18T13:20:47.705,396083532,32804864
2021-06-18T13:20:48.710,401302407,32813056
2021-06-18T13:20:49.714,406515839,32808960
2021-06-18T13:20:50.719,411788536,32808960
2021-06-18T13:20:51.723,417044023,32792576
2021-06-18T13:20:52.728,422343322,32813056
2021-06-18T13:20:53.732,427522810,32804864
2021-06-18T13:20:54.737,432812689,32808960
2021-06-18T13:20:55.742,438098659,32829440
2021-06-18T13:20:56.746,443270678,32808960
2021-06-18T13:20:57.751,448538316,32849920
2021-06-18T13:20:58.755,453805077,32866304
2021-06-18T13:20:59.760,459075206,32854016
2021-06-18T13:21:00.765,464319905,32833536
2021-06-18T13:21:01.769,469631752,32837632
2021-06-18T13:21:02.773,474800181,32821248
2021-06-18T13:21:03.778,479977831,32821248
2021-06-18T13:21:04.782,485087651,32829440
2021-06-18T13:21:05.787,490285351,32841728
2021-06-18T13:21:06.791,495585539,32825344
2021-06-18T13:21:07.799,500829487,32841728
2021-06-18T13:21:08.805,506222027,32837632
2021-06-18T13:21:09.815,516219267,32858112
2021-06-18T13:21:10.828,529238384,32849920
2021-06-18T13:21:11.835,541563136,32849920
2021-06-18T13:21:12.845,552865323,32849920
2021-06-18T13:21:13.851,565540745,32849920
2021-06-18T13:21:14.858,580816549,32870400
2021-06-18T13:21:15.864,592332897,32866304
2021-06-18T13:21:16.871,604997884,32870400
2021-06-18T13:21:17.883,616830867,32882688
2021-06-18T13:21:18.889,630326635,32886784
2021-06-18T13:21:19.894,641029995,32882688
2021-06-18T13:21:20.899,652669686,32882688
2021-06-18T13:21:21.904,664862705,32882688
2021-06-18T13:21:22.909,676511992,32882688
2021-06-18T13:21:23.914,687355775,32858112
2021-06-18T13:21:24.921,701171817,32849920
2021-06-18T13:21:25.927,712462895,32854016
2021-06-18T13:21:26.933,725297202,32849920
2021-06-18T13:21:27.939,738687497,32849920
2021-06-18T13:21:28.947,750967299,32858112
2021-06-18T13:21:29.959,762218797,32866304
2021-06-18T13:21:30.967,774484305,32854016
2021-06-18T13:21:31.972,787011278,32849920
2021-06-18T13:21:32.978,800187800,32849920
2021-06-18T13:21:33.983,812745019,32849920
2021-06-18T13:21:34.990,826137131,32854016
2021-06-18T13:21:35.998,839104273,32833536
2021-06-18T13:21:37.017,852316223,32837632
2021-06-18T13:21:38.023,863401790,32837632
2021-06-18T13:21:39.028,878925787,32837632
2021-06-18T13:21:40.034,891737491,32833536
2021-06-18T13:21:41.043,903886720,32854016
2021-06-18T13:21:42.049,915287799,32870400
2021-06-18T13:21:43.054,927873945,32849920
2021-06-18T13:21:44.060,940230933,32837632
2021-06-18T13:21:45.065,952474652,32833536
