"Time","CPU","Memory"
2021-06-18T13:20:29.226,79360930,4194304
2021-06-18T13:20:30.231,126329583,8445952
2021-06-18T13:20:31.248,131723801,8327168
2021-06-18T13:20:32.252,137227331,8331264
2021-06-18T13:20:33.257,142737947,8355840
2021-06-18T13:20:34.262,148241457,8380416
2021-06-18T13:20:35.267,154041458,8372224
2021-06-18T13:20:36.272,159521236,8372224
2021-06-18T13:20:37.277,165047879,8384512
2021-06-18T13:20:38.474,170873363,8368128
2021-06-18T13:20:39.479,176551118,8368128
2021-06-18T13:20:40.484,181936372,8372224
2021-06-18T13:20:41.488,187406608,8364032
2021-06-18T13:20:42.493,192836616,8368128
2021-06-18T13:20:43.498,198502757,8302592
2021-06-18T13:20:44.503,203973822,8318976
2021-06-18T13:20:45.508,209401205,8314880
2021-06-18T13:20:46.512,215102288,8314880
2021-06-18T13:20:47.517,220547290,8331264
2021-06-18T13:20:48.522,225977084,8318976
2021-06-18T13:20:49.527,231635044,8343552
2021-06-18T13:20:50.531,237172702,8376320
2021-06-18T13:20:51.536,242648116,8364032
2021-06-18T13:20:52.541,248025731,8372224
2021-06-18T13:20:53.546,253508980,8392704
2021-06-18T13:20:54.551,259162209,8392704
2021-06-18T13:20:55.556,264634474,8384512
2021-06-18T13:20:56.560,270083728,8388608
2021-06-18T13:20:57.565,275518479,8376320
2021-06-18T13:20:58.570,281044948,8372224
2021-06-18T13:20:59.575,286813815,8396800
2021-06-18T13:21:00.580,292382343,8392704
2021-06-18T13:21:01.585,297842851,8318976
2021-06-18T13:21:02.590,303385606,8314880
2021-06-18T13:21:03.595,308972114,8323072
2021-06-18T13:21:04.600,314483966,8310784
2021-06-18T13:21:05.604,320018199,8347648
2021-06-18T13:21:06.609,325565516,8331264
2021-06-18T13:21:07.614,331341900,8347648
2021-06-18T13:21:08.619,336871574,8318976
2021-06-18T13:21:09.624,707309427,8970240
2021-06-18T13:21:10.633,1702537823,9166848
2021-06-18T13:21:11.639,2702032654,9015296
2021-06-18T13:21:12.645,3708073553,9043968
2021-06-18T13:21:13.653,4711015454,9154560
2021-06-18T13:21:14.658,5709808310,9035776
2021-06-18T13:21:15.664,6720796875,9134080
2021-06-18T13:21:16.669,7721602969,9101312
2021-06-18T13:21:17.676,8726001733,8978432
2021-06-18T13:21:18.682,9729425925,9129984
2021-06-18T13:21:19.688,10739626335,9162752
2021-06-18T13:21:20.693,11745045200,9166848
2021-06-18T13:21:21.698,12750621736,9179136
2021-06-18T13:21:22.717,13765695675,9170944
2021-06-18T13:21:23.722,14779520397,9039872
2021-06-18T13:21:24.728,15789268134,8929280
2021-06-18T13:21:25.733,16790863341,8998912
2021-06-18T13:21:26.739,17788766986,9052160
2021-06-18T13:21:27.744,18797205727,9056256
2021-06-18T13:21:28.751,19801613414,9138176
2021-06-18T13:21:29.757,20803371818,9027584
2021-06-18T13:21:30.762,21803255965,8982528
2021-06-18T13:21:31.767,22810280081,9039872
2021-06-18T13:21:32.773,23813825020,9142272
2021-06-18T13:21:33.779,24818508247,9166848
2021-06-18T13:21:34.784,25824058930,9109504
2021-06-18T13:21:35.802,26827671667,9048064
2021-06-18T13:21:36.809,27839288570,9150464
2021-06-18T13:21:37.815,28845794219,8990720
2021-06-18T13:21:38.820,29853167743,9142272
2021-06-18T13:21:39.826,30855469873,8912896
2021-06-18T13:21:40.831,31862414312,8933376
2021-06-18T13:21:41.838,32855860318,9175040
2021-06-18T13:21:42.844,33862517237,9158656
2021-06-18T13:21:43.849,34866443802,9158656
2021-06-18T13:21:44.855,35869206102,9003008
2021-06-18T13:21:45.860,36870328546,9056256
