"Time","CPU","Memory"
2021-06-18T13:20:29.484,383763168,40124416
2021-06-18T13:20:30.489,390454986,40271872
2021-06-18T13:20:31.528,397005434,40153088
2021-06-18T13:20:32.533,403763428,40173568
2021-06-18T13:20:33.539,409938084,40181760
2021-06-18T13:20:34.544,416246883,40165376
2021-06-18T13:20:35.549,422534902,40165376
2021-06-18T13:20:36.554,428866678,40194048
2021-06-18T13:20:37.560,435284658,40202240
2021-06-18T13:20:38.630,441809691,40198144
2021-06-18T13:20:39.638,448456935,40185856
2021-06-18T13:20:40.644,454822356,40194048
2021-06-18T13:20:41.649,461060574,40189952
2021-06-18T13:20:42.654,467489489,40206336
2021-06-18T13:20:43.660,473911153,40218624
2021-06-18T13:20:44.665,480236941,40226816
2021-06-18T13:20:45.670,486686893,40210432
2021-06-18T13:20:46.675,492946311,40214528
2021-06-18T13:20:47.681,499182392,40230912
2021-06-18T13:20:48.686,505443007,40247296
2021-06-18T13:20:49.691,511861521,40226816
2021-06-18T13:20:50.696,517936035,40247296
2021-06-18T13:20:51.702,524263901,40239104
2021-06-18T13:20:52.708,530344717,40230912
2021-06-18T13:20:53.714,536891905,40222720
2021-06-18T13:20:54.720,543182379,40235008
2021-06-18T13:20:55.725,549545488,40239104
2021-06-18T13:20:56.730,555807322,40222720
2021-06-18T13:20:57.740,562238775,40239104
2021-06-18T13:20:58.746,568667228,40235008
2021-06-18T13:20:59.751,575041164,40222720
2021-06-18T13:21:00.756,581354756,40251392
2021-06-18T13:21:01.761,587647644,40251392
2021-06-18T13:21:02.767,593972822,40263680
2021-06-18T13:21:03.772,600310876,40194048
2021-06-18T13:21:04.777,606521837,40222720
2021-06-18T13:21:05.782,612772577,40198144
2021-06-18T13:21:06.788,619058931,40206336
2021-06-18T13:21:07.799,625342528,40218624
2021-06-18T13:21:08.805,631666880,40243200
2021-06-18T13:21:09.813,657191456,41066496
2021-06-18T13:21:10.824,678811882,41095168
2021-06-18T13:21:11.831,696745716,41099264
2021-06-18T13:21:12.839,723353385,41103360
2021-06-18T13:21:13.846,741666539,41107456
2021-06-18T13:21:14.853,764868309,41103360
2021-06-18T13:21:15.859,781681161,41119744
2021-06-18T13:21:16.866,799842579,41127936
2021-06-18T13:21:17.873,820221718,41123840
2021-06-18T13:21:18.879,842385572,41119744
2021-06-18T13:21:19.885,859663235,41136128
2021-06-18T13:21:20.891,877495413,41119744
2021-06-18T13:21:21.897,898001270,41127936
2021-06-18T13:21:22.903,917071961,41123840
2021-06-18T13:21:23.909,934850787,41127936
2021-06-18T13:21:24.915,956864035,41123840
2021-06-18T13:21:25.921,976861504,41123840
2021-06-18T13:21:26.927,994716620,41127936
2021-06-18T13:21:27.933,1015299769,41123840
2021-06-18T13:21:28.942,1035627834,41123840
2021-06-18T13:21:29.955,1054613882,41127936
2021-06-18T13:21:30.961,1072776349,41127936
2021-06-18T13:21:31.967,1094162791,41127936
2021-06-18T13:21:32.973,1114109863,41123840
2021-06-18T13:21:33.979,1135618006,41123840
2021-06-18T13:21:34.991,1158460096,41127936
2021-06-18T13:21:36.001,1178157297,41127936
2021-06-18T13:21:37.010,1197027705,41144320
2021-06-18T13:21:38.016,1215609317,41119744
2021-06-18T13:21:39.022,1234748419,41140224
2021-06-18T13:21:40.028,1256520994,41144320
2021-06-18T13:21:41.034,1274255328,41127936
2021-06-18T13:21:42.040,1295046337,41127936
2021-06-18T13:21:43.046,1311831351,41127936
2021-06-18T13:21:44.052,1330787061,41144320
2021-06-18T13:21:45.058,1348594079,41144320
2021-06-18T13:21:46.066,1369750034,41132032
