"Time","CPU","Memory"
2021-06-18T13:20:40.959,1070192401,9216000
2021-06-18T13:20:41.964,2329447122,42385408
2021-06-18T13:20:42.969,2873701492,42274816
2021-06-18T13:20:43.974,2879341571,42262528
2021-06-18T13:20:44.978,2885280518,42283008
2021-06-18T13:20:45.983,2890678099,42262528
2021-06-18T13:20:46.988,2896539009,42287104
2021-06-18T13:20:47.993,2902418341,42283008
2021-06-18T13:20:48.998,2908172401,42291200
2021-06-18T13:20:50.002,2913908490,42332160
2021-06-18T13:20:51.007,2919859221,42319872
2021-06-18T13:20:52.012,2925755017,42344448
2021-06-18T13:20:53.017,2931700937,42430464
2021-06-18T13:20:54.021,2937498663,42311680
2021-06-18T13:20:55.026,2943119522,42328064
2021-06-18T13:20:56.031,2948856589,42336256
2021-06-18T13:20:57.036,2954710938,42315776
2021-06-18T13:20:58.040,2960337413,42344448
2021-06-18T13:20:59.045,2965946835,42287104
2021-06-18T13:21:00.049,2971728330,42283008
2021-06-18T13:21:01.054,2977087432,42303488
2021-06-18T13:21:02.059,2982862807,42323968
2021-06-18T13:21:03.064,2988802828,42369024
2021-06-18T13:21:04.069,2994622418,42389504
2021-06-18T13:21:05.074,3000639439,42430464
2021-06-18T13:21:06.078,3006677313,42422272
2021-06-18T13:21:07.083,3012296002,42348544
2021-06-18T13:21:08.088,3017935740,42336256
2021-06-18T13:21:09.093,3023931973,42328064
2021-06-18T13:21:10.098,3899326485,43118592
2021-06-18T13:21:11.103,4925737151,43302912
2021-06-18T13:21:12.109,5956838370,43347968
2021-06-18T13:21:13.114,6993290473,43466752
2021-06-18T13:21:14.129,8035489290,43532288
2021-06-18T13:21:15.135,9068098693,43413504
2021-06-18T13:21:16.140,10098899119,43343872
2021-06-18T13:21:17.146,11134186980,43479040
2021-06-18T13:21:18.152,12170342715,43347968
2021-06-18T13:21:19.162,13213260259,43360256
2021-06-18T13:21:20.168,14243388386,43368448
2021-06-18T13:21:21.173,15279480941,43372544
2021-06-18T13:21:22.178,16309429708,43368448
2021-06-18T13:21:23.184,17335439289,43352064
2021-06-18T13:21:24.196,18377981047,43364352
2021-06-18T13:21:25.201,19411939454,43368448
2021-06-18T13:21:26.207,20445730073,43343872
2021-06-18T13:21:27.212,21476892068,43352064
2021-06-18T13:21:28.217,22512273459,43360256
2021-06-18T13:21:29.229,23558443872,43360256
2021-06-18T13:21:30.234,24592483003,43503616
2021-06-18T13:21:31.239,25612473916,43368448
2021-06-18T13:21:32.245,26644748767,43388928
2021-06-18T13:21:33.250,27682851123,43380736
2021-06-18T13:21:34.262,28727825512,43380736
2021-06-18T13:21:35.268,29760743609,43511808
2021-06-18T13:21:36.273,30794777873,43368448
2021-06-18T13:21:37.279,31831412189,43368448
2021-06-18T13:21:38.285,32866020476,43364352
2021-06-18T13:21:39.298,33911731689,43364352
2021-06-18T13:21:40.303,34945605302,43368448
2021-06-18T13:21:41.309,35979474814,43368448
2021-06-18T13:21:42.314,37018880733,43372544
2021-06-18T13:21:43.320,38044062685,43372544
2021-06-18T13:21:44.332,39084474311,43372544
2021-06-18T13:21:45.337,40110856128,43380736
2021-06-18T13:21:46.342,41149803917,43532288
2021-06-18T13:21:47.349,42189033144,43397120
