"Time","CPU","Memory"
2021-06-20T11:39:08.801,83042430,11907072
2021-06-20T11:39:09.806,136768981,18907136
2021-06-20T11:39:10.811,146641813,19152896
2021-06-20T11:39:11.816,152218088,19169280
2021-06-20T11:39:12.821,157592406,19152896
2021-06-20T11:39:13.825,163165697,19177472
2021-06-20T11:39:14.830,168632691,19156992
2021-06-20T11:39:15.835,174065016,19161088
2021-06-20T11:39:16.839,179424616,19177472
2021-06-20T11:39:17.844,184889461,19197952
2021-06-20T11:39:18.849,190376565,19218432
2021-06-20T11:39:19.853,195757254,19206144
2021-06-20T11:39:20.858,201190544,19181568
2021-06-20T11:39:21.863,206708980,19177472
2021-06-20T11:39:22.868,212154797,19189760
2021-06-20T11:39:23.872,217578248,19210240
2021-06-20T11:39:24.877,223088350,19243008
2021-06-20T11:39:25.882,228562586,19251200
2021-06-20T11:39:26.888,233995159,19243008
2021-06-20T11:39:27.893,239754480,19263488
2021-06-20T11:39:28.898,245184043,19197952
2021-06-20T11:39:29.903,250695927,19185664
2021-06-20T11:39:30.908,256224317,19189760
2021-06-20T11:39:31.912,261726615,19206144
2021-06-20T11:39:32.917,267118293,19193856
2021-06-20T11:39:33.922,272534481,19206144
2021-06-20T11:39:34.927,277967273,19222528
2021-06-20T11:39:35.931,283484062,19222528
2021-06-20T11:39:36.936,289046790,19222528
2021-06-20T11:39:37.941,294529230,19206144
2021-06-20T11:39:38.946,299911057,19206144
2021-06-20T11:39:39.951,305329655,19226624
2021-06-20T11:39:40.959,310737763,19226624
2021-06-20T11:39:41.967,316054751,19279872
2021-06-20T11:39:42.972,321500848,19263488
2021-06-20T11:39:43.976,326954332,19263488
2021-06-20T11:39:44.981,332331383,19234816
2021-06-20T11:39:45.986,337661234,19230720
2021-06-20T11:39:46.990,343131064,19238912
2021-06-20T11:39:47.995,348485824,19255296
2021-06-20T11:39:49.000,353921532,19255296
2021-06-20T11:39:50.005,359382229,19255296
2021-06-20T11:39:51.010,364763029,19259392
2021-06-20T11:39:52.014,370161446,19243008
2021-06-20T11:39:53.019,375762746,19255296
2021-06-20T11:39:54.024,381246920,19255296
2021-06-20T11:39:55.029,386816178,19243008
2021-06-20T11:39:56.034,392324830,19251200
2021-06-20T11:39:57.039,397685888,19251200
2021-06-20T11:39:58.043,403185058,19251200
2021-06-20T11:39:59.048,408573450,19177472
2021-06-20T11:40:00.053,414040003,19181568
2021-06-20T11:40:01.057,420396706,19456000
2021-06-20T11:40:02.063,426678717,19296256
2021-06-20T11:40:03.069,432395558,19341312
2021-06-20T11:40:04.074,437976923,19361792
2021-06-20T11:40:05.079,443503883,19357696
2021-06-20T11:40:06.095,449027714,19357696
2021-06-20T11:40:07.100,454593473,19341312
2021-06-20T11:40:08.107,460072970,19345408
2021-06-20T11:40:09.114,465531420,19345408
2021-06-20T11:40:10.119,470907073,19345408
2021-06-20T11:40:11.125,476543934,19341312
2021-06-20T11:40:12.130,482180866,19349504
2021-06-20T11:40:13.136,487893545,19357696
2021-06-20T11:40:14.142,493397774,19357696
2021-06-20T11:40:15.147,499043096,19324928
2021-06-20T11:40:16.153,504729573,19341312
2021-06-20T11:40:17.160,510547231,19345408
2021-06-20T11:40:18.166,516098130,19357696
2021-06-20T11:40:19.175,521435546,19361792
2021-06-20T11:40:20.180,526981614,19357696
2021-06-20T11:40:21.186,532603283,19333120
2021-06-20T11:40:22.191,537917951,19329024
2021-06-20T11:40:23.197,543393437,19329024
2021-06-20T11:40:24.204,548944397,19329024
2021-06-20T11:40:25.211,554851117,19349504
2021-06-20T11:40:26.219,560375495,19333120
2021-06-20T11:40:27.227,565916058,19333120
2021-06-20T11:40:28.236,571445686,19333120
2021-06-20T11:40:29.243,577400662,19365888
2021-06-20T11:40:30.251,582905699,19341312
2021-06-20T11:40:31.259,588519178,19341312
2021-06-20T11:40:32.265,594331570,19357696
2021-06-20T11:40:33.271,599997628,19357696
2021-06-20T11:40:34.280,605684937,19353600
2021-06-20T11:40:35.286,611230658,19341312
2021-06-20T11:40:36.291,617062833,19337216
2021-06-20T11:40:37.299,622514888,19341312
2021-06-20T11:40:38.308,628004184,19337216
2021-06-20T11:40:39.316,633719674,19333120
2021-06-20T11:40:40.322,639353513,19353600
2021-06-20T11:40:41.327,645083007,19374080
2021-06-20T11:40:42.333,650675009,19369984
2021-06-20T11:40:43.338,656242484,19369984
2021-06-20T11:40:44.348,661817218,19374080
2021-06-20T11:40:45.358,667498930,19357696
2021-06-20T11:40:46.363,673160902,19374080
2021-06-20T11:40:47.372,678702024,19394560
2021-06-20T11:40:48.378,684332954,19394560
2021-06-20T11:40:49.386,690026150,19390464
2021-06-20T11:40:50.391,695341473,19378176
2021-06-20T11:40:51.399,701278026,19374080
2021-06-20T11:40:52.407,706785298,19378176
2021-06-20T11:40:53.416,712765658,19374080
2021-06-20T11:40:54.424,718438035,19390464
2021-06-20T11:40:55.429,724127785,19365888
